
[00:00:00.000 --> 00:00:04.480]  大型姐妹平安
[00:00:04.480 --> 00:00:07.600]  在此祝願大家新年蒙福
[00:00:07.600 --> 00:00:10.480]  無論是主席剛剛的禱告
[00:00:10.480 --> 00:00:13.440]  或是我們過去這一年的經歷
[00:00:13.440 --> 00:00:16.320]  我相信祝大家免受感染
[00:00:16.320 --> 00:00:19.120]  都是一個非常受歡迎的祝福語
[00:00:19.120 --> 00:00:22.880]  但我們又相信一個人的免疫
[00:00:22.880 --> 00:00:26.160]  其實都緊要
[00:00:26.160 --> 00:00:28.480]  不過不是最緊要
[00:00:28.480 --> 00:00:33.600]  反而全民免疫才是王道
[00:00:33.600 --> 00:00:36.000]  如果一個人戴口罩
[00:00:36.000 --> 00:00:37.200]  一個人勤洗手
[00:00:37.200 --> 00:00:38.960]  一個人保持社交距離
[00:00:38.960 --> 00:00:40.000]  一個人接種
[00:00:40.000 --> 00:00:41.280]  當然好
[00:00:41.280 --> 00:00:43.840]  但如果我們外出一起吃飯
[00:00:43.840 --> 00:00:46.400]  整間酒樓的人都不是這樣做
[00:00:46.400 --> 00:00:47.680]  我想你都不會去
[00:00:47.680 --> 00:00:51.280]  所以原來全民一起去做
[00:00:51.280 --> 00:00:52.800]  是這麼重要
[00:00:52.800 --> 00:00:54.400]  為什麼
[00:00:54.400 --> 00:00:58.880]  因為我們很明白瘟疫的影響性
[00:00:58.880 --> 00:01:02.480]  新型冠狀病毒是可以致命
[00:01:02.480 --> 00:01:04.240]  如果你感染了
[00:01:04.240 --> 00:01:07.200]  別說你自己很緊張
[00:01:07.200 --> 00:01:08.480]  跟你吃過飯
[00:01:08.480 --> 00:01:09.920]  見過你的親戚朋友
[00:01:09.920 --> 00:01:11.280]  都會很擔心
[00:01:11.280 --> 00:01:15.200]  如果瘟疫已經令我們
[00:01:15.200 --> 00:01:17.920]  這麼緊張
[00:01:17.920 --> 00:01:19.600]  這麼害怕的時候
[00:01:20.400 --> 00:01:24.560]  搏疫就更加令人擔心
[00:01:24.560 --> 00:01:26.480]  因為瘟疫只不過是
[00:01:26.480 --> 00:01:30.160]  其中一種人生苦難當中
[00:01:30.160 --> 00:01:33.440]  究竟我們怎樣可以靠賴神的恩典
[00:01:33.440 --> 00:01:37.280]  來避免各種除了瘟疫以外
[00:01:37.280 --> 00:01:39.920]  生命種種的難處
[00:01:39.920 --> 00:01:43.920]  就要靠賴上帝的恩典和祂的福氣
[00:01:43.920 --> 00:01:46.080]  但上帝的恩典和福氣
[00:01:46.080 --> 00:01:48.960]  卻又會因為人的搏疫
[00:01:48.960 --> 00:01:55.520]  而有困難在內
[00:01:55.520 --> 00:01:57.680]  今天跟大家說
[00:01:57.680 --> 00:02:01.040]  生命記錄章一至二十五節
[00:02:01.040 --> 00:02:02.800]  正正告訴我們
[00:02:02.800 --> 00:02:07.440]  怎樣可以避免在搏疫當中
[00:02:07.440 --> 00:02:11.680]  我將這段經文分成五段落
[00:02:11.680 --> 00:02:13.520]  有兩個段落是說到
[00:02:13.520 --> 00:02:15.440]  我們要遵行神的吩咐
[00:02:15.440 --> 00:02:18.000]  並且要教導兒女遵行
[00:02:18.000 --> 00:02:20.000]  另外有兩個段落
[00:02:20.000 --> 00:02:24.800]  就是說到神的應許和祂的拯救
[00:02:24.800 --> 00:02:27.280]  本來教導兒女遵行
[00:02:27.280 --> 00:02:28.320]  自己又遵行
[00:02:28.320 --> 00:02:30.160]  然後有神的拯救
