
[00:00:00.000 --> 00:00:03.000]  各位上帝的兒女們 大家平安
[00:00:03.000 --> 00:00:04.000]  平安
[00:00:04.000 --> 00:00:08.000]  感謝主的恩典 今天在一個聖餐主日
[00:00:08.000 --> 00:00:11.000]  召聚我們所有弟兄姊妹
[00:00:11.000 --> 00:00:14.000]  也都同屬於神的兒女
[00:00:14.000 --> 00:00:16.000]  一起的相聚
[00:00:16.000 --> 00:00:19.000]  為要同心的敬拜我們的主
[00:00:19.000 --> 00:00:22.000]  也要聆聽主的真道
[00:00:22.000 --> 00:00:27.000]  今天的題目呢 是上帝兒女的苦與樂
[00:00:27.000 --> 00:00:31.000]  這樣的一個題目呢 取自於經文中的
[00:00:31.000 --> 00:00:34.000]  兩個經文 兩節經文啊
[00:00:34.000 --> 00:00:39.000]  分別有14節的苦 苦害
[00:00:39.000 --> 00:00:44.000]  還有第20節的樂 喜樂
[00:00:44.000 --> 00:00:47.000]  這樣一個苦和樂的情緒呢
[00:00:47.000 --> 00:00:49.000]  不單是基督徒
[00:00:49.000 --> 00:00:52.000]  每一個人都會在面對
[00:00:52.000 --> 00:00:56.000]  我們的生命當中有順境 有逆境
[00:00:56.000 --> 00:00:59.000]  有快樂和傷心
[00:00:59.000 --> 00:01:02.000]  或者是喜樂和痛苦
[00:01:02.000 --> 00:01:06.000]  也要想透過今天的一篇的正道
[00:01:06.000 --> 00:01:09.000]  與大家一起來思想
[00:01:09.000 --> 00:01:12.000]  在今天經文的13節
[00:01:12.000 --> 00:01:15.000]  一開始的時候
[00:01:15.000 --> 00:01:17.000]  保羅就特別說了
[00:01:17.000 --> 00:01:21.000]  我們也不住地感謝上帝
[00:01:21.000 --> 00:01:25.000]  慰到鐵撒羅尼加的信徒
[00:01:25.000 --> 00:01:28.000]  因為是他們活出了這份的見證
[00:01:28.000 --> 00:01:30.000]  有這份的感恩啊
[00:01:30.000 --> 00:01:35.000]  同樣的今天透過今天的這份的講道呢
[00:01:35.000 --> 00:01:39.000]  也想為大家解決一個其他人看
[00:01:39.000 --> 00:01:43.000]  基督徒生命的一個困惑
[00:01:43.000 --> 00:01:50.000]  為什麼同樣大家都面對一些的困難的時候
[00:01:50.000 --> 00:01:52.000]  同樣有壓力的時候
[00:01:52.000 --> 00:01:57.000]  為什麼基督徒表現出來的生命表徵
[00:01:57.000 --> 00:02:00.000]  總是蠻有喜樂的呢
[00:02:00.000 --> 00:02:03.000]  今天透過這一篇的講道
[00:02:03.000 --> 00:02:05.000]  願意和大家一起來思想
[00:02:05.000 --> 00:02:07.000]  或者呢 也是說
[00:02:07.000 --> 00:02:10.000]  同為基督徒的我和你
[00:02:10.000 --> 00:02:13.000]  怎麼樣在生命的過程裡面
[00:02:13.000 --> 00:02:15.000]  慢慢的有拉扯了
[00:02:15.000 --> 00:02:20.000]  以前的喜樂突然出現了張力
[00:02:20.000 --> 00:02:23.000]  我們也一起來求神幫助
[00:02:23.000 --> 00:02:27.000]  帶領我們回到主的真道裡面
[00:02:27.000 --> 00:02:30.000]  今天的講道呢 有三大點呢
[00:02:30.000 --> 00:02:32.000]  願意和大家一起來思想
[00:02:32.000 --> 00:02:36.000]  我們要一起首先來有一個禱告
[00:02:36.000 --> 00:02:39.000]  天父愛我們的主
[00:02:39.000 --> 00:02:42.000]  感謝你帶領我們的人生道路
[00:02:42.000 --> 00:02:47.000]  感謝你透過當年對於鐵撒羅尼加信徒的祝福
[00:02:47.000 --> 00:02:50.000]  今天同樣也對我們說話
[00:02:50.000 --> 00:02:53.000]  是的主啊 我們每一個人在我們生命裡面
[00:02:53.000 --> 00:02:55.000]  都有苦和樂
[00:02:55.000 --> 00:02:59.000]  也求主你帶領我們去梳理我們的人生
[00:02:59.000 --> 00:03:02.000]  讓我們看到主的真道
[00:03:02.000 --> 00:03:07.000]  以至於我們走在主你的祝福當中
[00:03:07.000 --> 00:03:10.000]  有苦也好 有樂也罷
[00:03:10.000 --> 00:03:12.000]  跟隨主的人生
[00:03:12.000 --> 00:03:15.000]  必定就是蒙福的人生
[00:03:15.000 --> 00:03:19.000]  求主你祝福我們的聽道的環節
[00:03:19.000 --> 00:03:21.000]  也帶領我們的心思意念
[00:03:21.000 --> 00:03:24.000]  都得蒙天父上帝你的喜悅
[00:03:24.000 --> 00:03:27.000]  同心禱告奉主名求
[00:03:27.000 --> 00:03:29.000]  Amen
[00:03:29.000 --> 00:03:31.000]  好 首先第一點
[00:03:31.000 --> 00:03:35.000]  為什麼他們可以活出不一樣的生命來呢
[00:03:35.000 --> 00:03:37.000]  第一點就是
[00:03:37.000 --> 00:03:41.000]  內在生命的根心啊
[00:03:41.000 --> 00:03:43.000]  因為上帝的道
[00:03:43.000 --> 00:03:50.000]  運行在了鐵撒羅尼加信徒的生命裡面去了
[00:03:50.000 --> 00:03:52.000]  這樣一種的存在呢
[00:03:52.000 --> 00:03:54.000]  不單是他們聽到
[00:03:54.000 --> 00:03:59.000]  存在了某一個生命裡面的角落
[00:03:59.000 --> 00:04:04.000]  也不單是他們明白了一個道理
[00:04:04.000 --> 00:04:07.000]  而是這樣一個動詞啊
[00:04:07.000 --> 00:04:10.000]  上帝的道運行了
[00:04:10.000 --> 00:04:13.000]  活潑的道影響了
[00:04:13.000 --> 00:04:15.000]  帶領了他們的生命
[00:04:15.000 --> 00:04:19.000]  所以是運行在了他們的生命當中
[00:04:19.000 --> 00:04:22.000]  所以在這裡也可以看到
[00:04:22.000 --> 00:04:26.000]  同樣一個接受了神真理的群體
[00:04:26.000 --> 00:04:31.000]  有一個生命內在被主改變的過程
[00:04:31.000 --> 00:04:34.000]  首先是透過了保羅的團隊
[00:04:34.000 --> 00:04:38.000]  有保羅 有希拉 有提摩泰
[00:04:38.000 --> 00:04:40.000]  將這份真道呢
[00:04:40.000 --> 00:04:43.000]  傳到了鐵撒羅尼加信徒的當中
[00:04:43.000 --> 00:04:47.000]  讓他們首先可以聽見
[00:04:47.000 --> 00:04:49.000]  聽見
[00:04:49.000 --> 00:04:51.000]  聽見以後呢
[00:04:51.000 --> 00:04:53.000]  就領受了
[00:04:53.000 --> 00:04:55.000]  所以豪土的生命啊
[00:04:55.000 --> 00:04:57.000]  就領受了
[00:04:57.000 --> 00:05:00.000]  不單只領受這樣簡單
[00:05:00.000 --> 00:05:02.000]  而且這份真道
[00:05:02.000 --> 00:05:04.000]  甚至在保羅他們的團隊
[00:05:04.000 --> 00:05:06.000]  不能夠在他們群體當中
[00:05:06.000 --> 00:05:08.000]  再繼續停留的時候
[00:05:08.000 --> 00:05:11.000]  還繼續做工
[00:05:11.000 --> 00:05:14.000]  不斷地運行在他們的心裡
[00:05:14.000 --> 00:05:17.000]  不斷地運行在他們的群體裡
[00:05:17.000 --> 00:05:20.000]  以至於生命得以成長
[00:05:20.000 --> 00:05:23.000]  群體可以蒙見利
[00:05:23.000 --> 00:05:26.000]  這就是一個神所喜悅的群體
[00:05:26.000 --> 00:05:28.000]  但我們再來看
[00:05:28.000 --> 00:05:30.000]  如何內在的生命被改變
[00:05:30.000 --> 00:05:32.000]  生命更新的時候呢
[00:05:32.000 --> 00:05:35.000]  就看到有這樣一個過程了
[00:05:35.000 --> 00:05:37.000]  所有人都可能經過的
[00:05:37.000 --> 00:05:40.000]  有的時候善意地道來了
[00:05:40.000 --> 00:05:42.000]  有的不是豪土的
[00:05:42.000 --> 00:05:45.000]  漠視不接受
[00:05:45.000 --> 00:05:47.000]  離開了
[00:05:47.000 --> 00:05:48.000]  有的人呢
[00:05:48.000 --> 00:05:50.000]  把它視作珍寶
[00:05:50.000 --> 00:05:53.000]  放在了生命的當中
[00:05:53.000 --> 00:05:55.000]  有的人接受以後呢
[00:05:55.000 --> 00:05:57.000]  那是前土
[00:05:57.000 --> 00:05:58.000]  太陽一出來呢
[00:05:58.000 --> 00:06:00.000]  就曬枯乾了
[00:06:00.000 --> 00:06:02.000]  但是真正的豪土呢
[00:06:02.000 --> 00:06:05.000]  讓它運行於心
[00:06:05.000 --> 00:06:08.000]  整個生命的面貌不一樣了
[00:06:08.000 --> 00:06:13.000]  就結出很多倍的果實出來了
[00:06:13.000 --> 00:06:16.000]  這個就是神所喜悅的生命
[00:06:16.000 --> 00:06:21.000]  這樣一種內在生命的更新呢
[00:06:21.000 --> 00:06:24.000]  它一定要配搭住
[00:06:24.000 --> 00:06:26.000]  生命怎麼樣去回應
[00:06:26.000 --> 00:06:29.000]  這樣一個內在的道啊
[00:06:29.000 --> 00:06:31.000]  所以很特別
[00:06:31.000 --> 00:06:32.000]  耶穌基督呢
[00:06:32.000 --> 00:06:35.000]  也在路加福音的第五章裡面呢
[00:06:35.000 --> 00:06:38.000]  特別地做了一個比喻
[00:06:38.000 --> 00:06:39.000]  這個比喻呢
[00:06:39.000 --> 00:06:43.000]  就叫做新酒與舊皮袋的比喻
[00:06:43.000 --> 00:06:45.000]  他就說了
[00:06:45.000 --> 00:06:48.000]  沒有人會把新酒
[00:06:48.000 --> 00:06:51.000]  放在舊皮袋裡面
[00:06:51.000 --> 00:06:53.000]  以前有譯本也會譯成
[00:06:53.000 --> 00:06:55.000]  舊皮囊裡面呢
[00:06:55.000 --> 00:06:57.000]  酒的容器
[00:06:57.000 --> 00:06:59.000]  為什麼不能這樣做呢
[00:06:59.000 --> 00:07:01.000]  因為如果當時那個年代啊
[00:07:01.000 --> 00:07:02.000]  特別做這樣一個
[00:07:02.000 --> 00:07:05.000]  有裝這個酒容器啊
[00:07:05.000 --> 00:07:07.000]  帶酒的人會有經驗
[00:07:07.000 --> 00:07:09.000]  新的酒呢
[00:07:09.000 --> 00:07:14.000]  它會有很大的一個發酵的張力的
[00:07:14.000 --> 00:07:17.000]  如果外在的生命力
[00:07:17.000 --> 00:07:20.000]  或者是承載這個道的生命
[00:07:20.000 --> 00:07:22.000]  講到這個皮囊呢
[00:07:22.000 --> 00:07:26.000]  沒有完全的得以更新的話呢
[00:07:26.000 --> 00:07:28.000]  酒一發酵
[00:07:28.000 --> 00:07:31.000]  它就會沉破了
