
[00:00:00.000 --> 00:00:02.740]  今天的題目叫做
[00:00:02.740 --> 00:00:05.540]  但遵神旨莫問前程
[00:00:05.540 --> 00:00:07.540]  更重要是勇作見證
[00:00:07.540 --> 00:00:09.880]  這十二個字不是我自己寫的
[00:00:09.880 --> 00:00:13.340]  我是引用一位基督徒的文章
[00:00:13.340 --> 00:00:16.340]  這位基督徒叫做黃明道
[00:00:16.340 --> 00:00:17.760]  我想很多人都知道他
[00:00:17.760 --> 00:00:20.060]  他在1951年有一篇文章
[00:00:20.060 --> 00:00:21.560]  裏面用了這個題目
[00:00:21.560 --> 00:00:23.060]  我想這個題目也很適合
[00:00:23.060 --> 00:00:25.760]  今天我要跟大家一起看聖經
[00:00:25.760 --> 00:00:28.760]  所要得到的一些教導
[00:00:28.760 --> 00:00:31.760]  我僅僅引用他的題目
[00:00:31.760 --> 00:00:33.760]  大家放心我是沒有引用他的內容
[00:00:33.760 --> 00:00:35.060]  那個留給你們
[00:00:35.060 --> 00:00:37.060]  如果有時間可以上網
[00:00:37.060 --> 00:00:39.060]  或者在書裏可以看看
[00:00:39.060 --> 00:00:42.060]  黃明道先生是怎樣提到
[00:00:42.060 --> 00:00:43.560]  這位弟兄是怎樣說到
[00:00:43.560 --> 00:00:45.560]  要勇作見證
[00:00:45.560 --> 00:00:47.560]  在一開始的時間
[00:00:47.560 --> 00:00:50.560]  在門訓崇拜
[00:00:50.560 --> 00:00:51.560]  我想問一下大家
[00:00:51.560 --> 00:00:53.560]  大家有沒有用WhatsApp
[00:00:53.560 --> 00:00:56.060]  經常收到一些見證
[00:00:56.060 --> 00:00:58.560]  有些見證很感人
[00:00:58.560 --> 00:00:59.560]  收到的時候
[00:00:59.560 --> 00:01:00.560]  如果你覺得很感人
[00:01:00.560 --> 00:01:01.560]  你會怎樣
[00:01:01.560 --> 00:01:02.560]  你會做甚麼
[00:01:02.560 --> 00:01:04.560]  你可能會給一個emoji
[00:01:04.560 --> 00:01:05.560]  可能會給一個like
[00:01:05.560 --> 00:01:08.560]  可能會給一個祈禱的手
[00:01:08.560 --> 00:01:10.560]  但是有沒有更多的經驗
[00:01:10.560 --> 00:01:12.560]  就是當你給完這些訊息
[00:01:12.560 --> 00:01:16.560]  回饋給發訊息或轉載的人的時候
[00:01:16.560 --> 00:01:19.560]  幾分鐘後你又忘記了這件事
[00:01:19.560 --> 00:01:20.560]  你完全忘記了這件事
[00:01:20.560 --> 00:01:21.560]  聽完就算了
[00:01:21.560 --> 00:01:24.560]  又回到現實的生活當中
[00:01:24.560 --> 00:01:27.560]  經常我自己有時也會這樣
[00:01:27.560 --> 00:01:30.560]  我想這是很多基督徒真實的寫照
[00:01:30.560 --> 00:01:33.560]  當然如果你是繼續在裏面擺祈禱
[00:01:33.560 --> 00:01:34.560]  多謝神
[00:01:34.560 --> 00:01:36.560]  我看到這個美好的見證
[00:01:36.560 --> 00:01:37.560]  我也要做見證
[00:01:37.560 --> 00:01:40.560]  我想這個會更加寶貴
[00:01:40.560 --> 00:01:43.560]  我們生活在一個急速的城市裏
