
[00:00:00.000 --> 00:00:02.000]  早晨,各位
[00:00:02.000 --> 00:00:06.000]  今天是五月的第一個星期
[00:00:06.000 --> 00:00:13.000]  上個月我們進行了一個跟復活節和耶穌受難有關的系列
[00:00:13.000 --> 00:00:17.000]  這個月我們又回到全年的主題
[00:00:17.000 --> 00:00:19.000]  就是Transformation
[00:00:19.000 --> 00:00:31.000]  無論是女生還是男生,都要討論如何從內到外轉化
[00:00:31.000 --> 00:00:37.000]  又或者是一個轉化了的人,其實應該在外面有表徵
[00:00:37.000 --> 00:00:41.000]  我們應該有一種生命力可以影響到外面的人
[00:00:41.000 --> 00:00:53.000]  今天Positive定了這個月的主題,就是要好好有一個生命的轉化
[00:00:53.000 --> 00:00:56.000]  是需要有discipline的
[00:00:56.000 --> 00:01:02.000]  其實生命轉化不是會無端端、偶然地發生
[00:01:02.000 --> 00:01:08.000]  是要用努力,是要有意義的
[00:01:08.000 --> 00:01:14.000]  所以我們就由今天開始,一個月,去討論一些spiritual discipline
[00:01:14.000 --> 00:01:18.000]  我經常聽到問題,為什麼我經歷不了神
[00:01:18.000 --> 00:01:22.000]  或者是我回到教會這麼久,其實好像也有讀經祈禱
[00:01:22.000 --> 00:01:26.000]  但是為什麼生命沒有成長呢?
[00:01:26.000 --> 00:01:31.000]  有一件事就是,其實生命轉化不是用念力的
[00:01:31.000 --> 00:01:34.000]  有時候我想轉化,或者我想變好一點
[00:01:34.000 --> 00:01:36.000]  其實不是這樣發生的
[00:01:36.000 --> 00:01:39.000]  在我們還沒有認識耶穌的時候
[00:01:39.000 --> 00:01:44.000]  我們的舊人是有一些根深蒂固的stronghold在我們裡面
[00:01:44.000 --> 00:01:48.000]  當我們想做好的時候,就會把我們拉回頭
[00:01:48.000 --> 00:01:53.000]  讓我們做最舒服的救我
[00:01:53.000 --> 00:01:59.000]  例如我買了一雙新鞋,新鞋總是不是穿得很舒服的
[00:01:59.000 --> 00:02:02.000]  我總是會,雖然舊的鞋已經很破爛
[00:02:02.000 --> 00:02:08.000]  但是有時候趕時間出門,或者去一些我覺得自己需要很舒服的聚會
[00:02:08.000 --> 00:02:10.000]  可能我還是穿一雙很醜的舊鞋
[00:02:10.000 --> 00:02:12.000]  但是其實神給了我們一個新的生命
[00:02:12.000 --> 00:02:15.000]  我們應該怎樣去活出新的生命呢?
[00:02:15.000 --> 00:02:20.000]  而我們去get rid of我們的舊我,那些stronghold
[00:02:20.000 --> 00:02:25.000]  不是靠念力,其實是需要一個很恆常的discipline
[00:02:25.000 --> 00:02:27.000]  所以今天就去討論spiritual discipline
[00:02:27.000 --> 00:02:32.000]  我們怎樣去同神約會
[00:02:32.000 --> 00:02:36.000]  其實有很多不同的屬靈操練
[00:02:36.000 --> 00:02:42.000]  例如在教會你都聽得多,讀經、祈禱、靈修
[00:02:42.000 --> 00:02:45.000]  這些是不是會立刻有生命轉化呢?
[00:02:45.000 --> 00:02:48.000]  其實我想說一句,屬靈操練
[00:02:48.000 --> 00:02:50.000]  雖然我們這個月也會說這件事
[00:02:50.000 --> 00:02:54.000]  但是屬靈操練itself不會去轉化我們的生命
[00:02:54.000 --> 00:02:59.000]  不過這些屬靈操練,每個星期都會去做一些事的時候
[00:02:59.000 --> 00:03:03.000]  其實會幫助我們打開我們的屬靈胃口
[00:03:03.000 --> 00:03:08.000]  以致到聖靈可以在我們的生命裡面去做轉化的工作
[00:03:08.000 --> 00:03:12.000]  而屬靈操練,spiritual discipline這件事
[00:03:12.000 --> 00:03:18.000]  本身就是去給耶穌一個空間,一個space在我們的生命裡面工作
[00:03:18.000 --> 00:03:21.000]  其實如果不是靠耶穌,不是靠聖靈
[00:03:21.000 --> 00:03:25.000]  我們是不會去轉化我們的生命
[00:03:25.000 --> 00:03:30.000]  而spiritual transformation這件事
[00:03:30.000 --> 00:03:34.000]  可能不是立刻會看到生命裡面的改變
[00:03:34.000 --> 00:03:38.000]  而是當你持續持續去堅持的時候
[00:03:38.000 --> 00:03:41.000]  突然有一天你會發現,我有些東西不同了
[00:03:41.000 --> 00:03:47.000]  我的default mode,怎樣去做決定的時候,是不同了
[00:03:47.000 --> 00:03:56.000]  所以我們今天來看看其中一個spiritual discipline
[00:03:56.000 --> 00:03:59.000]  就是守安息日
[00:03:59.000 --> 00:04:03.000]  為什麼我會選擇這件事呢?
[00:04:03.000 --> 00:04:07.000]  其實呢,我等一下再解釋一下
[00:04:07.000 --> 00:04:09.000]  安息日是什麼呢?
[00:04:09.000 --> 00:04:15.000]  安息日就是在舊約裡面,第四屆,十屆裡面的第四屆
[00:04:15.000 --> 00:04:20.000]  就是你們要去守安息日,將它定為聖日
[00:04:20.000 --> 00:04:23.000]  六天,你就是要勞碌去做你的工作
[00:04:23.000 --> 00:04:28.000]  第七天,你就是要set it apart for 耶和華
[00:04:28.000 --> 00:04:35.000]  而那一天,無論是你的兒女、奴僕、婢女、生畜
[00:04:35.000 --> 00:04:39.000]  還有城裡面寄居的客人,都不可以去做工
[00:04:39.000 --> 00:04:44.000]  不只你不要去做事,你身邊幫你做事的人都不要去勞役他
[00:04:44.000 --> 00:04:46.000]  甚至是動物都不要去勞役他
[00:04:46.000 --> 00:04:51.000]  因為六天之內,耶和華做天地海禍的其中一個萬物
[00:04:51.000 --> 00:04:53.000]  第七天就安息了
[00:04:53.000 --> 00:04:59.000]  所以耶和華想伺服第七天是安息日還是聖日
[00:04:59.000 --> 00:05:05.000]  為什麼我會選擇spiritual discipline去跟大家分享呢?
[00:05:05.000 --> 00:05:09.000]  其實就是因為我自己做得最差
[00:05:09.000 --> 00:05:11.000]  所以其實我是很想作為目者
[00:05:11.000 --> 00:05:17.000]  不是因為我做得好,或是因為我做到今天去勸勉你
[00:05:17.000 --> 00:05:24.000]  而是我很想你跟我一起去做這個休息
[00:05:24.000 --> 00:05:29.000]  我曾經做過,不過原來做了傳道人之後
[00:05:29.000 --> 00:05:33.000]  我在這方面真的做得有點差
[00:05:33.000 --> 00:05:36.000]  就是這個spiritual discipline
[00:05:36.000 --> 00:05:41.000]  在做傳道人裡面,有一次我媽媽問我
[00:05:41.000 --> 00:05:43.000]  為什麼你的樣子這麼累?
[00:05:43.000 --> 00:05:49.000]  或者為什麼你好像比以前的工作更忙?
[00:05:49.000 --> 00:05:55.000]  我就說,因為做傳道人只有一天休息
[00:05:55.000 --> 00:06:01.000]  以前在commercial work上班,起碼有星期六日
[00:06:01.000 --> 00:06:05.000]  現在只有星期一是上班,星期六日是最忙的
[00:06:05.000 --> 00:06:06.000]  星期一就有一天上班
[00:06:06.000 --> 00:06:09.000]  但是那個星期一,我自己就擔心
[00:06:09.000 --> 00:06:12.000]  星期二、三、四、五、六日有很多事情要做
