
[00:00:00.000 --> 00:00:02.800]  各位早晨,每生少快樂
[00:00:02.800 --> 00:00:08.360]  今天我們繼續看天國的系列
[00:00:08.360 --> 00:00:11.640]  我們已經來到第六個福了
[00:00:11.640 --> 00:00:14.600]  剛剛Fien都介紹過
[00:00:14.600 --> 00:00:17.360]  清心靈人有福了,因為他們必得見神
[00:00:17.360 --> 00:00:20.360]  Blessed are the pure and heartful, they will see God
[00:00:20.360 --> 00:00:25.240]  進入經文之前,我先說一些笑話
[00:00:25.240 --> 00:00:31.000]  去年有些學生會,我之前有去看學校的學生會
[00:00:31.000 --> 00:00:37.320]  他們有時會來我家玩,邀請他們過來聊天、吃飯
[00:00:37.320 --> 00:00:42.520]  每次他們來到我家的時候,都會說很乾淨
[00:00:42.520 --> 00:00:46.960]  就算是Irene牧師來到我家,都會說很整齊
[00:00:46.960 --> 00:00:53.240]  有一次,其中一個學校的女生,Jasmine
[00:00:53.240 --> 00:01:02.320]  她在嘟叩我,說「你怎麼每次有人來,你都把東西塞進房間」
[00:01:02.320 --> 00:01:09.720]  「我怎麼做都比不上你們學清說良的眼睛」
[00:01:09.720 --> 00:01:13.840]  有時對著你們,令我又愛又恨
[00:01:13.840 --> 00:01:16.800]  不過她說得真的挺對
[00:01:16.800 --> 00:01:22.040]  每次我知道你們會來,或者有客人來的時候
[00:01:22.040 --> 00:01:28.400]  我會把我聽到的,不知道放在哪裡的衣物、書
[00:01:28.400 --> 00:01:31.000]  就算了,他們來了,暫時塞進房間
[00:01:31.000 --> 00:01:36.320]  有一次我記得塞得太多,因為我的房間也因為這樣塞
[00:01:36.320 --> 00:01:42.640]  很亂,我就知道也不是辦法,原來我是一個很亂的人
[00:01:42.640 --> 00:01:47.320]  但是這件事,就令我想到
[00:01:47.320 --> 00:01:53.760]  其實我只是給一個很表面、很乾淨的樣子給別人看
[00:01:53.760 --> 00:01:59.600]  總之裡面的亂,我塞了,別人看不到就算了
[00:01:59.600 --> 00:02:01.600]  我不需要解決真正的問題
[00:02:01.600 --> 00:02:04.320]  只要別人看不到我的醜陋就行了
[00:02:04.320 --> 00:02:09.040]  其實我想我們人生很多時候都是這樣的
[00:02:09.040 --> 00:02:12.160]  總有很多不想讓人知道的事
[00:02:12.160 --> 00:02:14.760]  不想讓人知道的想法
[00:02:14.760 --> 00:02:18.560]  有些想法,你會覺得有點羞恥的事
[00:02:18.560 --> 00:02:20.560]  或者有些tendency
[00:02:20.560 --> 00:02:23.480]  我們最好不要讓人知道
[00:02:23.480 --> 00:02:26.480]  把它蓋起來,好像把膠布貼著一樣
[00:02:26.480 --> 00:02:28.480]  最好不要漏出來
[00:02:28.480 --> 00:02:31.480]  這樣其實就已經夠了
[00:02:31.480 --> 00:02:37.680]  但是呢,這個不是我的房間
[00:02:37.680 --> 00:02:43.520]  平時就是這樣的,有客人來就是下面那一幅
[00:02:43.520 --> 00:02:47.160]  不過呢,耶穌在登山補訓
[00:02:47.160 --> 00:02:50.200]  跟我們說第八復,他說
[00:02:50.200 --> 00:02:57.960]  「清心的人有福了,因為他們必得見神」
[00:02:57.960 --> 00:03:03.160]  來到這裡,剛才那間屋的狀況
[00:03:03.160 --> 00:03:05.800]  其實裡面是很骯髒的
[00:03:05.800 --> 00:03:07.920]  但是只是表面清心
[00:03:07.920 --> 00:03:11.400]  我想就好像耶穌所說的
[00:03:11.400 --> 00:03:12.840]  什麼是一個乾淨的心呢?
[00:03:12.840 --> 00:03:14.840]  我們今天一起再看看
[00:03:14.840 --> 00:03:16.840]  我們要解決兩個問題
[00:03:16.840 --> 00:03:17.840]  就是看這段經文
[00:03:17.840 --> 00:03:19.840]  就是什麼叫清心呢?
[00:03:19.840 --> 00:03:21.840]  什麼叫得見神呢?
[00:03:21.840 --> 00:03:23.840]  為什麼見到神又是一個福分呢?
[00:03:23.840 --> 00:03:26.840]  可能對於一些不信的人來說
[00:03:26.840 --> 00:03:28.840]  基督徒見到神又怎樣?
[00:03:28.840 --> 00:03:30.840]  為什麼是一樣好的東西呢?
[00:03:30.840 --> 00:03:33.840]  為什麼我渴望去得到這一樣東西呢?
[00:03:33.840 --> 00:03:38.840]  這是一個黑色的心
[00:03:39.840 --> 00:03:43.840]  從小到大,很多人都覺得我是一個
[00:03:43.840 --> 00:03:46.840]  在學校,起碼是一個好學生
[00:03:46.840 --> 00:03:49.840]  讀書成績都不錯
[00:03:49.840 --> 00:03:51.840]  都是一個乖的人
[00:03:51.840 --> 00:03:53.840]  不過沒有人知道
[00:03:53.840 --> 00:03:57.840]  我心裡面是一個什麼樣的狀況
[00:03:57.840 --> 00:04:01.840]  告訴你一個秘密,我媽媽也不知道
[00:04:01.840 --> 00:04:05.840]  就是雖然我之後就讀工程學院
[00:04:05.840 --> 00:04:08.840]  但其實我中二的時候
[00:04:08.840 --> 00:04:10.840]  我數學也試過不合格
[00:04:10.840 --> 00:04:14.840]  有一次就是第一個測試不合格
[00:04:14.840 --> 00:04:17.840]  第二次測試就已經很緊張
[00:04:17.840 --> 00:04:19.840]  如果這次再不合格的話
[00:04:19.840 --> 00:04:21.840]  就真的不知道怎麼辦
[00:04:21.840 --> 00:04:23.840]  還要是越來越難
[00:04:23.840 --> 00:04:26.840]  所教的那些材料
[00:04:26.840 --> 00:04:28.840]  測驗之前那天
[00:04:28.840 --> 00:04:32.840]  老師就給了一些提示我們
[00:04:32.840 --> 00:04:38.840]  因為有一些問題是一個挑戰問題
[00:04:38.840 --> 00:04:40.840]  所以就給了一些提示我們去準備
[00:04:40.840 --> 00:04:42.840]  心裡想,真是太好了,有提示
[00:04:42.840 --> 00:04:45.840]  但其實那天我隔壁的同學
[00:04:45.840 --> 00:04:48.840]  他就病了,沒有上學
[00:04:48.840 --> 00:04:50.840]  他一向都很厲害
[00:04:50.840 --> 00:04:52.840]  其實我在掙扎
[00:04:52.840 --> 00:04:54.840]  應不應該告訴他提示
[00:04:54.840 --> 00:04:59.840]  掙扎了一晚,我沒有告訴他
[00:04:59.840 --> 00:05:02.840]  我想他那麼厲害,他一定做得到
[00:05:02.840 --> 00:05:07.840]  但他最後就算沒有提示也做得到
[00:05:07.840 --> 00:05:10.840]  我知道那是問題,如果我沒有提示我是做不到的
[00:05:10.840 --> 00:05:12.840]  我佩服他厲害
[00:05:12.840 --> 00:05:14.840]  但我另一件事去反省
[00:05:14.840 --> 00:05:17.840]  我反省,為什麼我的生命是這樣的呢?
[00:05:17.840 --> 00:05:20.840]  為什麼我這麼自私呢?
[00:05:20.840 --> 00:05:25.840]  為什麼我會想為了贏而不去幫這位同學呢?
[00:05:25.840 --> 00:05:28.840]  雖然最終都是讓他做得到
[00:05:28.840 --> 00:05:32.840]  有一次,初中的時候
[00:05:32.840 --> 00:05:37.840]  有一班同學一起做一個項目
[00:05:37.840 --> 00:05:41.840]  做完之後,我在讚另一位同學
[00:05:41.840 --> 00:05:45.840]  讚他說,你這個想法真是很好
[00:05:45.840 --> 00:05:48.840]  你真的幫了我們團隊很多
[00:05:48.840 --> 00:05:50.840]  當然我同學很開心
[00:05:50.840 --> 00:05:53.840]  做完項目,回家途中
[00:05:53.840 --> 00:05:57.840]  心想,其實他這個想法也不是很好
[00:05:57.840 --> 00:06:00.840]  但為什麼我會在這裡開口讚他呢?
[00:06:00.840 --> 00:06:04.840]  當我再回想自己的內心
[00:06:04.840 --> 00:06:07.840]  究竟有什麼在裡面發生
[00:06:07.840 --> 00:06:10.840]  我發現原來我讚他的時候
[00:06:10.840 --> 00:06:12.840]  我想他倒過來讚我
[00:06:12.840 --> 00:06:17.840]  我在心想,為什麼我會是這樣的人呢?
[00:06:17.840 --> 00:06:20.840]  為什麼我去做一些事的時候
[00:06:20.840 --> 00:06:23.840]  其實都是為了自己的好處呢?
