
[00:00:00.000 --> 00:00:05.000]  (主持人:請展會)
[00:00:05.000 --> 00:00:07.680]  《生命記》來到第八章
[00:00:07.680 --> 00:00:09.760]  我給它的主題就是
[00:00:09.760 --> 00:00:13.480]  《無忘主因,謙卑過活》
[00:00:13.480 --> 00:00:16.360]  有沒有發現第四章開始
[00:00:16.360 --> 00:00:19.880]  《生命記》的作者不斷重複
[00:00:19.880 --> 00:00:23.200]  以色列人提及的那些東西
[00:00:23.200 --> 00:00:27.200]  就是耶和華神在西奈山所頒佈的
[00:00:27.200 --> 00:00:30.200]  《六禮典章》即十誡
[00:00:30.200 --> 00:00:35.000]  而且在第五章更加詳述了十誡的內容
[00:00:35.000 --> 00:00:39.560]  而十誡是源於《出埃及記》的二十章
[00:00:39.560 --> 00:00:42.200]  《出埃及記》二十章一節
[00:00:42.200 --> 00:00:44.200]  那裡這樣寫
[00:00:44.200 --> 00:00:48.840]  「神吩咐者一切的話說」
[00:00:48.840 --> 00:00:54.160]  這個十誡就是神吩咐一切的話
[00:00:54.160 --> 00:00:57.640]  以色列從來沒有十誡這個字
[00:00:57.640 --> 00:01:01.240]  十誡其實是神十句的話
[00:01:01.240 --> 00:01:08.040]  而這十句話就是神吩咐以色列人一切的命令
[00:01:08.040 --> 00:01:09.960]  而在第七章
[00:01:09.960 --> 00:01:12.560]  作者更加重申
[00:01:12.560 --> 00:01:18.040]  將以色列人是神特意揀選成為神各道子民的身份
[00:01:18.040 --> 00:01:20.360]  重申再提一次
[00:01:20.360 --> 00:01:22.280]  在這個身份下
[00:01:22.280 --> 00:01:26.600]  以色列人才能夠承受神一切的賜福
[00:01:26.600 --> 00:01:31.280]  包括神的愛、恩典、供應和保護
[00:01:31.280 --> 00:01:33.400]  弟姐們,我們可能會說
[00:01:33.400 --> 00:01:35.000]  這不是很好嗎?
[00:01:35.000 --> 00:01:37.400]  以色列人有這樣的身份
[00:01:37.400 --> 00:01:42.080]  又受到神這麼大的靠山的保護
[00:01:42.080 --> 00:01:47.880]  為什麼作者仍然重覆又重覆地提醒以色列人呢?
[00:01:47.880 --> 00:01:56.560]  因為這是建基於神藉著摩西和以色列人在西奈山所立的約
[00:01:56.560 --> 00:01:59.080]  而這個約唯一的條件就是
[00:01:59.080 --> 00:02:03.480]  以色列人要遵守神一切的話
[00:02:03.480 --> 00:02:06.760]  就是這十句話
[00:02:06.760 --> 00:02:14.760]  弟姐們,《新命記》的背景是一群在抗野出生的以色列新生代
[00:02:14.760 --> 00:02:16.560]  整裝待發
[00:02:16.560 --> 00:02:21.480]  預備進入神應許的迦南的最後階段
[00:02:21.480 --> 00:02:28.160]  正正就是摩西和這群新生代宣講的第二次
[00:02:28.160 --> 00:02:31.680]  以及和他們作出一些提醒
[00:02:31.680 --> 00:02:34.040]  上一代已經無望了
[00:02:34.040 --> 00:02:39.280]  摩西不要他們這一代的人重蹈覆轍
[00:02:39.280 --> 00:02:41.560]  步上一代的後塵
[00:02:41.560 --> 00:02:46.040]  所以第八章摩西特意提醒
[00:02:46.040 --> 00:02:48.520]  要記得耶和華是你的神
[00:02:48.520 --> 00:02:50.720]  不要忘記神的恩
[00:02:50.720 --> 00:02:53.720]  要謹守進行祂一切的話
[00:02:53.720 --> 00:02:57.120]  要謙卑地過活
[00:02:57.120 --> 00:03:05.720]  因為這就是他們得益和能夠存活的根基
[00:03:05.720 --> 00:03:11.040]  我們現在先看看第八章一至五節的內容
[00:03:11.040 --> 00:03:13.240]  我們一起重讀,預備起
