
[00:00:00.000 --> 00:00:01.700]  我是Pastor Ronica
[00:00:01.700 --> 00:00:03.300]  剛剛問了你們一句
[00:00:03.300 --> 00:00:06.500]  大家都很大聲說你們做基督徒是喜樂的
[00:00:06.500 --> 00:00:07.400]  很好啊
[00:00:07.400 --> 00:00:09.500]  那有什麼事發生在你們身上
[00:00:09.500 --> 00:00:12.300]  你會由心裏面喜樂的?
[00:00:12.300 --> 00:00:13.700]  會不會是這些?
[00:00:13.700 --> 00:00:16.400]  很冷的時候不用動就有衣服穿
[00:00:16.400 --> 00:00:19.500]  肚子餓的時候不用煮飯就有飯吃
[00:00:19.500 --> 00:00:23.000]  清潔家裡的時候不用做就會乾淨
[00:00:23.000 --> 00:00:25.800]  考試的時候不用讀就會高分
[00:00:25.800 --> 00:00:29.300]  要錢用的時候不用努力就有錢用
[00:00:29.300 --> 00:00:31.500]  會不會都是你們的想法?
[00:00:31.500 --> 00:00:33.400]  我想都不會吧
[00:00:33.400 --> 00:00:36.500]  我問過不同的青少年
[00:00:36.500 --> 00:00:39.100]  還有牧養他們的牧者
[00:00:39.100 --> 00:00:42.200]  他們的回覆是這樣的
[00:00:42.200 --> 00:00:44.100]  有人記得自己生日
[00:00:44.100 --> 00:00:45.800]  有人關心自己
[00:00:45.800 --> 00:00:47.900]  有資深的朋友
[00:00:47.900 --> 00:00:49.400]  被人聆聽
[00:00:49.400 --> 00:00:51.000]  考試成績好
[00:00:51.000 --> 00:00:51.700]  多朋友
[00:00:51.700 --> 00:00:54.300]  被人讚 被人欣賞 被人認同
[00:00:54.300 --> 00:00:55.900]  不用上學 不用做功課
[00:00:55.900 --> 00:00:58.000]  不用補習 沒有壓力
[00:00:58.000 --> 00:01:00.800]  吃玩睡 幫到人
[00:01:00.800 --> 00:01:03.300]  看到自己付出的努力
[00:01:03.300 --> 00:01:06.700]  然後就有相應的回報
[00:01:06.700 --> 00:01:11.100]  時間可以自己合理地分配和管理
[00:01:11.100 --> 00:01:13.400]  父母很多的陪伴
[00:01:13.400 --> 00:01:16.100]  教會的朋友是最好的朋友
[00:01:16.100 --> 00:01:18.200]  可以分享不同的東西
[00:01:18.200 --> 00:01:20.700]  彼此在這裡扶持
[00:01:20.700 --> 00:01:24.700]  或者是輕輕鬆鬆一起吃飯
[00:01:24.700 --> 00:01:27.200]  聊天 一起去旅行
[00:01:27.200 --> 00:01:29.900]  不用工作 做善事
[00:01:29.900 --> 00:01:32.000]  買到想買的東西
[00:01:32.000 --> 00:01:34.200]  可以瘋狂打遊戲
[00:01:34.200 --> 00:01:37.400]  抽到隱藏的武器
[00:01:37.400 --> 00:01:42.900]  或者是你們其中同意的
[00:01:42.900 --> 00:01:44.800]  我都不知道
[00:01:44.800 --> 00:01:46.500]  你們可能會問我
[00:01:46.500 --> 00:01:49.200]  那什麼才是喜樂呢?
[00:01:49.200 --> 00:01:52.300]  喜樂是什麼意思?
[00:01:52.300 --> 00:01:55.600]  我們一起看看《聖經》舊約裡的人
[00:01:55.600 --> 00:01:57.700]  他們什麼時候會喜樂?
[00:01:57.700 --> 00:02:00.600]  他們就是收到神的恩惠
[00:02:00.600 --> 00:02:04.500]  知道神為他們預備
[00:02:04.500 --> 00:02:08.900]  他們首節已經非常快樂
[00:02:08.900 --> 00:02:12.500]  好像《埃及記》的十八章九節
[00:02:12.500 --> 00:02:15.400]  摩西的岳父葉特羅
[00:02:15.400 --> 00:02:19.500]  因耶和華代以色列人一切的恩惠
[00:02:19.500 --> 00:02:22.700]  就是拯救他們脫離埃及人的手
[00:02:22.700 --> 00:02:25.600]  就非常喜樂
[00:02:25.600 --> 00:02:29.800]  他們的喜樂大致就是來自神
[00:02:29.800 --> 00:02:32.900]  那新約呢?
[00:02:32.900 --> 00:02:36.500]  新約使徒保羅經常教我們
[00:02:36.500 --> 00:02:41.000]  你要大大喜樂 常常不住禱告
[00:02:41.000 --> 00:02:43.200]  在《肥臘比書》一章二十五節
[00:02:43.200 --> 00:02:45.100]  他說的是
[00:02:45.100 --> 00:02:47.900]  既然我這樣深信
[00:02:47.900 --> 00:02:51.000]  就知道要留在世間
[00:02:51.000 --> 00:02:54.500]  且與你們眾人一起存留
[00:02:54.500 --> 00:02:57.100]  使你們在所信的道上
[00:02:57.100 --> 00:03:00.000]  又長進又喜樂
[00:03:00.000 --> 00:03:03.600]  是指信仰上的喜樂
[00:03:03.600 --> 00:03:08.400]  大致《聖經》的喜樂都是來自於神
[00:03:08.400 --> 00:03:10.600]  是長遠的
[00:03:10.600 --> 00:03:12.800]  不是來自物質
[00:03:12.800 --> 00:03:14.800]  或者不是來自人
[00:03:14.800 --> 00:03:17.500]  這些是短暫的
[00:03:17.500 --> 00:03:19.500]  今天是復活節主日
[00:03:19.500 --> 00:03:24.100]  我們慶祝耶穌基督的復活
