
[00:00:00.000 --> 00:00:08.180]  各位explorer,當我在數算2025年的因典或不同的經歷時
[00:00:08.180 --> 00:00:12.580]  我都組合了一些我2025年的學習
[00:00:12.580 --> 00:00:18.000]  首先分享一下,然後再說訊息
[00:00:18.000 --> 00:00:25.000]  第一就是我認識到自己在人際關係的限制
[00:00:25.000 --> 00:00:32.000]  即使是Pasta,愛人的能力都是有限公司的
[00:00:32.000 --> 00:00:41.000]  不過靠著神,靠著主的話語,一定是我最大的動力去愛身邊的人
[00:00:41.000 --> 00:00:47.000]  饒書的功課不容易,人際關係有很多東西要學習,都很不容易
[00:00:47.000 --> 00:00:51.000]  但靠主能夠跨性,靠主能夠跨性
[00:00:51.000 --> 00:00:57.000]  第二就是,幸福不是必然,但當我們靠著神的時候
[00:00:57.000 --> 00:01:03.000]  我們跟主連結的時候,我們一定有豐盛的生命
[00:01:03.000 --> 00:01:08.000]  特別感受比較深的是,剛剛聖誕的禮拜
[00:01:08.000 --> 00:01:13.000]  我23號就去探望了一位朋友,他在醫院裡
[00:01:13.000 --> 00:01:18.000]  他也是長期受精神病的影響
[00:01:18.000 --> 00:01:25.000]  很無奈,正正大家在聖誕裡拆禮物
[00:01:25.000 --> 00:01:29.000]  他很開心,想著跟朋友交換禮物
[00:01:29.000 --> 00:01:33.000]  究竟是secret angel,還是那些丟出來一起拿禮物的時候
[00:01:33.000 --> 00:01:37.000]  我這位朋友就在醫院裡度過
[00:01:37.000 --> 00:01:44.000]  所以我也去探望他,送了一些心意給他
[00:01:44.000 --> 00:01:48.000]  他也覺得聖誕也可以拆禮物的感覺
[00:01:48.000 --> 00:01:53.000]  所以也想大家為他禱告
[00:01:53.000 --> 00:02:00.000]  縱然他也是不停在loop裡,進醫院也是一個routine
[00:02:00.000 --> 00:02:08.000]  希望大家都能夠紀念他的健康,他的精神健康
[00:02:08.000 --> 00:02:12.000]  希望他有一天靠著神可以走出來
[00:02:12.000 --> 00:02:18.000]  更好的機會是在教會的台上分享見證
[00:02:18.000 --> 00:02:22.000]  因為我深信當我們靠著神的時候
[00:02:22.000 --> 00:02:26.000]  必然會有豐盛的生命在裡面
[00:02:26.000 --> 00:02:31.000]  第三,就是神在我軟弱裡動功
[00:02:31.000 --> 00:02:34.000]  大家不要覺得我很喜歡講道
[00:02:34.000 --> 00:02:40.000]  其實我知道我的團隊不是很喜歡講道
[00:02:40.000 --> 00:02:43.000]  我很喜歡在這麼多人面前分享訊息
[00:02:43.000 --> 00:02:49.000]  比較喜歡小組的,一起查經,十個人去看神的話語
[00:02:49.000 --> 00:02:56.000]  這一年神也給我很多機會去講道,去分享訊息
[00:02:56.000 --> 00:03:01.000]  主透過我的軟弱,讓我見證到祂
[00:03:01.000 --> 00:03:04.000]  有一次在成人崇拜去分享訊息的時候
[00:03:04.000 --> 00:03:08.000]  我也覺得說著說著好像不是自己在說
[00:03:08.000 --> 00:03:13.000]  很能夠經歷到神與我同在,在講道的裡面
[00:03:13.000 --> 00:03:17.000]  第四,就是學習到主耶穌在
