
[00:00:00.000 --> 00:00:02.000]  聽姐妹早晨
[00:00:02.000 --> 00:00:07.000]  有人見到這個題目時問我,牧師你是不是打錯字?
[00:00:07.000 --> 00:00:13.000]  應該是窒道要毀謗可怕,為何你寫可惡呢?
[00:00:13.000 --> 00:00:19.000]  我沒有打錯字,稍後我會解釋為何我覺得可惡多過可怕
[00:00:19.000 --> 00:00:23.000]  窒道,心理學家告訴我,是一種很複雜的情緒
[00:00:23.000 --> 00:00:31.000]  通常來源在我們心裏和其他人的比較和競爭的心態
[00:00:31.000 --> 00:00:40.000]  但在這種情緒裏又夾雜著一些羨慕、焦慮、憤怒和自卑的情緒
[00:00:40.000 --> 00:00:47.000]  窒道往往發生在我們和周遭親近或條件相似的人身上
[00:00:47.000 --> 00:00:50.000]  如果相差很遠,我們是沒有窒道的,因為是不同的
[00:00:50.000 --> 00:00:56.000]  很多時候很相似、很相近,於是窒道就會發生
[00:00:56.000 --> 00:01:01.000]  窒道在希伯來文的意思是忌邪,窒道可以這樣翻譯
[00:01:01.000 --> 00:01:04.000]  或者亦可以譯作熱心和激動
[00:01:04.000 --> 00:01:07.000]  《聖經》當中其實都有提到神都窒道
[00:01:07.000 --> 00:01:12.000]  所以有時這個字不一定完全是百分百的負面
[00:01:12.000 --> 00:01:18.000]  當日和合本亦做忌邪多些,當譯到神的那種窒道的心的時候
[00:01:18.000 --> 00:01:20.000]  不過神的窒道和人不同
[00:01:20.000 --> 00:01:26.000]  神的忌邪的神,祂的窒道不是出於祂的自私和惡意
[00:01:26.000 --> 00:01:30.000]  就是說神的窒道不是只是為了祂自己的好處
[00:01:30.000 --> 00:01:32.000]  而是出於祂聖潔的屬性
[00:01:32.000 --> 00:01:36.000]  目的是引導人走向正確的道路
[00:01:36.000 --> 00:01:41.000]  遠離邪惡和偏離真理的事物
[00:01:41.000 --> 00:01:44.000]  《聖經》說神是一個忌邪的神,神是一個窒道的神
[00:01:44.000 --> 00:01:49.000]  就是當祂見到人犯罪離開祂的時候,做一些事跟祂背道而馳
[00:01:49.000 --> 00:01:52.000]  祂就會覺得很憤怒,很不開心
[00:01:52.000 --> 00:01:56.000]  然後祂就會想辦法將你帶回頭
[00:01:56.000 --> 00:01:59.000]  但是人的窒道不同
[00:01:59.000 --> 00:02:02.000]  祂讓你看到因為別人的成功
[00:02:02.000 --> 00:02:05.000]  而心裏面產生一種焦慮和不安的情緒
[00:02:05.000 --> 00:02:08.000]  而這種情緒佔滿了我們整個的心
[00:02:08.000 --> 00:02:12.000]  讓我們越見到那個人的成功,我們就越不開心
[00:02:12.000 --> 00:02:19.000]  越見到那個人的順利,我們心裏面就越覺得不開心
[00:02:19.000 --> 00:02:25.000]  所以窒道就好像一個人不斷在你耳邊說這句話
[00:02:25.000 --> 00:02:29.000]  為什麼是他,為什麼不是我
[00:02:29.000 --> 00:02:32.000]  不知道大家有沒有說過這句話
[00:02:32.000 --> 00:02:35.000]  升職的時候可能會問,為什麼是他,不是我
[00:02:35.000 --> 00:02:37.000]  拿到一百分,我九十九分
[00:02:37.000 --> 00:02:39.000]  我真的有一次在大學說過
[00:02:39.000 --> 00:02:41.000]  我有一個同學很厲害,有一次我跟他都差不多
[00:02:41.000 --> 00:02:43.000]  我拿回來之後,我很高分,我很開心
[00:02:43.000 --> 00:02:45.000]  我就問他,他當我一分
[00:02:45.000 --> 00:02:48.000]  我打算跟他說,這次我終於贏你了
[00:02:48.000 --> 00:02:50.000]  然後我心裏面就說,為什麼是你,不是我
[00:02:50.000 --> 00:02:53.000]  又是我,為什麼是這樣
[00:02:53.000 --> 00:02:56.000]  這個說話其實很多時候都在我們生命當中出現
[00:02:56.000 --> 00:02:58.000]  今天我們看的那段經文
[00:02:58.000 --> 00:03:02.000]  米利安和亞倫,一個做姐姐,一個做哥哥
[00:03:02.000 --> 00:03:04.000]  但是他們兩個人的說話
[00:03:04.000 --> 00:03:09.000]  正正是將以上窒道的意思完全表露了出來
[00:03:09.000 --> 00:03:11.000]  民俗的十二章第二節
[00:03:11.000 --> 00:03:14.000]  難道耶和華只與摩西說話嗎
