
[00:00:00.000 --> 00:00:06.600]  今天輪到小弟講道,和大家分享一個topic就是喜樂不喜樂
[00:00:06.600 --> 00:00:11.680]  那些人經常都會問你今天開心不開心,高興不高興
[00:00:11.680 --> 00:00:14.160]  今天和大家分享一個topic就是喜樂不喜樂
[00:00:14.160 --> 00:00:21.920]  最近Apple都出了新電話,有沒有你身邊的人,你看看你旁邊那個,有沒有誰已經換了新電話
[00:00:21.920 --> 00:00:25.120]  你看看有誰換了iPhone17
[00:00:25.120 --> 00:00:31.840]  有嗎?有,剛剛看到有一個字,應該是看不到的,我們這裡有一個什麼challenge
[00:00:31.840 --> 00:00:36.080]  Airplane mode challenge,應該是看不到你的電話
[00:00:36.080 --> 00:00:43.680]  所以你看到你旁邊那個拿電話,你提一提他,記得要聽到的時候收起來,我們一起去聽上帝的話語
[00:00:43.680 --> 00:00:50.400]  為什麼會提這個話題呢?就是因為我用的電話就是iPhone16
[00:00:50.400 --> 00:00:56.920]  平時呢,剛剛這一年如果有需要去自拍,吃飯自拍,拍照
[00:00:56.920 --> 00:01:00.960]  多數都會和我說,你的電話新,你拿你的電話出來拍照
[00:01:00.960 --> 00:01:05.480]  好了,去到上個星期開始,沒有人再問過我這件事了
[00:01:05.480 --> 00:01:08.920]  為什麼呢?因為最新的iPhone多少?
[00:01:08.920 --> 00:01:13.200]  17已經出來了,所以小弟的iPhone16已經怎樣?
[00:01:13.200 --> 00:01:15.200]  歐了,沒有人要了
[00:01:15.600 --> 00:01:21.080]  就算我拿出來,人家都叫我做什麼?你收起來吧,現在有最新的,不用叫我了
[00:01:21.080 --> 00:01:25.400]  人生都變幻無常,上個星期還說要用我的電話來拍
[00:01:25.400 --> 00:01:27.400]  下個星期就已經沒有人再需要我了
[00:01:27.400 --> 00:01:33.320]  多一個事情,就是上個月華家沙打過來,大家放了幾天假
[00:01:33.320 --> 00:01:37.600]  香港政府都超前部署,給大家幾天假
[00:01:37.600 --> 00:01:40.280]  很早就掛了北號波,叫大家回家
[00:01:40.280 --> 00:01:44.600]  有沒有人家裡的樹倒塌了,家裡水浸了
[00:01:45.200 --> 00:01:48.360]  有沒有家裡水浸了,看到有人在噏頭
[00:01:48.360 --> 00:01:54.120]  我因為宿舍在長洲,所以都是其中一個重災區
[00:01:54.120 --> 00:02:02.360]  有些可能要四五個人才能抱得到的樹,就倒塌在主要的路上
[00:02:02.360 --> 00:02:06.920]  基本上是走不到的,要繞很遠的路才能回到山上
[00:02:06.920 --> 00:02:12.400]  我說這些事情,可能對大家來說是小事
[00:02:12.400 --> 00:02:16.760]  我用不到iPhone16自拍,就找iPhone17吧
[00:02:16.760 --> 00:02:22.080]  既然走不到主要的路,就走另一條路吧
[00:02:22.080 --> 00:02:26.360]  其實有些事情,沒有了就沒有了就算了
[00:02:26.360 --> 00:02:30.120]  但是原來聖經的話語不是這樣教我們
[00:02:30.120 --> 00:02:36.320]  原來有些事情,生命當中如果沒有了,我們是不可以放手的
[00:02:36.320 --> 00:02:38.320]  我們是要去捉緊它
[00:02:38.320 --> 00:02:46.320]  就像我們這個月主要去講菲勒比書的書卷,當中講到喜樂
[00:02:46.320 --> 00:02:51.600]  台下有沒有誰可以保證你每一天都是一個喜樂的生命
[00:02:51.600 --> 00:02:56.320]  有沒有人會覺得你每一天都是很喜樂,一定不會改變的
[00:02:56.320 --> 00:03:01.040]  到底保羅怎樣教我們在喜樂的,或者在這麼困難的人生裡面
[00:03:01.040 --> 00:03:03.600]  我們怎樣保持住那份喜樂的心
[00:03:03.600 --> 00:03:07.080]  就讓我們現在去看菲勒比書最後一章的時候
[00:03:07.080 --> 00:03:09.880]  我們先有一分鐘的時間去安靜自己
[00:03:09.880 --> 00:03:14.200]  讓我們先用禱告去到上帝面前
[00:03:14.200 --> 00:03:17.080]  我們去到立志,我們願意去聽祂的道
[00:03:17.080 --> 00:03:19.080]  現在我們有大概一分鐘的時間
[00:03:19.080 --> 00:03:22.280]  讓大家合上雙眼,合上手
[00:03:22.280 --> 00:03:26.000]  我們有一點時間向主去禱告
[00:03:26.000 --> 00:03:28.000]  讓我們一起去禱告
[00:03:28.000 --> 00:03:30.000]  親愛的上帝,我們要去感謝你
[00:03:30.000 --> 00:03:34.000]  讓你幫助我們明白喜樂是由上帝而來
[00:03:34.000 --> 00:03:37.400]  叫我們在任何情境底下我們仍然選擇去喜樂
[00:03:37.400 --> 00:03:42.000]  仍然叫我們每一個人可以得到那份從你而來的喜樂的人生
[00:03:42.000 --> 00:03:45.000]  將一會的時間交上,奉主命求,阿門
[00:03:45.000 --> 00:03:47.000]  相信經文大家聽了很多次
[00:03:47.000 --> 00:03:49.400]  我也不特別再去解釋當中的背景
[00:03:49.400 --> 00:03:52.800]  但我小小去到講回就是一直以來
[00:03:52.800 --> 00:03:56.400]  菲勒比書都是去到和大家強調喜樂是一件什麼的事
[00:03:56.400 --> 00:03:58.400]  我們怎樣做到喜樂,什麼是喜樂
[00:03:58.400 --> 00:04:00.400]  怎樣才叫做喜樂
[00:04:00.400 --> 00:04:05.400]  去到第四章,保羅繼續用喜樂作為主題
[00:04:05.400 --> 00:04:07.400]  主要是分為上和下面的部分
[00:04:07.400 --> 00:04:09.400]  上面的部分就是和大家說
[00:04:09.400 --> 00:04:12.400]  你們要記得喜樂和平相處
[00:04:12.400 --> 00:04:15.400]  下面的部分就是多謝菲勒比教會
[00:04:15.400 --> 00:04:19.400]  他去到提供一些協助和多謝菲勒比教會
[00:04:19.400 --> 00:04:22.400]  菲勒比書其實有一個很特別的地方
[00:04:22.400 --> 00:04:26.400]  就是大家都知道保羅在監獄裡面寫了一封信
[00:04:26.400 --> 00:04:30.400]  作為一個自身難保,要去到坐牢的人
[00:04:30.400 --> 00:04:32.400]  要跟別人說,你記得喜樂
