
[00:00:00.000 --> 00:00:03.520]  主啊!禰真的是好愛我們
[00:00:03.520 --> 00:00:06.720]  禰瞭解我們每個人的生活情況
[00:00:06.720 --> 00:00:09.240]  我們的人生的軌道
[00:00:09.240 --> 00:00:12.240]  主啊!我常常在弟兄姐妹的生命中
[00:00:12.240 --> 00:00:14.480]  聽到禰無數的恩典
[00:00:14.480 --> 00:00:16.000]  我感謝贊美禰
[00:00:16.000 --> 00:00:20.560]  我們又再一次地來到這個主日崇拜
[00:00:20.560 --> 00:00:22.280]  我們贊美禰
[00:00:22.280 --> 00:00:23.920]  禰是我們的祖先
[00:00:23.920 --> 00:00:25.600]  禰是我們的神父
[00:00:25.600 --> 00:00:27.120]  禰是我們的祖母
[00:00:27.120 --> 00:00:28.640]  禰是我們的祖母
[00:00:28.640 --> 00:00:30.040]  禰是我們的神父
[00:00:30.040 --> 00:00:31.480]  禰是我們的神父
[00:00:31.480 --> 00:00:35.240]  我們再次次次地來到這次的崇拜
[00:00:35.240 --> 00:00:38.200]  我們知道主啊!禰為我們預備
[00:00:38.200 --> 00:00:40.160]  禰為我們來設立
[00:00:40.160 --> 00:00:44.960]  以致我們每個星期都被提醒一個重要的真理
[00:00:44.960 --> 00:00:47.400]  人活著是要榮耀上帝
[00:00:47.400 --> 00:00:50.600]  人活著找到這個生命的呼召
[00:00:50.600 --> 00:00:55.120]  我們就知道我們其他的事情該擺在什麼位置
[00:00:55.120 --> 00:00:59.160]  禰是我們的精神跟精彩的生命
[00:00:59.160 --> 00:01:01.520]  是禰為我們預備的生命
[00:01:01.520 --> 00:01:05.720]  目的就是要讓我們越來越像禰的兒子耶穌基督
[00:01:05.720 --> 00:01:07.360]  我們感謝贊美禰
[00:01:07.360 --> 00:01:09.760]  禱告奉主耶穌基督聖明祈求
[00:01:09.760 --> 00:01:11.000]  Amen
[00:01:11.000 --> 00:01:17.280]  好!那麼上一回我們講到如何有效的溝通啊!聆聽啊!
[00:01:17.280 --> 00:01:20.040]  我們有幾個重要的真理呢!
[00:01:20.040 --> 00:01:23.440]  它是不管是聆聽還是說話
[00:01:23.440 --> 00:01:25.680]  它都有一些重要的原則
[00:01:25.680 --> 00:01:27.880]  我們看看上回的幾個重點啊!
[00:01:27.880 --> 00:01:31.000]  有興趣再聽回講到的
[00:01:31.000 --> 00:01:33.880]  可以上網去聽我們的錄音
[00:01:33.880 --> 00:01:37.960]  那麼有效的說話是從有效的聆聽開始啊!
[00:01:37.960 --> 00:01:39.160]  上次我們講到
[00:01:39.160 --> 00:01:40.720]  你要好好地聽
[00:01:40.720 --> 00:01:44.320]  你才要知道怎麼樣的回應別人
[00:01:44.320 --> 00:01:47.000]  所以你要學會好好地聽
[00:01:47.000 --> 00:01:48.520]  聽到人家的內容
[00:01:48.520 --> 00:01:50.520]  聽到人家沒講的話
[00:01:50.520 --> 00:01:52.880]  聽到人家的感受
[00:01:52.880 --> 00:01:55.680]  第二呢就是聖經教導我們呢
[00:01:55.680 --> 00:02:00.760]  溝通是聽加說加情緒啊!
[00:02:00.760 --> 00:02:02.200]  所以我們整個溝通
[00:02:02.200 --> 00:02:04.840]  我們如果只以為是在講話呢
[00:02:04.840 --> 00:02:07.040]  我們就真的是不懂得溝通
[00:02:07.040 --> 00:02:10.920]  難怪會出現這麼多跟你講也不明白
[00:02:10.920 --> 00:02:13.880]  跟你無法溝通這樣的一些事情啊!
[00:02:13.880 --> 00:02:18.680]  所以溝通是包括聽跟說跟情緒
[00:02:18.680 --> 00:02:19.960]  第三呢就是
[00:02:19.960 --> 00:02:23.240]  上次學到我們的神是聆聽的神啊!
[00:02:23.240 --> 00:02:27.200]  所以讓我們呢也做個懂得聆聽的人
[00:02:27.200 --> 00:02:28.720]  那很寶貴啊!
[00:02:28.720 --> 00:02:30.800]  原來聆聽我們理所當然
[00:02:30.800 --> 00:02:32.480]  我們當做是理所當然的
[00:02:32.480 --> 00:02:35.360]  這樣的一個我們能做的事情
[00:02:35.360 --> 00:02:36.800]  原來是這麼寶貴的
[00:02:36.800 --> 00:02:39.440]  我們的上帝是一個聆聽的神
[00:02:39.440 --> 00:02:41.040]  我們能夠好好聆聽
[00:02:41.040 --> 00:02:45.120]  也能夠帶來很多的祝福跟生命的美好
[00:02:45.120 --> 00:02:47.240]  另外呢我們也看到呢
[00:02:47.240 --> 00:02:49.080]  有效的聆聽呢
[00:02:49.080 --> 00:02:51.800]  包括了幾個很重要的重點啊!
[00:02:51.800 --> 00:02:55.080]  一個是你要先放下自己的看法
[00:02:55.080 --> 00:02:56.240]  放下自己的看法
[00:02:56.240 --> 00:02:58.000]  你才不會一面聽的時候
[00:02:58.000 --> 00:02:59.720]  一面用你自己的理解
[00:02:59.720 --> 00:03:02.800]  來扭曲了對方沒講的
[00:03:02.800 --> 00:03:05.520]  第二就是你要理解對方的邏輯
[00:03:05.520 --> 00:03:07.720]  就是你放下自己的看法
[00:03:07.720 --> 00:03:09.760]  你還要理解對方邏輯
[00:03:09.760 --> 00:03:11.280]  你願意去理解他
[00:03:11.280 --> 00:03:13.600]  他為什麼是這樣想的啊!
[00:03:13.600 --> 00:03:15.240]  我用的例子就是那個
[00:03:15.240 --> 00:03:18.720]  A到B還是A到C到F到G到Z
[00:03:18.720 --> 00:03:20.720]  還要還到B對嗎
[00:03:20.720 --> 00:03:23.480]  不同人有不同的邏輯啊
[00:03:23.480 --> 00:03:26.440]  你要瞭解你才能夠溝通的到
[00:03:26.440 --> 00:03:29.560]  第三呢就是你要帶入對方的感受
[00:03:29.560 --> 00:03:32.240]  你要想他現在是什麼感受
[00:03:32.240 --> 00:03:34.160]  你要能夠聽到他講話
[00:03:34.160 --> 00:03:35.800]  為什麼選這樣的字
[00:03:35.800 --> 00:03:37.640]  背後是什麼感受
[00:03:37.640 --> 00:03:39.240]  你要明白
[00:03:39.240 --> 00:03:42.760]  第四呢是你要聆聽到無聲的言語啊
[00:03:42.760 --> 00:03:45.960]  就是什麼話他故意避開不講呢
[00:03:45.960 --> 00:03:48.760]  為什麼呢在那裡是不是有傷痛呢
[00:03:48.760 --> 00:03:50.200]  是不是有難言之隱
[00:03:50.200 --> 00:03:54.040]  是不是一提到他就無法再講下去呢
[00:03:54.040 --> 00:03:57.080]  你要瞭解那也是聆聽啊
[00:03:57.080 --> 00:04:02.000]  第五呢就是你要接納對方的真我啊
[00:04:02.000 --> 00:04:03.520]  聆聽也包括呢
[00:04:03.520 --> 00:04:08.040]  你不去用你自己的標準去批判他
[00:04:08.040 --> 00:04:09.880]  你是去接納他
[00:04:09.880 --> 00:04:11.480]  他目前的處境是這樣
[00:04:11.480 --> 00:04:14.240]  當然他可能靠著主的恩典
[00:04:14.240 --> 00:04:16.560]  應該還能夠更自由
[00:04:16.560 --> 00:04:21.160]  更沒有那種苦毒或者那種傷害感
[00:04:21.160 --> 00:04:24.000]  但是你要接納當下的他
