
[00:00:00.000 --> 00:00:10.000]  今晚在黃昏崇拜可以聽到敬拜隊帶來的詩歌
[00:00:10.000 --> 00:00:20.000]  也有剛才的小組帶我們進入敬拜當中
[00:00:20.000 --> 00:00:23.000]  不知道大家聽完後是否學無呢?
[00:00:23.000 --> 00:00:26.000]  你是不是真的學無呢?
[00:00:26.000 --> 00:00:34.000]  如果你是學無就要搞清楚你是否真正重新得救的神兒女
[00:00:34.000 --> 00:00:38.000]  因為不是買入場券去那裏的
[00:00:38.000 --> 00:00:40.000]  那裏是不能買票的
[00:00:40.000 --> 00:00:41.000]  那裏是怎樣的?
[00:00:41.000 --> 00:00:44.000]  去到上帝的生命河
[00:00:44.000 --> 00:00:46.000]  在祂的寶座旁
[00:00:46.000 --> 00:00:49.000]  永遠我們讚頌敬拜
[00:00:49.000 --> 00:00:53.000]  將來在新天新地就有你和我
[00:00:53.000 --> 00:00:57.000]  我希望我們每一個港福家的弟兄姊妹都有份
[00:00:57.000 --> 00:00:58.000]  好不好?
[00:00:58.000 --> 00:01:01.000]  你真的要搞清楚
[00:01:01.000 --> 00:01:05.000]  所以今天我和大家分享的啟示錄
[00:01:05.000 --> 00:01:08.000]  其實去到七教會的結尾
[00:01:08.000 --> 00:01:13.000]  如果我們很快去回顧一下
[00:01:13.000 --> 00:01:15.000]  由第二章一開始
[00:01:15.000 --> 00:01:21.000]  頭七節李嘉桓傳道和我們看二福所這個教會
[00:01:21.000 --> 00:01:25.000]  讓我們重拾起初失掉的愛心
[00:01:25.000 --> 00:01:30.000]  這個是每一個時代每一間教會都需要留意的
[00:01:30.000 --> 00:01:36.000]  還有我們看見在善美娜和別加摩這兩個教會裏面
[00:01:36.000 --> 00:01:40.000]  是說到他們怎樣來到至死忠心
[00:01:40.000 --> 00:01:44.000]  堅決義端守主的道
[00:01:44.000 --> 00:01:48.000]  而上一堂我們也看見李文耀博士和我們分享
[00:01:48.000 --> 00:01:51.000]  推也推拉和殺敵的教會
[00:01:51.000 --> 00:01:54.000]  都有一個共同的元素
[00:01:54.000 --> 00:01:56.000]  就是甚麼?
[00:01:56.000 --> 00:01:57.000]  縱容的罪
[00:01:57.000 --> 00:02:03.000]  他們兩個教會都犯了縱容一些假的師父
[00:02:03.000 --> 00:02:06.000]  在當中傳假的道
[00:02:06.000 --> 00:02:11.000]  這些都是我們今天來到最後這兩個教會又怎樣看呢?
[00:02:11.000 --> 00:02:14.000]  我們真的要看清楚一點
[00:02:14.000 --> 00:02:22.000]  這兩個教會都是在說兩個教會有共同的一些真相
[00:02:22.000 --> 00:02:26.000]  一些他們生命的本質
[00:02:26.000 --> 00:02:31.000]  他們教會裏面他們應該怎樣看他們自己
[00:02:31.000 --> 00:02:36.000]  是別人定義他們教會的身份
[00:02:36.000 --> 00:02:41.000]  還是我們在哪裏來定義我們今天作為地上的教會
[00:02:41.000 --> 00:02:43.000]  我們怎樣看我們自己
[00:02:43.000 --> 00:02:49.000]  其實如果你說這七教會全部都是以基督為中心
[00:02:49.000 --> 00:02:52.000]  因為是基督用他的寵價補血買熟我們
[00:02:52.000 --> 00:02:57.000]  如果你從一個這樣的思路你可以慢慢看清楚一點
[00:02:57.000 --> 00:03:01.000]  這個節目不知道大家知不知道
[00:03:01.000 --> 00:03:03.000]  你有沒有看過呢?
[00:03:03.000 --> 00:03:05.000]  你有呀?
[00:03:05.000 --> 00:03:08.000]  你令我很驚訝
[00:03:08.000 --> 00:03:13.000]  其實這個節目是很長壽的
[00:03:13.000 --> 00:03:14.000]  有七年時間
[00:03:14.000 --> 00:03:17.000]  不過它是很早期的
[00:03:17.000 --> 00:03:20.000]  所以好像不像你的年紀
[00:03:20.000 --> 00:03:28.000]  這個節目是由94年3月到2000年12月
[00:03:28.000 --> 00:03:33.000]  是亞視的一個資訊的娛樂節目
[00:03:33.000 --> 00:03:37.000]  裏面其實看真一點
[00:03:37.000 --> 00:03:39.000]  當時社會的現況
[00:03:39.000 --> 00:03:41.000]  一些時事
[00:03:41.000 --> 00:03:43.000]  一些傳聞
