
[00:00:00.000 --> 00:00:01.200]   Good morning, everyone.
[00:00:01.200 --> 00:00:02.600]   I'm so happy to be here today.
[00:00:02.600 --> 00:00:04.680]   This is KFC, right?
[00:00:04.680 --> 00:00:08.480]   Yes, and there are many young people here.
[00:00:08.480 --> 00:00:10.400]   Let me introduce myself first.
[00:00:10.400 --> 00:00:13.880]   I'm Hu Yu-yong, the founder of U4.
[00:00:13.880 --> 00:00:16.840]   Young people usually don't call themselves "Yong-ge".
[00:00:16.840 --> 00:00:19.840]   But if you're 25 or older,
[00:00:19.840 --> 00:00:21.360]   you can call yourself "Yong".
[00:00:21.360 --> 00:00:22.600]   We're all the same age.
[00:00:22.600 --> 00:00:23.440]   So I want to hear...
[00:00:23.440 --> 00:00:27.640]   Because I can't see your faces clearly under the light.
[00:00:27.640 --> 00:00:31.000]   I want to know who is "Yong" and who is "Yong-ge".
[00:00:31.000 --> 00:00:32.160]   I want to know where you are.
[00:00:32.160 --> 00:00:33.720]   I'll count to three, and you can call my name.
[00:00:33.720 --> 00:00:34.720]   I'll know where you are.
[00:00:34.720 --> 00:00:36.560]   One, two, three.
[00:00:36.560 --> 00:00:39.440]   This side is "Yong-ge".
[00:00:39.440 --> 00:00:44.440]   I often go to different schools,
[00:00:44.440 --> 00:00:46.000]   different churches,
[00:00:46.000 --> 00:00:47.240]   and different jobs.
[00:00:47.240 --> 00:00:49.880]   We have a space in our workplace.
[00:00:49.880 --> 00:00:51.680]   We have a space here.
[00:00:51.680 --> 00:00:54.640]   Last time, a team of witnesses came to visit us.
[00:00:54.640 --> 00:00:55.880]   It just so happens to be called "The World".
[00:00:55.880 --> 00:00:59.000]   So when I saw "Come to The World",
[00:00:59.000 --> 00:01:01.200]   I felt very familiar.
[00:01:01.200 --> 00:01:02.240]   It's like welcoming me.
[00:01:02.240 --> 00:01:05.280]   I can continue to bring the water of life to the world.
[00:01:05.280 --> 00:01:07.360]   Here, everyone can meet Jesus.
[00:01:07.360 --> 00:01:08.680]   It's like a paradise.
[00:01:08.680 --> 00:01:12.200]   Today's topic is called "The New Fire".
[00:01:12.200 --> 00:01:16.480]   My original topic was a bit of a joke.
[00:01:16.480 --> 00:01:19.560]   The "New" in "New Fire" is what we originally called "New Fire Youth Network".
[00:01:19.560 --> 00:01:21.680]   People usually call it "U4".
[00:01:21.680 --> 00:01:23.720]   U4 has a special feature, which is "fast".
[00:01:23.720 --> 00:01:24.880]   So I talk very fast.
[00:01:24.880 --> 00:01:25.840]   Can you keep up with me?
[00:01:25.840 --> 00:01:26.640]   I want to cooperate with everyone.
[00:01:26.640 --> 00:01:28.080]   I don't need to be so sincere.
[00:01:28.080 --> 00:01:29.120]   So I'm very sincere.
[00:01:29.120 --> 00:01:30.320]   I speed up my speech.
[00:01:30.320 --> 00:01:31.440]   And I have limited time.
[00:01:31.440 --> 00:01:33.040]   I'll talk faster.
[00:01:33.040 --> 00:01:35.680]   U4 has two core values.
[00:01:35.680 --> 00:01:38.440]   First, we want to talk about networks.
[00:01:38.440 --> 00:01:40.480]   Through different bridges,
[00:01:40.480 --> 00:01:42.880]   we can connect to many different schools,
[00:01:42.880 --> 00:01:43.640]   churches,
[00:01:43.640 --> 00:01:45.080]   and workplaces,
[00:01:45.080 --> 00:01:46.240]   and different institutions.
[00:01:46.240 --> 00:01:47.400]   It's like a four-wheel drive.
[00:01:47.400 --> 00:01:48.120]   It's fast.
[00:01:48.120 --> 00:01:49.920]   It's fast on the highway.
