
[00:00:00.000 --> 00:00:05.000]  主持人:各位弟兄姊妹,主佬平安!
[00:00:05.000 --> 00:00:11.000]  我們差不多來到傳道書的尾聲了
[00:00:11.000 --> 00:00:16.000]  今天講的經文是傳道書十一章七節到十二章七節
[00:00:16.000 --> 00:00:20.000]  這段可以算是傳道書的總結
[00:00:20.000 --> 00:00:26.000]  當看這段總結的時候,我不知道大家有沒有很快地看一次
[00:00:26.000 --> 00:00:32.000]  有些經文可能你沒看過整段傳道書,你也可能會聽過
[00:00:32.000 --> 00:00:40.000]  在我預備這篇講道的時候,我一看到一句就想起我以前上團契的片段
[00:00:40.000 --> 00:00:48.000]  因為我以前中學的時候上團契,我們有一位導師很喜歡去旅行
[00:00:48.000 --> 00:00:55.000]  他也很努力上班,他給我們的印象就是他很喜歡玩,很懂得享受人生
[00:00:55.000 --> 00:01:03.000]  甚至當我們中學的時候,他請我們去他家,他開幾瓶酒給我們喝
[00:01:03.000 --> 00:01:07.000]  我們經常都會說他,我們對基督徒的印象不是很刻苦嗎?
[00:01:07.000 --> 00:01:12.000]  尤其是你也做到導師,領袖,不是應該做好榜樣嗎?
[00:01:12.000 --> 00:01:17.000]  他就說傳道書,這一句十一章第九節,就這樣說
[00:01:17.000 --> 00:01:19.000]  你們沒看聖經嗎?
[00:01:19.000 --> 00:01:35.000]  聖經說,年輕人,你在年少時當快樂,在年輕時使你的心寬暢,做你心所願做的,看你眼所愛看的
[00:01:35.000 --> 00:01:42.000]  他就這樣跟我們說,每次我們這樣說他,他都會說這一句
[00:01:42.000 --> 00:01:47.000]  有一次我們真的不服氣,就去翻查聖經,這一句來自哪裡?
[00:01:47.000 --> 00:01:49.000]  為什麼會這樣不同?
[00:01:49.000 --> 00:01:51.000]  我發現原來是來自傳道書的
[00:01:51.000 --> 00:01:57.000]  還發現一件事,原來這一句是十一章九節的頭半句
[00:01:57.000 --> 00:01:59.000]  他後半句沒有跟我們說
[00:01:59.000 --> 00:02:01.000]  大家知道後半句是什麼嗎?
[00:02:01.000 --> 00:02:09.000]  後半句是,卻要知道,為這一切事,上帝必須問你,導師
[00:02:09.000 --> 00:02:15.000]  所以享樂的時候,千萬不要去到這麼盡,神不會記住的
[00:02:15.000 --> 00:02:21.000]  今天我們去到傳道書的總結
[00:02:21.000 --> 00:02:28.000]  在座的會眾,未必是回來了很久
[00:02:28.000 --> 00:02:31.000]  或者可能是第一、二次來的
[00:02:31.000 --> 00:02:34.000]  一聽就要聽總結了
[00:02:34.000 --> 00:02:39.000]  難免當我們沒有聽整個傳道書,我們就這樣看經文
[00:02:39.000 --> 00:02:41.000]  或者看我剛剛讀的那一節
[00:02:41.000 --> 00:02:46.000]  我們可能會有少少斷章取義
[00:02:46.000 --> 00:02:50.000]  但當我們聽了半年傳道書
[00:02:50.000 --> 00:02:54.000]  大概都知道我們可能以往對這些經文的印象
[00:02:54.000 --> 00:03:00.000]  跟原來傳道書想表達的東西是有些偏差的
[00:03:00.000 --> 00:03:03.000]  於是我們今天就一起來看看
[00:03:03.000 --> 00:03:07.000]  其實傳道書來到總結的部分
[00:03:07.000 --> 00:03:11.000]  它是怎樣說「享受」的呢?
[00:03:11.000 --> 00:03:20.000]  我們先來看看這幾節經文的段落大綱
[00:03:20.000 --> 00:03:28.000]  首先,十一章七到八節是這段經文的引言
[00:03:28.000 --> 00:03:51.000]  「光是甜美的,眼見日光是多麼美好,人活多少年,就當快樂多少年,然而也當想到黑暗的日子,因為這樣的日子必多,所以要來臨的全是虛空」
[00:03:51.000 --> 00:04:01.000]  在短短兩節的經文裡,他已經將傳道書,即貫穿傳道書兩個重要的主題放在一起
[00:04:01.000 --> 00:04:05.000]  第一個就是「當快樂」
[00:04:05.000 --> 00:04:08.000]  如果大家真的聽了半年傳道書
[00:04:08.000 --> 00:04:13.000]  大概你有印象傳道書有五節做少少總結的時候
[00:04:13.000 --> 00:04:19.000]  他都會提到吃喝快樂,享受這些元素在裡面
[00:04:19.000 --> 00:04:24.000]  所以「當快樂」是傳道書一貫的主題
[00:04:24.000 --> 00:04:27.000]  甚至每次都出現在總結的部分
[00:04:27.000 --> 00:04:32.000]  而第二個主題我們一點都不陌生,就是「虛空」
