
[00:00:00.000 --> 00:00:05.000]  各位弟妹平安
[00:00:05.000 --> 00:00:10.000]  再次在新的一年祝大家新年滿福 主恩滿日
[00:00:10.000 --> 00:00:12.000]  今天我們很高興
[00:00:12.000 --> 00:00:15.000]  我們也很感謝剛才詩班的獻唱
[00:00:15.000 --> 00:00:20.000]  提醒我們在新的一年我們也繼續緊緊的去倚靠耶穌
[00:00:20.000 --> 00:00:24.000]  我想這一首歌和今天我們所唱的詩歌
[00:00:24.000 --> 00:00:29.000]  都很符合我們今天開始2023年門訓系列的講道
[00:00:29.000 --> 00:00:33.000]  今天我們所說的經文是《孟晚福音》
[00:00:33.000 --> 00:00:40.000]  今年也會用一年的時間在門訓的講道裡探討《孟晚福音》的信息
[00:00:40.000 --> 00:00:42.000]  我們開始讀聖經的時候
[00:00:42.000 --> 00:00:46.000]  或者當中的弟兄姊妹是剛剛初信
[00:00:46.000 --> 00:00:47.000]  或者可能你信了很久
[00:00:47.000 --> 00:00:50.000]  但如果你想起你剛剛信耶穌的時候
[00:00:50.000 --> 00:00:53.000]  可能對著一本很厚的聖經你不知道怎麼入手
[00:00:53.000 --> 00:00:55.000]  我不知道有沒有人有這樣的經驗
[00:00:55.000 --> 00:00:57.000]  或者現在也有這樣的經驗
[00:00:57.000 --> 00:00:59.000]  不用舉手的
[00:00:59.000 --> 00:01:01.000]  你自己心裡面去知道就可以了
[00:01:01.000 --> 00:01:06.000]  我記得我在剛剛大學的時候開始認識信仰
[00:01:06.000 --> 00:01:08.000]  當時我也覺得那本聖經很厚
[00:01:08.000 --> 00:01:09.000]  很難讀
[00:01:09.000 --> 00:01:11.000]  是不是要創世記讀起來呢
[00:01:11.000 --> 00:01:14.000]  當時一些師兄教我
[00:01:14.000 --> 00:01:17.000]  要由福音書去讀起來
[00:01:17.000 --> 00:01:20.000]  因為通常是讀新約的福音書
[00:01:20.000 --> 00:01:22.000]  就是說耶穌的事蹟
[00:01:22.000 --> 00:01:24.000]  耶穌的生平和工作
[00:01:24.000 --> 00:01:26.000]  這個是很好的建議
