
[00:00:00.000 --> 00:00:13.120]  主持人:請問各位主持人好 今天在這裡再一次跟大家來參選人生
[00:00:13.120 --> 00:00:20.800]  我們過去兩堂課 其實我們都看到他的生命的原生家庭
[00:00:20.800 --> 00:00:22.600]  在《士司機》13章
[00:00:22.600 --> 00:00:30.280]  上星期溫偉耀博士跟我們分享他14至15章的情節
[00:00:30.280 --> 00:00:35.080]  我接續說他今天的生命結束
[00:00:35.080 --> 00:00:41.960]  在他的生命裡面 其實有很多東西是很值得我們引以為鑒的
[00:00:41.960 --> 00:00:45.840]  所以今天我這個題目是如何勝過致命的誘惑
[00:00:45.840 --> 00:00:50.560]  我們必須要了解參選不是一時一刻就跌倒失敗
[00:00:50.560 --> 00:00:54.880]  是一個過程來的 這個就成為我們生命的警惕
[00:00:54.880 --> 00:00:59.440]  讓我們來看這一段聖經前文14、15章
[00:00:59.440 --> 00:01:03.880]  很快跟大家鏡頭一轉 看看一些評論
[00:01:03.880 --> 00:01:11.680]  在《亭那》14章我們參選看見一個非理士女子
[00:01:11.680 --> 00:01:16.320]  明明是仇敵的一個女子 竟然還踩進這個坎
[00:01:16.320 --> 00:01:20.360]  但她喜歡 她看到這個眼目的情慾
[00:01:20.360 --> 00:01:22.560]  引致她肉體的情慾
[00:01:22.560 --> 00:01:25.360]  以至她要堅持跟父母說
[00:01:25.360 --> 00:01:27.600]  「我因為喜悅她」
[00:01:27.600 --> 00:01:33.280]  「喜悅」這個字是一個很重要的希伯來文的線索
[00:01:33.280 --> 00:01:39.920]  讓我們看到原意是Right 看中
[00:01:39.920 --> 00:01:44.640]  這個女子適合我 是一定絕對的 是對的
[00:01:44.640 --> 00:01:50.160]  在參選的眼目和她心裡的體重
[00:01:50.160 --> 00:01:54.640]  我們廣東話說「正」 這個「正」是正確的
[00:01:54.640 --> 00:02:00.400]  這個是反映整個事司時期整體臣子們的問題
[00:02:00.400 --> 00:02:05.800]  他們當時沒有皇帝 但他們各人是「任意而行」
[00:02:05.800 --> 00:02:07.800]  這個是和合本的翻譯
[00:02:07.800 --> 00:02:12.720]  但在新譯本是進一步將原文希伯來文的意思
[00:02:12.720 --> 00:02:17.320]  「任意而行」的意思是行自己看為對的事
[00:02:17.320 --> 00:02:20.320]  他以為那樣東西是對的 絕對是對的
[00:02:20.320 --> 00:02:22.800]  這個像不像我們今天這個世代
[00:02:22.800 --> 00:02:28.040]  後現代的社會 這種文化就是各自精彩
[00:02:28.040 --> 00:02:32.760]  五花八門的思潮 你認為對 你自己feel like it
[00:02:32.760 --> 00:02:36.160]  你就可以來做你喜歡做的事
[00:02:36.160 --> 00:02:41.280]  這個對我們今天現代人來說是一個很大的警惕
[00:02:41.280 --> 00:02:44.800]  是因為人那種狂妄自大 目中無神
[00:02:44.800 --> 00:02:48.640]  自以為是 自己做了皇帝
[00:02:48.640 --> 00:02:51.280]  這個就是我們今天的情意結
[00:02:51.280 --> 00:02:57.160]  我們再看參選他由亭南到亞瑟基倫
[00:02:57.160 --> 00:03:00.040]  他要報復在他的婚禮裡
[00:03:00.040 --> 00:03:03.160]  因為他的太太被人搶了
[00:03:03.160 --> 00:03:06.680]  在當中你會看到整個過程
[00:03:06.680 --> 00:03:11.480]  他來激殺那些非利士人
[00:03:11.480 --> 00:03:15.760]  後來去到利希一個人可以殺死一千個非利士人
[00:03:15.760 --> 00:03:19.360]  這個地圖給我們看地理環境
[00:03:19.360 --> 00:03:22.880]  然後你會看到有三件的例子
[00:03:22.880 --> 00:03:29.280]  這三件例子都是讓參選自己以為他真的那麼能打
[00:03:29.280 --> 00:03:31.840]  以為自己力大無窮
[00:03:31.840 --> 00:03:37.600]  其實真正讓參選勝過的仇敵不是他自己
[00:03:37.600 --> 00:03:41.360]  三個例子都是說相同一個原因
[00:03:41.360 --> 00:03:42.920]  你看看聖經
