
[00:00:00.000 --> 00:00:04.880]  接下來有楊之華牧師為我們分享主的華語
[00:00:04.880 --> 00:00:08.000]  主題是《牧養真締》
[00:00:08.000 --> 00:00:10.440]  彼得前書五章一至七節
[00:00:10.440 --> 00:00:12.080]  有請楊之華牧師
[00:00:12.080 --> 00:00:18.920]  各位大兄姊妹晚安
[00:00:18.920 --> 00:00:23.200]  今天可以講這段經文其實是很開心的
[00:00:23.200 --> 00:00:25.840]  因為十二年之前我唇學畢業
[00:00:25.840 --> 00:00:28.920]  有畢業一個刑冊
[00:00:28.920 --> 00:00:32.560]  每個神學生可以選擇一個經文
[00:00:32.560 --> 00:00:35.640]  我選擇了彼得前書五章二至三節
[00:00:35.640 --> 00:00:38.000]  作為一個畢業的感言
[00:00:38.000 --> 00:00:39.640]  當時選擇的時候
[00:00:39.640 --> 00:00:41.320]  都希望提醒自己
[00:00:41.320 --> 00:00:42.080]  神學畢業了
[00:00:42.080 --> 00:00:43.160]  做全個人
[00:00:43.160 --> 00:00:44.840]  神對我的呼召
[00:00:44.840 --> 00:00:46.200]  我要無忘初心
[00:00:46.200 --> 00:00:48.040]  用心服侍
[00:00:48.040 --> 00:00:50.400]  不經不覺十二年過去了
[00:00:50.400 --> 00:00:52.480]  今天仍然可以募會
[00:00:52.480 --> 00:00:54.920]  都是神提供的恩典
[00:00:54.920 --> 00:00:58.920]  當看整個一至七節的時候
[00:00:58.920 --> 00:01:05.800]  彼得其實是否只寫給傳道目者呢?
[00:01:05.800 --> 00:01:07.560]  如果是的話
[00:01:07.560 --> 00:01:12.160]  大家是否需要在場呢?
[00:01:12.160 --> 00:01:13.160]  其實不是的
[00:01:13.160 --> 00:01:19.400]  聖經的說話其實是給我們這麼多人的
[00:01:19.400 --> 00:01:25.120]  如果我們去看這段經文
[00:01:25.120 --> 00:01:29.800]  其實彼得為甚麼要寫作為目者
[00:01:29.800 --> 00:01:34.480]  要存著一個怎樣的心呢?
[00:01:34.480 --> 00:01:36.960]  我們就看看上文
[00:01:36.960 --> 00:01:40.000]  上文有這樣一句
[00:01:40.000 --> 00:01:44.480]  「審判要從神的家開始」
[00:01:44.480 --> 00:01:49.000]  所以彼得就寫了一番勸勉的說話
[00:01:49.000 --> 00:01:51.240]  「審判從神的家」
[00:01:51.240 --> 00:01:53.200]  即是我有份
[00:01:53.200 --> 00:01:54.320]  大家都有份
[00:01:54.320 --> 00:01:55.920]  目者有份
[00:01:55.920 --> 00:01:57.600]  信徒也有份
[00:01:57.600 --> 00:01:59.280]  審判甚麼呢?
[00:01:59.280 --> 00:02:01.480]  就是神要看
[00:02:01.480 --> 00:02:03.520]  已經聽了福音
[00:02:03.520 --> 00:02:04.960]  清楚信耶穌
[00:02:04.960 --> 00:02:07.840]  有聖靈在我們內心的人
[00:02:07.840 --> 00:02:11.080]  其實是否真的信得清楚呢?
[00:02:11.080 --> 00:02:14.280]  彼得前書我們已經講了很多堂
[00:02:14.280 --> 00:02:17.320]  大家可能都會有一個中心思想
[00:02:17.320 --> 00:02:21.920]  彼得前書當日的修信人
[00:02:21.920 --> 00:02:27.080]  其實就是面對生活上很多困難、苦難
[00:02:27.080 --> 00:02:32.080]  在苦的時候會否走歪了呢?
[00:02:32.080 --> 00:02:37.440]  於是彼得要做一些勸勉
[00:02:37.440 --> 00:02:41.440]  好讓神真正是審判教會的人的時候
[00:02:41.440 --> 00:02:46.160]  他會發覺教會裏面都是中心
[00:02:46.160 --> 00:02:48.840]  都是清楚信仰的一班人
[00:02:48.840 --> 00:02:51.560]  我相信我們在座回來講福
[00:02:51.560 --> 00:02:52.880]  崇拜的弟兄姊妹
[00:02:52.880 --> 00:02:56.440]  都希望自己是信仰純正的
[00:02:56.440 --> 00:02:58.640]  信得清楚的
[00:02:58.640 --> 00:03:01.560]  我們再看多一個
[00:03:01.560 --> 00:03:04.840]  就是原來一至七節
[00:03:04.840 --> 00:03:07.520]  沒錯都是寫給長老的
[00:03:07.520 --> 00:03:11.960]  但同樣要寫給年輕人
[00:03:11.960 --> 00:03:14.480]  又寫給你們各人
[00:03:14.480 --> 00:03:16.480]  所以於聯的經文
[00:03:16.480 --> 00:03:19.680]  就是每個人都正確
[00:03:19.680 --> 00:03:25.000]  我們真的去看五章一至七節
[00:03:25.000 --> 00:03:27.400]  我們先做個祈禱
