
[00:00:00.000 --> 00:00:11.000]  在這裡,雖然今天不在教會裡面,也想預祝大家新年快樂
[00:00:11.000 --> 00:00:15.240]  在這個疫情之下,當然有很多事情是不容易的
[00:00:15.240 --> 00:00:20.000]  但也讓我們一起去相信上帝在我們生命裡面
[00:00:20.000 --> 00:00:24.800]  仍然有那份恩典和憐憫去為同在
[00:00:24.800 --> 00:00:29.360]  今天其實就是一段我們sermon的最後一篇
[00:00:29.360 --> 00:00:33.000]  這篇講到一個羅馬書十二章
[00:00:33.000 --> 00:00:37.000]  之前有兩個星期,我知道對很多explorer來說
[00:00:37.000 --> 00:00:41.360]  不單是junior,甚至是我們這裡的senior explorer來說
[00:00:41.360 --> 00:00:47.200]  可能很多人都覺得十到十一章是不容易去明白的
[00:00:47.200 --> 00:00:50.000]  這是很正常的事情
[00:00:50.000 --> 00:00:59.640]  因為保羅在羅馬書裡面用以色列人的歷史去解釋上帝的恩典其實是多少
[00:00:59.640 --> 00:01:04.640]  這可能對我們來說是第一次去接觸的概念
[00:01:04.640 --> 00:01:09.640]  不過今天我們會去到一個比較容易的段落
[00:01:09.640 --> 00:01:11.640]  這就是羅馬書十二章
[00:01:11.640 --> 00:01:16.640]  相信大家對羅馬書十二章的頭兩節經文都很熟悉
[00:01:16.640 --> 00:01:20.640]  特別是我們當中的Karen Lee,現在是美國的Karen Lee
[00:01:20.640 --> 00:01:24.640]  她也有跟我們分享過這兩節經文
[00:01:24.640 --> 00:01:27.640]  她如何鼓勵我們跟隨上帝
[00:01:27.640 --> 00:01:32.640]  我記得在準備這篇講的時候,有一位pastor,我不開名字
[00:01:32.640 --> 00:01:38.640]  他開玩笑跟我說,這篇可以做一篇培靈會的sermon
[00:01:38.640 --> 00:01:42.640]  當然如果我們這樣看頭兩節經文
[00:01:42.640 --> 00:01:45.640]  我們說把身體獻上當作活祭
[00:01:45.640 --> 00:01:50.640]  相信特別是Scenic Explorer都應該有相當的人聽過這篇經文
[00:01:50.640 --> 00:01:53.640]  可能就真的好像一個培靈的元素
[00:01:53.640 --> 00:01:56.640]  不過培靈不是我今天的目的
[00:01:56.640 --> 00:01:59.640]  嚴格來說,今天我不打算在這裡做培靈會
[00:01:59.640 --> 00:02:03.640]  為什麼呢?因為羅馬書十二章的內容裡面
