
[00:00:00.000 --> 00:00:04.000]  (字幕:張靚琪)
[00:00:04.000 --> 00:00:13.000]  今天再次和大家分享聖經的故事和上帝給我們的訊息
[00:00:13.000 --> 00:00:20.000]  12月是聖誕節,我們看到大堆的佈置
[00:00:20.000 --> 00:00:31.000]  但12月更重要的是教會的傳統,一個叫張臨期,Advent的日子
[00:00:31.000 --> 00:00:35.000]  我不知道聽到Advent這個字你會想到什麼
[00:00:35.000 --> 00:00:43.000]  其實在這幾年我才知道原來Advent想到的是這個
[00:00:43.000 --> 00:00:46.000]  有沒有人家裡有這個?
[00:00:46.000 --> 00:00:50.000]  我看到有人在額頭,家裡有這個,知不知道這個是什麼?
[00:00:50.000 --> 00:00:51.000]  (觀眾:巧克力)
[00:00:51.000 --> 00:00:55.000]  對,是巧克力,你應該知道,我不知道是不是吃過
[00:00:55.000 --> 00:00:58.000]  我也是幾年前才知道的
[00:00:58.000 --> 00:01:03.000]  原來現在香港走超級市場也有很多
[00:01:03.000 --> 00:01:06.000]  一說到Advent,整個坑都是Advent的
[00:01:06.000 --> 00:01:09.000]  不過就不會有耶穌的像,當然沒有
[00:01:09.000 --> 00:01:12.000]  Advent就是這些賣巧克力的
[00:01:12.000 --> 00:01:16.000]  誰吃過這些巧克力?
[00:01:16.000 --> 00:01:21.000]  也挺多的,你吃過應該知道怎麼吃
[00:01:21.000 --> 00:01:24.000]  有沒有人一次過吃光?
[00:01:24.000 --> 00:01:27.000]  有,後面有,真的一次過吃光
[00:01:27.000 --> 00:01:32.000]  我猜他的意思是讓人家逐次吃,逐天去數
[00:01:32.000 --> 00:01:35.000]  不過我猜多數我們有些人的習慣是吃光它
[00:01:35.000 --> 00:01:37.000]  就是巧克力
[00:01:37.000 --> 00:01:41.000]  所以我不知道你吃完之後,你的盒子拿來做什麼
[00:01:41.000 --> 00:01:47.000]  特別我上星期跟別人逛街的時候
[00:01:47.000 --> 00:01:50.000]  我看到街上已經有些counter
