
[00:00:00.000 --> 00:00:03.040]  各位弟兄姊妹 非常感恩 我們又可以聚在
[00:00:03.040 --> 00:00:04.040]  一起
[00:00:04.040 --> 00:00:07.360]  那麼 當我們一起敬拜主的時候
[00:00:07.360 --> 00:00:09.960]  主也和我們同在
[00:00:09.960 --> 00:00:12.240]  祂也垂聽我們的敬拜
[00:00:12.240 --> 00:00:15.520]  今天要和大家一起思想的主題
[00:00:15.520 --> 00:00:18.440]  叫做 恩典的記號
[00:00:18.440 --> 00:00:21.640]  在我們的生命旅程當中
[00:00:21.640 --> 00:00:24.700]  我們都因著神的愛 蒙受
[00:00:24.700 --> 00:00:26.100]  神很多的恩典
[00:00:26.100 --> 00:00:29.460]  有的時候 可能是困境中的
[00:00:29.460 --> 00:00:30.460]  突破
[00:00:30.460 --> 00:00:34.400]  也有軟弱中得到神的扶持
[00:00:34.400 --> 00:00:38.240]  有的時候還會 疾病中得醫治
[00:00:38.240 --> 00:00:40.560]  迷失中能夠迴轉
[00:00:40.560 --> 00:00:43.020]  這都是神的恩典
[00:00:43.020 --> 00:00:46.400]  當然我們人生當中 還有最寶貴的
[00:00:46.400 --> 00:00:49.660]  就是神給我們所賜下的救恩
[00:00:49.660 --> 00:00:51.440]  讓我們可以得著
[00:00:51.440 --> 00:00:54.940]  還有我們所習慣的 習以為常的
[00:00:54.940 --> 00:00:57.380]  我們的生命氣息
[00:00:57.680 --> 00:01:00.620]  都是我們所經歷的恩典
[00:01:00.620 --> 00:01:04.120]  那在人生的不同階段
[00:01:04.120 --> 00:01:06.880]  我們既會經歷各樣的恩典
[00:01:06.880 --> 00:01:10.000]  是否也都會像今天我們要
[00:01:10.000 --> 00:01:13.080]  思想的主題一樣 把它都標記了
[00:01:13.080 --> 00:01:16.100]  出來 成為生命一點一滴的
[00:01:16.100 --> 00:01:19.080]  記號 讓我們看到了
[00:01:19.080 --> 00:01:22.320]  神時刻與我們同在 同行
[00:01:22.320 --> 00:01:25.060]  在祝福我們 帶領我們
[00:01:25.060 --> 00:01:26.560]  生命前路了呢
[00:01:27.440 --> 00:01:30.420]  那麼聖經當中 當我們來去看到
[00:01:30.420 --> 00:01:32.260]  亞伯拉罕的時候
[00:01:32.260 --> 00:01:36.060]  他的生平很特別 在他們的生命
[00:01:36.060 --> 00:01:39.060]  不同的階段和機遇裡面
[00:01:39.060 --> 00:01:42.120]  他就會做一個特別的事情
[00:01:42.120 --> 00:01:44.940]  就是做 住一座壇
[00:01:44.940 --> 00:01:46.320]  住壇
[00:01:46.320 --> 00:01:49.820]  這裡表現出來 他是一個
[00:01:49.820 --> 00:01:52.380]  以神為中心的生命
[00:01:52.380 --> 00:01:55.060]  而且也讓我們可以看到
[00:01:55.420 --> 00:01:58.420]  他在人生中的每一個階段
[00:01:58.420 --> 00:02:00.600]  都在稱謝神的恩典
[00:02:00.600 --> 00:02:04.240]  以獻祭 來感謝神
[00:02:04.240 --> 00:02:07.900]  同樣 在我們的生命當中
[00:02:07.900 --> 00:02:10.980]  數算和標記神的恩典
[00:02:10.980 --> 00:02:12.900]  也非常的重要
[00:02:12.900 --> 00:02:16.940]  他也讓我們可以清楚的看到
[00:02:16.940 --> 00:02:20.120]  上帝與我們同行
[00:02:20.120 --> 00:02:23.700]  當我們回望我們人生道路的時候
[00:02:23.700 --> 00:02:26.880]  就好像生命當中的里程碑一樣
[00:02:26.880 --> 00:02:29.580]  滿有神的祝福
[00:02:29.580 --> 00:02:32.940]  你還可以看到 我一點一滴
[00:02:32.940 --> 00:02:34.580]  生命的成長
[00:02:34.580 --> 00:02:37.360]  都有關於神的托舉
[00:02:37.360 --> 00:02:40.860]  數算不盡神的恩典
[00:02:40.860 --> 00:02:44.480]  他也可以讓我們透過這樣的里程碑
[00:02:44.480 --> 00:02:46.840]  加添了我們的信心
[00:02:46.840 --> 00:02:49.520]  讓我們可以去到
[00:02:49.520 --> 00:02:52.220]  人生命當中的新的高度
[00:02:52.880 --> 00:02:56.280]  那麼在今天的一個經文記載裡面
[00:02:56.280 --> 00:02:58.400]  也就講到了
[00:02:58.400 --> 00:03:01.560]  以色列民過約旦河時
[00:03:01.560 --> 00:03:03.820]  河之後的一個事件
[00:03:03.820 --> 00:03:06.280]  在神的吩咐當中
