
[00:00:00.000 --> 00:00:04.300]  好 感謝父神今天帶領我們相聚
[00:00:04.300 --> 00:00:08.300]  那麼今天和大家一起來思想的題目
[00:00:08.300 --> 00:00:12.100]  其實和我們今天的報告事項都相關
[00:00:12.100 --> 00:00:14.800]  都講到我們的小朋友和兒女
[00:00:14.800 --> 00:00:19.700]  思想的題目叫做 建立敬虔的兒女
[00:00:19.700 --> 00:00:23.700]  那麼這一篇講到的經文
[00:00:23.700 --> 00:00:26.500]  選自提摩台後書
[00:00:26.500 --> 00:00:28.800]  那麼如果熟悉聖經的弟兄姊妹
[00:00:28.800 --> 00:00:30.600]  一定不會陌生
[00:00:30.600 --> 00:00:33.600]  其中是關於到使徒保羅
[00:00:33.600 --> 00:00:36.000]  寫信給他年輕的童宮
[00:00:36.000 --> 00:00:38.800]  提摩泰的一卷的書卷
[00:00:38.800 --> 00:00:42.200]  那麼這二者的關係可以說
[00:00:42.200 --> 00:00:45.500]  亦師亦友 情同手足
[00:00:45.500 --> 00:00:47.800]  而且親如父子
[00:00:47.800 --> 00:00:51.900]  就包括保羅在他的一些書信當中
[00:00:51.900 --> 00:00:54.300]  稱父提摩泰叫做
[00:00:54.300 --> 00:00:57.800]  親愛又有忠心的兒子
[00:00:57.800 --> 00:01:01.200]  這等的關係作為一個慈父
[00:01:01.200 --> 00:01:03.800]  願意把這樣內心的說話
[00:01:03.800 --> 00:01:06.600]  講給孩子知道
[00:01:06.600 --> 00:01:09.500]  作為我們其實
[00:01:09.500 --> 00:01:12.800]  來到屬靈的大家庭當中
[00:01:12.800 --> 00:01:16.800]  我們也有很多屬靈的兒女
[00:01:16.800 --> 00:01:19.800]  包括如果大家家庭已經有小朋友的
[00:01:19.800 --> 00:01:22.100]  他也是神給你的產業
[00:01:22.100 --> 00:01:24.600]  你有其中的一些的負擔
[00:01:24.600 --> 00:01:27.000]  要教導好他
[00:01:27.000 --> 00:01:29.000]  那麼在我們當中
[00:01:29.000 --> 00:01:31.600]  也有很多屬靈的兒女
[00:01:31.600 --> 00:01:35.400]  包括給到大家我們兩個活動的照片
[00:01:35.400 --> 00:01:39.400]  首先就會有我們去年的逐日學親子遊
[00:01:39.400 --> 00:01:42.600]  去了假日農場 很開心
[00:01:42.600 --> 00:01:44.600]  看很多的小動物
[00:01:44.600 --> 00:01:47.200]  和大自然當中的互動
[00:01:47.200 --> 00:01:50.400]  然後也會和想大家來分享
[00:01:50.400 --> 00:01:53.000]  在今年的這個月
[00:01:53.000 --> 00:01:54.800]  月頭的時候
[00:01:54.800 --> 00:01:58.600]  七月的這個開始
[00:01:58.600 --> 00:02:00.600]  我們整個中學生團企
[00:02:00.600 --> 00:02:02.600]  還有部分的大學生
[00:02:02.600 --> 00:02:06.200]  我們一起去了一個暑期的青少年營
[00:02:06.200 --> 00:02:08.000]  在那裡相聚
[00:02:08.000 --> 00:02:11.200]  那麼在這裡我們在各樣的活動當中
[00:02:11.200 --> 00:02:13.600]  要感謝我們的導師團隊
[00:02:13.600 --> 00:02:16.200]  大家一起用各樣的智慧
[00:02:16.200 --> 00:02:18.400]  一直在想
[00:02:18.400 --> 00:02:21.000]  怎麼可以關愛好我們的群體
[00:02:21.000 --> 00:02:22.600]  我們的下一代
[00:02:22.600 --> 00:02:24.600]  其中呢
[00:02:24.600 --> 00:02:27.600]  敬錢 今天要和大家分享的敬錢
[00:02:27.600 --> 00:02:29.600]  一直也都是一個
[00:02:29.600 --> 00:02:32.600]  核心和重要的議題
[00:02:32.600 --> 00:02:35.600]  那麼敬錢到底是什麼意思啊
[00:02:35.600 --> 00:02:37.600]  好像經常聽大家說
[00:02:37.600 --> 00:02:40.600]  敬錢的基督徒啊
[00:02:40.600 --> 00:02:42.600]  等等 它什麼意思呢
[00:02:42.600 --> 00:02:44.600]  有不同的定義啊
[00:02:44.600 --> 00:02:46.600]  首先作為一個比較簡單的定義
[00:02:46.600 --> 00:02:48.600]  就可以解作
[00:02:48.600 --> 00:02:51.600]  向神敬畏及追求的生命
[00:02:51.600 --> 00:02:53.600]  知道敬畏神
[00:02:53.600 --> 00:02:55.600]  而且追求神的生命
[00:02:55.600 --> 00:02:58.600]  當然還有一個比較詳細的解釋啊
[00:02:58.600 --> 00:03:00.600]  我也很喜歡
[00:03:00.600 --> 00:03:02.600]  它是這樣說的啊
[00:03:02.600 --> 00:03:04.600]  它這個意思呢
[00:03:04.600 --> 00:03:06.600]  是尊崇或者是敬畏
[00:03:06.600 --> 00:03:08.600]  在《新約聖經》啊
[00:03:08.600 --> 00:03:10.600]  提摩台前書裡面呢
[00:03:10.600 --> 00:03:12.600]  被使用的最多
[00:03:12.600 --> 00:03:14.600]  共有九次
[00:03:14.600 --> 00:03:16.600]  當時在他們的社會當中呢
[00:03:16.600 --> 00:03:18.600]  就已經有敬錢這兩個字了
[00:03:18.600 --> 00:03:20.600]  不過在社會當中呢
[00:03:20.600 --> 00:03:22.600]  一開始呢
