
[00:00:00.000 --> 00:00:01.400]  我們就更瞭解祂
[00:00:01.400 --> 00:00:03.040]  當我們更瞭解祂的時候
[00:00:03.040 --> 00:00:04.800]  我們就更愛祂
[00:00:04.800 --> 00:00:07.200]  我們上一次第13講
[00:00:07.200 --> 00:00:09.840]  是講到耶穌平靜風和海
[00:00:09.840 --> 00:00:11.440]  如果大家記得的話
[00:00:11.440 --> 00:00:13.800]  我們提到了7樣東西
[00:00:13.800 --> 00:00:16.600]  一個是人生的最重要的一件事
[00:00:16.600 --> 00:00:18.280]  就是祂的愛
[00:00:18.280 --> 00:00:21.000]  祂的愛是我們的最重要的一件事
[00:00:21.000 --> 00:00:24.000]  就是祂的愛是我們的最重要的一件事
[00:00:24.000 --> 00:00:27.000]  祂的愛是我們的最重要的一件事
[00:00:27.000 --> 00:00:30.000]  我們提到了7樣東西
[00:00:30.000 --> 00:00:33.600]  一個是人生的風暴可以來得很突然
[00:00:33.600 --> 00:00:36.800]  第二個是我們一般在面對風暴
[00:00:36.800 --> 00:00:38.800]  只是專注於自己的問題
[00:00:38.800 --> 00:00:40.200]  還有去責怪別人
[00:00:40.200 --> 00:00:44.600]  第三就是我們不要忘記了上帝是無所不能的神
[00:00:44.600 --> 00:00:48.800]  第四就是我們要明白自己到底怕的是什麼
[00:00:48.800 --> 00:00:53.200]  第五就是我們要認真地反省我們的信心狀況
[00:00:53.200 --> 00:00:56.600]  第六就是我們要學會敬畏上帝
[00:00:56.600 --> 00:01:00.200]  第七就是我們要學會聽從上帝
[00:01:00.200 --> 00:01:03.600]  今天我們來到了馬可福音的第14講
[00:01:03.600 --> 00:01:07.600]  我們要看的一段經文非常地特別
[00:01:07.600 --> 00:01:12.400]  它是記載耶穌在一個叫哥拉山的地方趕鬼
[00:01:12.400 --> 00:01:14.800]  哥拉山的地方趕鬼的一件事情
[00:01:14.800 --> 00:01:18.000]  讓我們一起同心禱告
[00:01:18.000 --> 00:01:20.800]  親愛的天父 我們感謝贊美禰
[00:01:20.800 --> 00:01:22.800]  禰是愛我們的神
[00:01:22.800 --> 00:01:28.800]  有時候只是記得禰做的那件最偉大的事情
[00:01:28.800 --> 00:01:30.000]  最愛我們的事情
[00:01:30.000 --> 00:01:34.200]  最犧牲的事情就是在十字架上為我們犧牲
