
[00:00:00.000 --> 00:00:03.200]  第一聲子妹們平安
[00:00:03.200 --> 00:00:06.600]  很高興看到大家好
[00:00:06.600 --> 00:00:07.800]  再一次的在這裡
[00:00:07.800 --> 00:00:12.700]  其實過去這個有將近半年的時間是吧
[00:00:12.700 --> 00:00:13.100]  幾個月
[00:00:13.100 --> 00:00:15.300]  我基本上每個月都用來到大家當中
[00:00:15.300 --> 00:00:15.600]  好
[00:00:15.600 --> 00:00:19.000]  那可能今天會站高一個段落
[00:00:19.000 --> 00:00:23.000]  但所以今天我一會兒呢也會有一些比較個人的分享
[00:00:23.000 --> 00:00:23.900]  好
[00:00:23.900 --> 00:00:27.000]  那這個開始之前呢
[00:00:27.000 --> 00:00:30.000]  我就先跟大家分享一個
[00:00:30.000 --> 00:00:33.000]  一個故事
[00:00:33.000 --> 00:00:34.800]  這個呢是一個跟
[00:00:34.800 --> 00:00:40.000]  今天的主題是困局中且行且盼望
[00:00:40.000 --> 00:00:42.300]  就跟行跟盼望有關係
[00:00:42.300 --> 00:00:42.900]  所以呢
[00:00:42.900 --> 00:00:44.900]  我就想跟大家分享一個呢
[00:00:44.900 --> 00:00:49.800]  跟行也就是跟這個邪有關的這個故事
[00:00:49.800 --> 00:00:54.100]  故事說的是什麼
[00:00:54.100 --> 00:00:59.500]  就是說在一個營銷上很有名的去非洲賣鞋的故事
[00:00:59.500 --> 00:01:01.400]  可能不少人應該有聽過
[00:01:01.400 --> 00:01:02.600]  就是有一間呢
[00:01:02.600 --> 00:01:03.900]  故事說的是
[00:01:03.900 --> 00:01:07.300]  就是有一間賣鞋的這個公司的老闆
[00:01:07.300 --> 00:01:07.800]  有一天呢
[00:01:07.800 --> 00:01:11.900]  他就派了一個售貨員前往非洲呢
[00:01:11.900 --> 00:01:13.300]  想去調查一下
[00:01:13.300 --> 00:01:14.000]  看看呢
[00:01:14.000 --> 00:01:15.500]  那個那邊市場怎麼樣
[00:01:15.500 --> 00:01:18.100]  是不是和賣他們的鞋好了嗎
[00:01:18.100 --> 00:01:22.500]  那這個售貨員A就考察了一番之後就回來
[00:01:22.500 --> 00:01:25.100]  就跑回來跟老闆說
[00:01:25.100 --> 00:01:26.600]  哎呀
[00:01:26.600 --> 00:01:28.500]  那邊根本沒有業務
[00:01:28.500 --> 00:01:29.600]  不值得去
[00:01:29.600 --> 00:01:31.600]  老闆說那為什麼呀
[00:01:31.600 --> 00:01:33.700]  他說那邊的人啊
[00:01:33.700 --> 00:01:36.500]  根本不穿鞋都關腳呢
[00:01:36.500 --> 00:01:39.100]  就就我想就沒有人願意買
[00:01:39.100 --> 00:01:41.500]  就沒有市場
[00:01:41.500 --> 00:01:42.200]  那老闆呢
[00:01:42.200 --> 00:01:44.000]  就因為通常吧
[00:01:44.000 --> 00:01:47.400]  就一個人就想多一些看看不同的意見
[00:01:47.400 --> 00:01:49.100]  就又派了一個人去
[00:01:49.100 --> 00:01:49.600]  就不乾
[00:01:49.600 --> 00:01:51.300]  就又派了一個售貨員
[00:01:51.300 --> 00:01:54.900]  銷售員吧B去那邊去考察
[00:01:54.900 --> 00:01:57.000]  等他考察了回來之後呢
[00:01:57.000 --> 00:01:58.600]  他跟老闆說
[00:01:58.600 --> 00:01:59.600]  哎呀老闆
[00:01:59.600 --> 00:02:01.200]  這次我們可發達了
[00:02:01.200 --> 00:02:04.300]  這個我們這那個那邊太有市場了
[00:02:04.300 --> 00:02:06.100]  老闆說為什麼呀
[00:02:06.100 --> 00:02:08.600]  因為那邊人都沒有鞋穿啊
[00:02:08.600 --> 00:02:10.800]  那就不兜一河
[00:02:10.800 --> 00:02:12.400]  我看他笑都沒鞋穿
[00:02:12.400 --> 00:02:15.200]  那我們不是大把的機會可以把鞋賣給他們
[00:02:15.200 --> 00:02:15.700]  對吧
[00:02:15.700 --> 00:02:18.200]  好這個呢是
[00:02:18.200 --> 00:02:19.300]  兩個售貨員帶回
[00:02:19.300 --> 00:02:21.300]  大家有聽過這個銷售的故事吧
[00:02:21.300 --> 00:02:23.300]  都有聽過是吧
[00:02:23.300 --> 00:02:24.700]  所以呢我想說什麼呢
[00:02:24.700 --> 00:02:27.800]  就是同樣的處境
[00:02:27.800 --> 00:02:31.500]  我們看到的是什麼
[00:02:31.500 --> 00:02:34.500]  直接影響我們如何回應
[00:02:34.500 --> 00:02:38.400]  如何做出決斷
[00:02:38.400 --> 00:02:39.500]  對嗎
[00:02:39.500 --> 00:02:43.800]  那我不知道在如今這樣的一個社會的環境當中
[00:02:43.800 --> 00:02:45.900]  大家看到的是什麼
[00:02:45.900 --> 00:02:46.900]  我也不知道
[00:02:46.900 --> 00:02:50.900]  或者就我們自己個人的處境來說
[00:02:50.900 --> 00:02:55.900]  可能我們面臨著很多很繁雜的事物
[00:02:55.900 --> 00:02:56.900]  也有的教會
[00:02:56.900 --> 00:02:57.800]  也有的弟兄姊妹
[00:02:57.800 --> 00:03:00.600]  可能也有很多的教會的服事
[00:03:00.600 --> 00:03:04.600]  然後同時又面臨家庭很多的事情
[00:03:04.600 --> 00:03:08.800]  甚至家人的病痛都同時臨到的時候
[00:03:08.800 --> 00:03:13.600]  那個時候大家看到的是什麼
[00:03:13.600 --> 00:03:14.500]  這樣的一個看見
[00:03:14.500 --> 00:03:17.500]  那大家感到的是一個沮喪是害怕
[00:03:17.500 --> 00:03:20.600]  還是說要信靠要仰望
[00:03:20.600 --> 00:03:24.000]  抑或其他的什麼呢
[00:03:24.000 --> 00:03:29.700]  好我們一起低頭有個禱告哈
[00:03:29.700 --> 00:03:31.700]  親愛的恩主耶穌基督
[00:03:31.700 --> 00:03:32.700]  謝謝你
[00:03:32.700 --> 00:03:36.400]  那我們有生命氣息
[00:03:36.400 --> 00:03:41.900]  可以在這樣的一個世代裡面存活
[00:03:41.900 --> 00:03:42.500]  謝謝你
[00:03:42.500 --> 00:03:44.500]  那我們可以仰望你
[00:03:44.500 --> 00:03:46.100]  可以敬拜你
[00:03:46.100 --> 00:03:47.500]  主這個時候
[00:03:47.500 --> 00:03:50.800]  那我們來到你的聖殿當中的時候
[00:03:50.800 --> 00:03:52.500]  我們為要遇見你
[00:03:52.500 --> 00:03:56.000]  求你將你的話語親自的向我們來解開
[00:03:56.000 --> 00:03:59.700]  那我們在你的話語當中跟你相遇
[00:03:59.700 --> 00:04:00.700]  主謝謝你
[00:04:00.700 --> 00:04:02.700]  求你保守下面的時間
