
[00:00:00.000 --> 00:00:09.000]  無論你在哪個地方,讓我們能夠在神的面前安靜,讓我們低頭,閉上雙眼,一同禱告。
[00:00:09.000 --> 00:00:13.000]  榮耀尊貴的上帝,我們全能的神,
[00:00:13.000 --> 00:00:16.000]  在外多謝祢,因為祢愛我們,
[00:00:16.000 --> 00:00:23.000]  以致神能夠透過視像,在不同的地方,我們一齊來敬拜。
[00:00:23.000 --> 00:00:28.000]  在外多謝祢,因為不在乎我們是否聚集在一起,
[00:00:28.000 --> 00:00:30.000]  特別是在這個疫症的時刻,
[00:00:30.000 --> 00:00:36.000]  不在乎主在我們的心,是否真的同心的來仰望你。
[00:00:36.000 --> 00:00:39.000]  所以主我們真的很願意來到你的根前,
[00:00:39.000 --> 00:00:47.000]  我們以心靈誠實,和同一個心,來敬拜你這位獨一的真身。
[00:00:47.000 --> 00:00:50.000]  因為主你仍然要臨在我們當中,
[00:00:50.000 --> 00:00:54.000]  接受我們的敬拜,接受我們對你的歌頌,
[00:00:54.000 --> 00:00:59.000]  接受我們在你面前的毀身,接受我們對你的祈求。
[00:00:59.000 --> 00:01:02.000]  主我們感謝你,因為施哥提醒我們,
[00:01:02.000 --> 00:01:05.000]  神要在這個世代見到你的榮耀。
[00:01:05.000 --> 00:01:09.000]  主我們感謝你,因為我們知道你創造這個世界,
[00:01:09.000 --> 00:01:13.000]  你而且來護佑這個地方。
[00:01:13.000 --> 00:01:17.000]  所以主我們特別為香港和整個世界在瘟疫的情況下,
[00:01:17.000 --> 00:01:20.000]  我們同心的來仰望你。
[00:01:20.000 --> 00:01:24.000]  主我們為很多人因為這個疫症離開世界,
[00:01:24.000 --> 00:01:27.000]  我們特別將他們的家人交在你的手中,
[00:01:27.000 --> 00:01:31.000]  求主你安慰,求主你觸摸他們傷痛的心。
[00:01:31.000 --> 00:01:37.000]  主我們求你讓醫護找到一些適合的藥物,
[00:01:37.000 --> 00:01:41.000]  幫助這些病者,讓他們能夠早日康復。
[00:01:41.000 --> 00:01:45.000]  紀念很多醫護在前線,主他們面對著很多挑戰,
[00:01:45.000 --> 00:01:49.000]  他們可能很疲累,求主你加他們力量,幫助他們,
[00:01:49.000 --> 00:01:52.000]  保護他們,讓他們不受感染。
[00:01:52.000 --> 00:01:57.000]  主我們為各個政府思考整個疫情的時候,
[00:01:57.000 --> 00:02:00.000]  主不以經濟為他們最先想的地方,
[00:02:00.000 --> 00:02:05.000]  而以人的生命為他們最考慮的情況。
[00:02:05.000 --> 00:02:10.000]  主我們將整個世界每一個人都交在主你的手中,
[00:02:10.000 --> 00:02:12.000]  因為主我們知道你愛世上每一個人,
[00:02:12.000 --> 00:02:14.000]  更加願意在這個時刻,
[00:02:14.000 --> 00:02:18.000]  神是我們屬你的人,更加將你的愛延展,
[00:02:18.000 --> 00:02:22.000]  以致叫更多人在這個無奈懼怕的時刻,
[00:02:22.000 --> 00:02:24.000]  能夠透過你的兒女們,
[00:02:24.000 --> 00:02:28.000]  能夠得享主你自己那種愛的甜蜜。
[00:02:28.000 --> 00:02:30.000]  神我們感謝你,
[00:02:30.000 --> 00:02:33.000]  讓我們無論在什麼地方都能夠一起敬拜,
[00:02:33.000 --> 00:02:36.000]  最願意我們在你面前同心敬拜,
[00:02:36.000 --> 00:02:39.000]  蒙你的月亮,求你淋在我們裡面。
[00:02:39.000 --> 00:02:41.000]  主我們感謝你,
[00:02:41.000 --> 00:02:45.000]  讓我們有預備好的金錢來奉獻給你,
[00:02:45.000 --> 00:02:47.000]  讓你的工作繼續發展。
[00:02:47.000 --> 00:02:48.000]  主你幫助我們,
[00:02:48.000 --> 00:02:51.000]  讓我們有預備好的金錢來奉獻給你,
[00:02:51.000 --> 00:02:55.000]  以致叫你的工作不受任何的限制。
[00:02:55.000 --> 00:02:58.000]  主我們也為著今天的講員,
[00:02:58.000 --> 00:03:00.000]  楊子華傳道交托,
[00:03:00.000 --> 00:03:01.000]  求主祝福他,使用他,
[00:03:01.000 --> 00:03:05.000]  讓他的說話成為我們的鼓勵,提醒和幫助。
[00:03:05.000 --> 00:03:06.000]  我們這樣禱告,
[00:03:06.000 --> 00:03:08.000]  奉基督耶穌,得勝名求。
[00:03:08.000 --> 00:03:09.000]  阿們。
[00:03:09.000 --> 00:03:11.000]  今天我們有楊子華傳道,
[00:03:11.000 --> 00:03:13.000]  會和我們分享神的說話,
[00:03:13.000 --> 00:03:15.000]  請楊子華傳道。
[00:03:16.000 --> 00:03:18.000]  各位影子妹,
[00:03:18.000 --> 00:03:21.000]  無論你是晚上或早上,
[00:03:21.000 --> 00:03:24.000]  一起去敬拜,
[00:03:24.000 --> 00:03:27.000]  願神的平安與大家一起。
[00:03:27.000 --> 00:03:29.000]  在疫情至今,
[00:03:29.000 --> 00:03:32.000]  我們都真的用科技,
