
[00:00:00.000 --> 00:00:11.000]  感謝神我們今天再一次的來到神的話語來領受他今天要對我們說的話
[00:00:11.000 --> 00:00:14.000]  那麼我們一起同心禱告
[00:00:14.000 --> 00:00:16.000]  主耶穌我們滿心感謝讚美你
[00:00:16.000 --> 00:00:20.000]  因為你總是用你的話語來建立我們的生命
[00:00:20.000 --> 00:00:23.000]  我們祈求你真的是打開我們的心
[00:00:23.000 --> 00:00:26.000]  讓我們明白你要對我們說的話
[00:00:26.000 --> 00:00:30.000]  我們感謝你禱告奉主耶穌基督的聖名祈求
[00:00:30.000 --> 00:00:31.000]  阿們
[00:00:31.000 --> 00:00:39.000]  那麼弟兄姊妹我們上回呢是講到耶穌的登山變相的事件
[00:00:39.000 --> 00:00:44.000]  那麼我們說了門徒是藉著耶穌突破了死亡的咒詛
[00:00:44.000 --> 00:00:49.000]  那麼我們上次也說門徒要追求的應該是屬天的榮耀
[00:00:49.000 --> 00:00:54.000]  然後我們在第三個功課學到門徒要不見一人只見耶穌
[00:00:54.000 --> 00:01:00.000]  第四就是門徒要下山去向眾人訴說主的榮耀
[00:01:00.000 --> 00:01:06.000]  在今天呢我們來到了馬可福音的第九章第14節到32節
[00:01:06.000 --> 00:01:09.000]  這是我們馬可福音講道系列的第27講
[00:01:09.000 --> 00:01:14.000]  我們要講的是耶穌教導信心的屬靈功課
[00:01:14.000 --> 00:01:18.000]  剛才Charles弟兄已經幫我們把經文讀出來了
[00:01:18.000 --> 00:01:24.000]  那我就簡單的告訴大家這幾段經文它的大概的內容
[00:01:24.000 --> 00:01:29.000]  那麼第一呢就是有一件事情出了狀況
[00:01:29.000 --> 00:01:33.000]  一開始的時候就是門徒無法趕鬼
[00:01:33.000 --> 00:01:36.000]  那麼第二段呢讓我們看見呢
[00:01:36.000 --> 00:01:41.000]  耶穌出來了就解決問題就趕鬼了成功的趕鬼
[00:01:41.000 --> 00:01:43.000]  第三段呢讓我們看到呢
[00:01:43.000 --> 00:01:47.000]  耶穌的教導有關信心的屬靈的功課
[00:01:47.000 --> 00:01:52.000]  好那我們現在呢就一起來看這幾段的經文
[00:01:52.000 --> 00:01:59.000]  講到經文呢14到15節呢是講到文士與門徒辯論
[00:01:59.000 --> 00:02:01.000]  那麼聖經說耶穌到了門徒那裡
[00:02:01.000 --> 00:02:04.000]  看見有很多的人圍著那些的門徒
[00:02:04.000 --> 00:02:09.000]  不只是這樣還有文士呢和這些門徒在辯論
[00:02:09.000 --> 00:02:12.000]  那麼眾人一看見耶穌呢就覺得
