
[00:00:00.000 --> 00:00:07.300]  我們感謝神下剛才在喜樂詩班代表我們呈獻給上帝的這首詩歌
[00:00:07.300 --> 00:00:14.900]  再次提醒我們 我們成為上帝的兒女是何等的有福氣
[00:00:14.900 --> 00:00:21.100]  不知道你對這首詩歌的歌詞有什麼體會
[00:00:21.100 --> 00:00:26.800]  但這首詩歌其實是很大的一個提醒
[00:00:26.800 --> 00:00:32.700]  我們今天有沒有在壓力 忙碌 失敗裏頭
[00:00:32.700 --> 00:00:41.700]  或者在逼迫當中 我們仍然可以靠主喜樂 靠主站立得穩
[00:00:41.700 --> 00:00:48.200]  這個福氣背後不是說到只是一些很表層的東西
[00:00:48.200 --> 00:00:55.700]  是在說我們生命裏頭那個內在 你的韌力 你的素質
[00:00:55.700 --> 00:01:07.900]  同樣我們今天在神面前的服事 我們需要能夠一生之久去持續去侍奉
[00:01:07.900 --> 00:01:16.400]  其實是有很重要的秘訣 也需要在神的話語的光照底下去幫助我們
[00:01:16.400 --> 00:01:27.400]  讓我們一起來看看今天要講的經文 其實經文裏有一個標題
[00:01:27.400 --> 00:01:35.500]  那是四章一到四十九節 是整章的
[00:01:35.500 --> 00:01:41.500]  所以我昨晚晚課聽到主席這樣說 我就嚇了一跳
[00:01:41.500 --> 00:01:48.000]  那我是不是可以早點講完呢 其實時間都一樣
[00:01:48.000 --> 00:01:57.100]  我就要在很短的時間裏面 將整章文素記第四章要和大家分享
[00:01:57.100 --> 00:02:04.400]  其實文素記第三第四章是很有關係的 但教大家一個秘訣
[00:02:04.400 --> 00:02:10.900]  如果我們要將這兩章聖經連在一起 我們可以去看得通透的話
[00:02:10.900 --> 00:02:18.100]  兩章聖經都是在講利尾蒙神揀選 在十二支派揀選這個利尾支派
[00:02:18.100 --> 00:02:24.600]  利尾有三個兒子 而這三個兒子是被神揀選出來
[00:02:24.600 --> 00:02:33.600]  去代替所有以色列的家族每一個的長子 被分派就是要守護回望
[00:02:33.600 --> 00:02:44.600]  他們來到是蒙神選召 用兩個英文字你可以試一下去綜合第三章講的
[00:02:44.600 --> 00:02:48.600]  Who and Where 他們是什麼人呢
[00:02:48.600 --> 00:02:54.300]  他們是分別為聖 專責回望的服侍的一班人
[00:02:54.300 --> 00:03:04.300]  這個就是他們的身份 他們也有一個編制 他們在回望的南邊西邊和北邊是紮營的
[00:03:04.300 --> 00:03:11.500]  這三班利尾家族的人 他們有很重要的職守
[00:03:11.500 --> 00:03:21.300]  是會防止任何包括以色列其他支派的人 如果要擅闖進去回望裏面
[00:03:21.300 --> 00:03:24.800]  是你可以將他處死的 就是這麼嚴重的
[00:03:24.800 --> 00:03:30.800]  因為舊約裏面讓我們明白 神的聖潔是人不可以冒犯
[00:03:30.800 --> 00:03:39.800]  他要被人看到是有界線的 上帝怎樣來顯明他自己被摩西來抗的時候
[00:03:39.800 --> 00:03:43.800]  摩西很想見神的面 上帝說你只能夠見我背脊
[00:03:43.800 --> 00:03:50.300]  如果你面對面見我 你就死定了 因為我們人是有罪的
[00:03:50.300 --> 00:03:56.300]  我們是需要在神的面前蒙他自己的一個補血潔淨
[00:03:56.300 --> 00:04:00.800]  我們今天新約的人就很不同了 我們是靠著耶穌基督
[00:04:00.800 --> 00:04:03.800]  我們可以進到他這個私人寶藏面前
[00:04:03.800 --> 00:04:15.800]  第四章所說的就是利尾這三個兒子他們在回望的服侍和分工實際的情況
[00:04:15.800 --> 00:04:22.800]  你用兩個英文字就很容易記 What and How 他們做些什麼
[00:04:22.800 --> 00:04:29.800]  還有怎樣去做 怎樣去執行 這個就讓我們很容易明白
[00:04:29.800 --> 00:04:37.300]  我們今天看第四章的時候 神吩咐是數點利尾人當中的壯年人
[00:04:37.300 --> 00:04:45.800]  這個和第三章是有不同的 第三章就叫由一個月大的嬰兒數完他們整個人口
[00:04:45.800 --> 00:04:50.800]  他們當時利尾整個家族在第三章是二萬二千人
[00:04:50.800 --> 00:04:57.800]  但他們今章裡面說到他們數點三十到五十歲只是八千多人
[00:04:57.800 --> 00:05:04.800]  我們後文會交代了 他們按家族來分工負責會幕的拆卸搬運和看守的事
[00:05:04.800 --> 00:05:13.800]  好讓會幕在曠野移動的時候是有效率和有秩序 一切都是按照神的吩咐
[00:05:13.800 --> 00:05:21.800]  你看到祂是很仔細 這三組的人要做些什麼 他們分工很清楚
[00:05:21.800 --> 00:05:28.800]  上帝說我們要起行了 我們不是always station在這裡
[00:05:28.800 --> 00:05:34.800]  因為曠野他們必須要向著應許之地進佛
[00:05:34.800 --> 00:05:41.800]  不過你知道神的子民是很不長進的 他們在近四十年裡面
[00:05:41.800 --> 00:05:48.800]  他們在曠野裡面不斷有很多埋怨 他們甚至很想回到埃及
[00:05:48.800 --> 00:05:54.800]  是因為他們那種信心只是看眼前 看環境 看物質那種缺乏
[00:05:54.800 --> 00:06:03.800]  我們忘記那個呼召他們離開埃及遺老之家的這位上帝 是何等的聖潔公義真實
[00:06:03.800 --> 00:06:10.800]  而且他是豐富傳遞的供應者 我們今天同樣在我們人生裡面
[00:06:10.800 --> 00:06:16.800]  無論我們今天是身處什麼樣的處境 你是在流淚谷 或者你在曠野裡面
[00:06:16.800 --> 00:06:21.800]  或者你覺得是不是神丟棄你 其實上帝永遠都沒有丟棄祂的子民
[00:06:21.800 --> 00:06:27.800]  永遠都是我們忘記上帝 祂無時無刻其實是看顧
[00:06:27.800 --> 00:06:32.800]  我們人生無論去到哪個階段 你是年輕人也好 中年人也好
[00:06:32.800 --> 00:06:40.800]  或者你現在去到是長者了 或者下游了 你都要記住 神沒有丟棄你
[00:06:40.800 --> 00:06:48.800]  我們今天我們的健康 我們每天的飲食 這一切都在神的掌管下
[00:06:48.800 --> 00:06:56.800]  利美這三個兒子 他們是代替亞倫加和匯仲 去辦理這個匯莫所有的事
[00:06:56.800 --> 00:07:03.800]  我們在第三章上一課有跟大家說過 匯莫的東邊就是摩西亞倫加紮營
[00:07:03.800 --> 00:07:08.800]  南邊就是利美的第二個兒子 就是哥核族
[00:07:08.800 --> 00:07:16.800]  左邊就是西邊 匯莫的西邊就是利美的長子 格遜族
[00:07:16.800 --> 00:07:21.800]  而匯莫的北邊就是利美最小的兒子 就是米拉尼族
[00:07:21.800 --> 00:07:29.800]  我們看看這個覺斯奇跡 其實分三個段落 由第一節到三十三節
[00:07:29.800 --> 00:07:35.800]  你看到第一個段落是最長的篇幅 是與哥核族有關的
[00:07:35.800 --> 00:07:46.800]  第二就是二十一到二十八節 與格遜族這個長子有關的 而第三與米拉尼族有關係 二十九到三十三節
[00:07:46.800 --> 00:07:57.800]  而三十四到四十五節 就是在說他們怎樣回應上帝的吩咐 他們去數點他們各族的人數
[00:07:57.800 --> 00:08:06.800]  這張聖經的脈絡讓大家稍為了解 但我會詳細解釋一下 頭一個大段落
[00:08:06.800 --> 00:08:18.800]  這三組的人 由哥核族 格遜族和米拉尼族 究竟他們相似的地方和不同的地方是什麼呢
[00:08:18.800 --> 00:08:28.800]  我們先來看看 他們有類似的地方 首先是神吩咐摩西和亞倫去數點你每個宗族
[00:08:28.800 --> 00:08:36.800]  這個是由三十到五十歲 讓他們當中最壯年最精壯的人出來去侍奉神
[00:08:36.800 --> 00:08:43.800]  第二就是神吩咐每個宗族所負責與回眸有關係的工作
[00:08:43.800 --> 00:08:49.800]  大家是各施其職的 不會混亂的 也不會重複的 很清楚的
[00:08:49.800 --> 00:09:03.800]  下一個平面圖讓大家容易了解 在這個圖織裡面 你看到中間這個位置就是聖所和致聖所
[00:09:03.800 --> 00:09:16.800]  這個在聖所前面 這個就是祭壇 這個回眸你看見這三組人他們的位置和他們所要負責的工作是什麼呢
[00:09:16.800 --> 00:09:24.800]  哥核族 他這個在下面南邊 他負責要搬運的全部是致聖之物
[00:09:24.800 --> 00:09:38.800]  致聖之物是說在聖所裡面所有器具 包括陳灼檯和金燈檯 以及香爐
[00:09:38.800 --> 00:09:48.800]  進入致聖所就是這個藥櫃 這些全部是由他包辦 他要負責搬運的
[00:09:48.800 --> 00:09:58.800]  外面在院子裡面就是祭壇 祭壇也是他要負責的 這個是很清楚的
[00:09:58.800 --> 00:10:22.800]  好了 革信族他們負責什麼呢 他們就是負責這個院子是關於舉辦所有的佈匹的東西 佈匹 包括這個院子的門簾 這裡 這個聖所回眸的門簾
[00:10:22.800 --> 00:10:37.800]  還有萬紙 致聖所和聖所之間 這個是有個萬紙的 是遮蓋的 連普通祭司都不可以直入這個致聖所的
[00:10:37.800 --> 00:10:48.800]  每年只有大祭司一年一次在贖罪日 他是代表以色列整個的民族是向神來贖罪
[00:10:48.800 --> 00:10:57.800]  我們在這裡先有一個了解 還有這個院子的錐子 這些全部是他們負責的
[00:10:57.800 --> 00:11:19.800]  好了 米拉利族負責工程的部件 米拉利族 這裡整個回眸有板 山 柱 座 全部是最重的東西 最重型的東西就是由這個錐子負責
[00:11:19.800 --> 00:11:33.800]  他們這個族裏頭所有的這些被揀選出來 就要搬這些的 這些既是重 但亦都很重要 因為你拆了之後你砌不回就大件事了
[00:11:33.800 --> 00:11:42.800]  你明不明白 因為每一個部件他們是全部要有專人去負責 分門別類
[00:11:42.800 --> 00:12:00.800]  大家到了移動去某個新的地方 一來到下山的時候 你那支釘進去多深 你的角度如何釘好那個錐子 全部都是工程的力學
[00:12:00.800 --> 00:12:07.800]  所以是專業人士來的 是需要來做的 當你明白了這個分佈的時候
[00:12:07.800 --> 00:12:18.800]  我們看這三個段落亦都有第三點有類似的地方 就是他每個宗族都是有supervisor的
[00:12:18.800 --> 00:12:26.800]  就是哥核族是祭司以利亞薩來管轄的 加遜和米拉利族就是以他馬
[00:12:26.800 --> 00:12:40.800]  我想請問大家記不記得以利亞薩和以他馬是亞倫的第幾個兒子 第三和第四個兒子 為什麼不是長子和次子呢
[00:12:40.800 --> 00:12:59.800]  是的 第三章你們有聽到 第三章就是拿達比布獻梵火 他們沒有照上帝的吩咐亂來 祭壇的火是要用祭壇的火種來點燃
[00:12:59.800 --> 00:13:10.800]  但是他是找別處的地方 點燃祭壇上的火 所以那裡是說一個unholy fire 英文很多譯本都有翻譯的
[00:13:10.800 --> 00:13:22.800]  我們再看這三個段落亦都有一些不同的地方是什麼呢 首先你看到剛才我們都說哥核宗族的描述是最長的篇幅
