
[00:00:00.000 --> 00:00:03.000]  希望姐妹平安,
[00:00:03.000 --> 00:00:05.000]  復活節蒙恩。
[00:00:05.000 --> 00:00:10.000]  希望大家都過去兩三天有很好的休息,
[00:00:10.000 --> 00:00:14.000]  跟家人有難得的時間在一起。
[00:00:14.000 --> 00:00:18.000]  實在感恩,我們能夠在復活節的這個主日,
[00:00:18.000 --> 00:00:20.000]  一起來崇拜。
[00:00:20.000 --> 00:00:25.000]  感謝贊美神,我們同心禱告。
[00:00:25.000 --> 00:00:30.000]  親愛的主,我們還有什麼話,
[00:00:30.000 --> 00:00:34.000]  能夠足以表達對禰的感恩呢?
[00:00:34.000 --> 00:00:38.000]  主啊,若不是禰,
[00:00:38.000 --> 00:00:43.000]  我們怎麼能夠今天還存活,
[00:00:43.000 --> 00:00:45.000]  還站立得住?
[00:00:45.000 --> 00:00:47.000]  主我們祈求禰,
[00:00:47.000 --> 00:00:50.000]  讓我們真的是回到禰的真理,
[00:00:50.000 --> 00:00:52.000]  就更明白禰的大愛。
[00:00:52.000 --> 00:00:55.000]  在這復活節,讓我們更明白,
[00:00:55.000 --> 00:01:01.000]  禰在我們生命中所做的奇妙的救贖。
[00:01:01.000 --> 00:01:04.000]  我們求禰預備我們的心,
[00:01:04.000 --> 00:01:06.000]  因為禰曾經教導門徒,
[00:01:06.000 --> 00:01:10.000]  我們的心要像一片好的土地,
[00:01:10.000 --> 00:01:12.000]  才能夠領受禰的道。
[00:01:12.000 --> 00:01:17.000]  需要放下自己一切的想法,
[00:01:17.000 --> 00:01:22.000]  需要真的是謙卑地來聆聽上帝,
[00:01:22.000 --> 00:01:25.000]  借著禰的經文要對我們說的話。
[00:01:25.000 --> 00:01:27.000]  我們求禰與我們同在,
[00:01:27.000 --> 00:01:30.000]  禱告感恩,奉主耶穌基督聖明祈求。
[00:01:30.000 --> 00:01:32.000]  Amen。
[00:01:32.000 --> 00:01:34.000]  那麼這裡有很多弟兄姐妹,
[00:01:34.000 --> 00:01:36.000]  跟著我們國語區一起成長,
[00:01:36.000 --> 00:01:39.000]  進入了第七個年頭,
[00:01:39.000 --> 00:01:42.000]  那麼要踏入第八年。
[00:01:42.000 --> 00:01:45.000]  在這裡有很多很多家庭,
[00:01:45.000 --> 00:01:48.000]  很多很多的生命故事。
[00:01:48.000 --> 00:01:51.000]  我有時候想起來的時候,
[00:01:51.000 --> 00:01:54.000]  我只能夠滿心的感恩,
[00:01:54.000 --> 00:01:57.000]  因為我知道有些家庭,
[00:01:57.000 --> 00:02:01.000]  經歷很多很多的挫折跟打擊,
[00:02:01.000 --> 00:02:03.000]  但是因為主的緣故,
[00:02:03.000 --> 00:02:08.000]  主的愛進入了不同的弟兄姐妹的心,
[00:02:08.000 --> 00:02:11.000]  使到他們認識了主耶穌基督,
[00:02:11.000 --> 00:02:16.000]  開始喜樂,重新的進入了自己的生命。
[00:02:16.000 --> 00:02:21.000]  有些弟兄姐妹是因患了一些的疾病,
[00:02:21.000 --> 00:02:26.000]  才有機會去到教會來認識主,
[00:02:26.000 --> 00:02:28.000]  可能朋友帶他來教會,
[00:02:28.000 --> 00:02:32.000]  為他祈求醫治,祈求平安。
[00:02:32.000 --> 00:02:35.000]  那麼有些年輕的弟兄姐妹,
[00:02:35.000 --> 00:02:40.000]  是在工作上開始有些的不如意,
[00:02:40.000 --> 00:02:43.000]  但是有些關心他的同事,
[00:02:43.000 --> 00:02:47.000]  也把他邀請來教會,來關心他。
[00:02:47.000 --> 00:02:53.000]  我覺得上帝是借著我們人生的各種的處境,
[00:02:53.000 --> 00:02:59.000]  使到我們有機會停一停,想一想,
[00:02:59.000 --> 00:03:03.000]  我們順著人生的軌道,
[00:03:03.000 --> 00:03:07.000]  不斷地向前衝,到底我們要去哪裡。
[00:03:07.000 --> 00:03:10.000]  我們不斷地告訴自己,
[00:03:10.000 --> 00:03:14.000]  我靠自己的意志力,我靠自己再努力一點,
[00:03:14.000 --> 00:03:17.000]  就能夠達到我要達到的目的,
[00:03:17.000 --> 00:03:19.000]  那到底這是不是真相。
[00:03:19.000 --> 00:03:24.000]  所以上帝會有時候容許一些的事情發生,
[00:03:24.000 --> 00:03:26.000]  因為這世界是不完美的,
[00:03:26.000 --> 00:03:28.000]  容許一些事情發生,
[00:03:28.000 --> 00:03:33.000]  使到我們有機會去停一停,想一想,
[00:03:33.000 --> 00:03:36.000]  到底我在這世界上要做什麼。
[00:03:36.000 --> 00:03:38.000]  那麼弟兄姐妹,親愛的朋友,
[00:03:38.000 --> 00:03:44.000]  我今天是懷著一個比較複雜的心情,
[00:03:44.000 --> 00:03:48.000]  要跟大家傳講今天的信息,
[00:03:48.000 --> 00:03:55.000]  因為我今天的感動是要講"罪得赦免,重新開始"。
[00:03:55.000 --> 00:03:59.000]  復活節的講道,我講了很多篇了。
[00:03:59.000 --> 00:04:04.000]  今年我覺得我的領袖是要特別跟大家
[00:04:04.000 --> 00:04:07.000]  談一些比較沈重的問題,
[00:04:07.000 --> 00:04:10.000]  不是跟大家談,也跟我自己談。
[00:04:10.000 --> 00:04:14.000]  所以我在整個預備的過程,在禱告的過程,
[00:04:14.000 --> 00:04:20.000]  我感受到我們在上帝面前要怎麼樣的站精,
[00:04:20.000 --> 00:04:26.000]  在這位聖者面前來敬畏他,來學習他的話。
[00:04:26.000 --> 00:04:32.000]  那麼我在好多年前就思想這個問題,
[00:04:32.000 --> 00:04:36.000]  到底人類最大的問題是什麼?
[00:04:36.000 --> 00:04:40.000]  人類最大的問題,所以我看到不同的社會,
[00:04:40.000 --> 00:04:47.000]  不同的組織,都在想辦法使到人類社會更美好。
[00:04:47.000 --> 00:04:50.000]  似乎有各種各樣的問題浮現,
[00:04:50.000 --> 00:04:54.000]  相信信主的人都知道這不是真正的答案。
[00:04:54.000 --> 00:04:57.000]  但是我們曾經都看過,在不同的社會,
[00:04:57.000 --> 00:05:05.000]  不同的政府,不同的組織,都用各種的方法要解決各樣的一些問題。
[00:05:05.000 --> 00:05:08.000]  是資源分配不均嗎?
