
[00:00:00.000 --> 00:00:12.000]  好,弟兄姐妹,很感恩啊,真的是每年的年底都有一些不同的感觸啊。
[00:00:12.000 --> 00:00:21.000]  今年的年底的感觸就是我們能夠來到最後一個主日了,真的是很想別了啊,2020。
[00:00:21.000 --> 00:00:32.000]  所以今天就跟大家分享這個題目。首先呢,我會邀請你思考呢,你會如何形容你自己的2020呢?
[00:00:32.000 --> 00:00:46.000]  我不知道你的答案是什麼啊,有些人可能覺得好像過山車一樣,總是以為這個疫情要過了,可是怎麼知道又一波又來了啊。
[00:00:46.000 --> 00:00:57.000]  那麼有些人是可能覺得已經很累了,不再想看這個數字了啊,反正有點疲憊了。
[00:00:57.000 --> 00:01:07.000]  香港人好像普遍都適應了某些確診的數字啊,當然我們還是要非常的謹慎,非常的警醒。
[00:01:07.000 --> 00:01:20.000]  但是在這個2020,你有什麼適應嗎?你有什麼學習嗎?在這個除了zoom以外,有沒有什麼新的一些的體會啊?
[00:01:20.000 --> 00:01:37.000]  我們看一下,這個別了2020啊,我想到的第一件事情呢,是跟大家一起分享的,就是這個呢,讓我們真的是帶來令我們害怕的回憶啊。
[00:01:37.000 --> 00:01:54.000]  我們想起SARS,第一次我們聽到這個疫情的時候呢,我們馬上就想起SARS了,特別是那些在香港曾經一起在香港經歷的,或者在內地也經歷過SARS的弟兄姐妹,不會陌生啊。
[00:01:54.000 --> 00:02:14.000]  我們會想到這個SARS,這個情況,那時候帶來很多很多的害怕啊,我記得我們到處走,那是第一次的經歷啊,都很害怕,然後回家就肯定拼命的洗手沖涼,換衣服啊等等。
[00:02:14.000 --> 00:02:35.000]  那麼,而且呢,那時候死亡率蠻高的啊,我記得整個SARS過去之後呢,我們香港,就是小小的一個香港本身就300人死亡啊,那個對一個這個小城市,這個人口密集的地方來說是相當可怕的一個經驗。
[00:02:35.000 --> 00:02:50.000]  我想起聖經的一段話,在撒木爾記上第七章那邊,他講到以色列人他聽見貝利斯人要來攻打他們的時候呢,就非常的懼怕啊。
[00:02:50.000 --> 00:03:08.000]  那段話是這麼說的,撒木爾說要使以色列眾人聚集在米斯巴,我好為你們禱告耶和華。他們就聚集在米斯巴,打水澆在耶和華面前,當日進食,說我們得罪了耶和華。
[00:03:08.000 --> 00:03:27.000]  於是撒木爾在米斯巴審判以色列人。貝利斯人呢,他們聽見以色列人聚集在米斯巴,貝利斯的首領就上來要攻擊以色列人。然後最後一節呢,那邊就說以色列人聽見就懼怕貝利斯人。
[00:03:27.000 --> 00:03:41.000]  他們為什麼會懼怕呢?因為一向來貝利斯人就是他們當時最大的仇敵啊,他們比較高大威猛啊,而且常常呢給他們帶來真實的威脅啊。
[00:03:41.000 --> 00:03:58.000]  所以呢,他們一聽到貝利斯人要來攻打他們了,就懼怕啊。這個讓我想到我們聽到這個新冠病毒的疫情的時候,我們馬上就想到又是疫情,所以就非常的懼怕。
[00:03:58.000 --> 00:04:07.000]  所以呢,我們真的是很想不要再來了啊,這個疫情別了啊,這個2020真是過得很不容易啊。
[00:04:07.000 --> 00:04:27.000]  另外呢,這個我們也要跟這個說不要再來了啊,別了2020。因為疫情打亂了我們的日常生活啊,在地鐵開始的時候呢,其實我們坐地鐵的時候都有點害怕,不知道會不會受感染啊。
[00:04:27.000 --> 00:04:44.000]  然後呢,我們那些家裡有小朋友的也很害怕自己的孩子會不會受感染啊。雖然聽說很多報道都說小孩子沒有那麼容易受感染,但是作為家長的,我看每一個人都擔心啊。
[00:04:44.000 --> 00:04:54.000]  孩子會不會有這個自律呢,把手洗清潔呢,手不要去碰眼睛鼻子呢,這也令很多的家長都很頭痛啊。
[00:04:54.000 --> 00:05:10.000]  那麼去到學校,老師也特別緊張啊,那麼老師的生活也被打亂了啊,從在學校的面授課程,改到要把工作帶回家去做這個線上的上課啊。
[00:05:10.000 --> 00:05:25.000]  不只是老師痛苦啊,家長也痛苦啊,家長也變成一半的老師啊,家長要陪著孩子,一夜之間要變成電腦專家,然後又要跟孩子一起做功課。
[00:05:25.000 --> 00:05:37.000]  有些家長說我怎麼會,我怎麼懂那麼多功課呢,又數學科學英文數學華語啊等等啊,基本上呢,整個生活都被打亂了啊,很多的工作停頓啊。
[00:05:37.000 --> 00:05:56.000]  然後當學校說可以回校的時候呢,又開始是回半天啊,然後半天你到底這個家長供不供做呢等等啊,然後去吃東西也是,我們也受了很大的影響啊,到底是可以八個人一起坐在一起嗎,還是六個人,還是四個人,還是兩個人。
[00:05:56.000 --> 00:06:08.000]  甚至有一段期間我記得我們都不能夠有堂食啊,就是不能夠進去餐廳吃飯啊,然後當然社會有一些投訴之後,那政府又開放了等等。
[00:06:08.000 --> 00:06:33.000]  然後呢,突然間就來了檢測啊,檢測變成一個工具,能夠快點知道有誰是高危的這個群組啊,所以基本上我們的生活呢,在2020呢,真的是真的是很不一樣,我們我們真的是怕了啊,這個疫情我們希望呢,他不要再來了啊。
[00:06:33.000 --> 00:07:01.000]  那麼除了我們的日常生活以外呢,這個疫情呢,也影響了我們的教會生活啊,啊,這是香港一間教會的啊,這個照片啊,那麼我們教會呢,平時我們都啊,當做是很理所當然的啊,去教會崇拜,去教會參加團慶小組啊,上一些課程啊,突然啊,這些都做不到了啊。
[00:07:01.000 --> 00:07:30.000]  我們都啊,不能夠聚在一起啊,我記得我們啊,當時候在我們自己的群體最享受的就是在我們的這個啊,崇拜能夠面對面啊,見面啊,然後可以啊,每個星期有些比較少見的見了一些的弟兄姐妹啊,問寒問暖啊,然後完了之後啊,孩子也在樓上的兒童指日學完成了他們的課程,然後呢,有些弟兄姐妹就會上到二樓。
[00:07:30.000 --> 00:07:59.000]  我們就會有一起啊,吃午餐的時間,有愛宴啊,有些很有愛心的弟兄姐妹也在那裡服侍啊,在那邊加菜啊,給弟兄姐妹,真的是很千非的甘心做眾人的僕人,在那邊加菜給弟兄姐妹,我們就坐在那邊,也跟一些新朋友啊,多談談多認識,然後就還有接下來的課程也上課了啊,非常的濃恰,非常的溫馨啊,這個地方。
[00:07:59.000 --> 00:08:28.000]  那麼,一時之間呢,我們這些都都不能做了啊,我們就啊,能夠感恩,有有恩典啊,上帝他讓我們能夠使用科技啊,至少我們能夠啊,有這個線上的崇拜啊,不能夠回到教會崇拜啊,但是呢,畢竟還是有點落差的啊,那個反應不能夠那麼及時,跟人家談話的時候啊,一起組人談話的時候,那個氣氛稍微有點不同啊。
[00:08:28.000 --> 00:08:57.000]  不過啊,弟兄姐妹都很有愛心,我們還是彼此的啊,扶持啊,彼此的啊,鼓勵啊,參加我們線上的聚會,不管是崇拜也好,還是我們的小組也好,我們都是為了能夠啊,鼓勵別人也維繫在一起,也繼續的啊,對自己的靈命負責,能夠成長,但是實實在在的,我們的很多的事工也停頓了啊,怎樣去傳福音,怎麼樣去啊,做生意啊。
[00:08:57.000 --> 00:09:11.000]  去做社會關懷的工作也受了影響啊,更別想短訊啊,根本都不能夠離開香港啊,那麼基本上啊,教會的生活也大大受了影響啊。
[00:09:11.000 --> 00:09:36.000]  那麼另外呢,就是這個疫情呢,也真的影響了部分人的生活收入啊,因為有一些的行業是直接受到衝擊的啊,他們啊,政府比較擔心啊,那些地方比較容易傳染啊,所以也啊,給他們有限點多的限制,或者是直接是關閉了,不准不准營業啊。
[00:09:36.000 --> 00:10:05.000]  所以呢,在整個整個啊,香港呢,也經歷了很多啊,經濟上的衝突啊,而這種衝擊啊,基本上啊,我們如果看那個失業率呢,啊,真的是差不多要達到當年2004年05年的水平了啊,這個是有二十幾萬人已經這個失業了啊,到現在我看啊,是不是已經有40萬了啊。
[00:10:05.000 --> 00:10:19.000]  那麼很嚴重的一件事情啊,那麼啊,有些人真的是家庭的經濟支柱啊,他們手停口停啊,他們沒有了工作之後呢,啊,也造成很大很大的影響。
[00:10:19.000 --> 00:10:36.000]  所以這個疫情呢,也帶給我們很多很多的影響啊,有些是跟親人啊,不能夠啊,有很好的接觸,不能夠支持到他們啊,我也知道有些弟兄姐妹根本都不能夠去到醫院去探望自己的親人啊。
[00:10:36.000 --> 00:11:03.000]  所以這個這個整個疫情啊,在2020呢,我們都一起經歷了很多很多的衝擊,是一浪接著一浪的啊,啊,在模式著我們的忍耐的這個能力啊,我們啊,忍了兩個月三個月五個月六個月,然後啊,原來是一整年了啊,這個2020有誰會想到呢,是這樣子的呢?
[00:11:03.000 --> 00:11:30.000]  啊,我們在啊,這個2019的時候,我們在迎接著2020的時候啊,還是相當興奮的啊,啊,我們進入了這個21世紀啊,那麼我們沒想到這這個2020是這樣子,我們啊,受到很多方面的衝擊啊,我們就希望跟這個這樣的2020說呢,別再來了啊,所以別了啊,2020啊。
[00:11:30.000 --> 00:11:50.000]  好,那麼所以呢,這裡有說了啊,我說別了2020的啊,就是夠了啊,夠了啊,不要再來了,不要再見了,我們不要跟他說再見2020啊,我們說別了2020啊,不知道你有沒有同感啊。
[00:11:50.000 --> 00:12:16.000]  啊,但是呢,弟兄姐妹,我不知道你有沒有想過呢,這別了2020呢,其實還有另外的一個意思啊,另外的意思是什麼呢?另外意思是,呃,有另外一種的心情來跟2020說再見啊,別了,就是這個2020呢,他即將過去了。
[00:12:16.000 --> 00:12:44.000]  雖然是很多很多的麻煩,雖然是很多很多的痛苦,雖然是很多很多的不適應,很多很多的,呃,的的悲痛,但是呢,他在當中呢,又好像有點值得回憶啊,有點值得值得去想著2020我們是怎麼過的,這當中有沒有什麼一些東西是可貴的啊?
[00:12:44.000 --> 00:12:54.000]  所以呢,這別了2020呢,也是帶著一種的值得回憶,這樣的感覺來來跟這個2020道別啊。
[00:12:54.000 --> 00:13:18.000]  可能有些弟兄姐妹會問我了,哎,怎麼可能呢?這這這2020有什麼值得回憶的呢?啊,其實呢,我我相信呢,每一件事情都有它的兩面啊,即使是負面的事情呢,上帝也能使用它來祝福我們,這是我們基督徒的信念。
[00:13:18.000 --> 00:13:30.000]  呃,羅馬書第八章28節記載著使徒保羅啊,他寫了一句話,這是我們大家都相當喜歡的一節經文啊。
[00:13:30.000 --> 00:13:46.000]  你在你的家中的跟我一起讀這些經文,他說我們曉得萬事都互相效力,叫愛神的人得益處,就是按他的旨意被招的人。
[00:13:46.000 --> 00:14:02.000]  上帝呢,是那一位愛我們的主,世界上很多的事情呢,是我們人類造成的,世界上很多的苦難呢,都是我們人類造成的。
[00:14:02.000 --> 00:14:14.000]  呃,我們造成了我們有時候是其他人造成的,我們是受害者,有些事情是我們間接造成的,其他人變成受害者。
[00:14:14.000 --> 00:14:36.000]  我們都在這個,呃,我們經營的這個世界,呃,的效果裡面來生活,呃,但是愛我們的神呢,他不會,呃,來強制我們的改變我們的思想,他讓我們有這個自由意志呢,來做我們要做的事情,甚至要承擔我們的後果。
[00:14:36.000 --> 00:14:48.000]  但是他有豐盛的憐憫,他有恩典,他願意呢,在一切的患難中呢,成為信靠他的人的幫助。
[00:14:48.000 --> 00:15:04.000]  所以呢,我們基督徒,我們相信呢,萬事都互相效力的啊,上帝能夠借著負面的事情,也成為我們的鼓勵,我們的幫助,就是叫愛神的人,叫每一個基督徒都能夠得益處的啊。
