
[00:00:00.000 --> 00:00:02.000]  大家好,大型節目平安
[00:00:02.000 --> 00:00:09.000]  很高興今天可以在大家當中分享神的說話,繼續我們啟示錄的門訓系列
[00:00:09.000 --> 00:00:14.000]  在我講到之前,不如我都去和大家講一個小故事
[00:00:14.000 --> 00:00:23.000]  在我讀神學的時候,其中有一堂上課的時候,我坐在旁邊的男同學就問我
[00:00:23.000 --> 00:00:33.000]  Karen,你可不可以借你的眼鏡布給我擦眼鏡?我剛剛拿了一個新的贈品的眼鏡布,我說好吧,這個送給你了
[00:00:33.000 --> 00:00:39.000]  他擦完之後,他就說了一句,他說,Oh, the world has suddenly become so clear!
[00:00:39.000 --> 00:00:46.000]  他說,原來世界是這麼清楚的?我心想,你平時在看什麼?
[00:00:46.000 --> 00:00:56.000]  但那一刻,我突然間在想,原來蒙了的眼鏡是會模糊了我們的視覺
[00:00:56.000 --> 00:01:03.000]  那個男同學可能一直都覺得蒙著眼鏡看的世界已經是他真實的世界
[00:01:03.000 --> 00:01:09.000]  模擬這個是,但這個是不是事實的全部,或者是他世界的全部呢?
[00:01:09.000 --> 00:01:17.000]  會不會有些東西是在他看不到的,或者蒙了的眼鏡之上更真實的東西呢?
[00:01:17.000 --> 00:01:31.000]  所以在我們今天去看這一段聖經,我們今天看的經文裡面,在啟示錄一章九節至二章七節
[00:01:31.000 --> 00:01:42.000]  我們首先會去看約翰見到一個異象,之後就看耶穌去給七教會,第一間教會給二福所教會的一個訊息
[00:01:42.000 --> 00:01:49.000]  我們一開始就在這段經文裡面,就見到約翰見到一個異象
[00:01:49.000 --> 00:01:56.000]  這一刻,約翰就好像是被離開了這個世界,他提到天上
[00:01:56.000 --> 00:02:05.000]  他的讀者,即是我們,和他當時的讀者,就好像和他一起被提到天上
[00:02:05.000 --> 00:02:14.000]  而在天上再看下來這個世界,我想你可以想像在天上看下來的這個世界
[00:02:14.000 --> 00:02:20.000]  和在世界上你看到的那個真實,會是一個不同的畫面
[00:02:20.000 --> 00:02:30.000]  當時約翰就見到一個,他說好像人質一樣,揭示給當時在羅馬統治的碧北下
[00:02:30.000 --> 00:02:38.000]  如何從神的視角去看到地上真正發生的事情
[00:02:38.000 --> 00:02:44.000]  那麼約翰這個異象,今天又如何幫助到我們呢?
[00:02:44.000 --> 00:02:48.000]  今天我想和大家看的經文有三部分
[00:02:48.000 --> 00:02:54.000]  第一個,就是約翰在異象中看到榮耀的主
[00:02:54.000 --> 00:03:03.000]  第二,就是約翰在終末的角度重新去看和詮釋當前的處境
