
[00:00:00.000 --> 00:00:03.220]  好 各位弟兄姊妹們 大家主內平安
[00:00:03.220 --> 00:00:07.100]  感恩我們在聖餐主日的當中
[00:00:07.100 --> 00:00:09.180]  一起相聚 特別今天下午
[00:00:09.180 --> 00:00:11.980]  還有我們國語區的第13屆
[00:00:11.980 --> 00:00:12.980]  洗禮
[00:00:12.980 --> 00:00:15.980]  是神的恩典 祝福了我們
[00:00:15.980 --> 00:00:17.260]  屬靈的大家庭
[00:00:17.260 --> 00:00:21.340]  也是聖靈 祝福了我們的人生
[00:00:21.340 --> 00:00:24.860]  因著祂的內注 我們就活出了
[00:00:24.860 --> 00:00:26.820]  屬於神的特質
[00:00:27.260 --> 00:00:30.180]  今天來到了我們 聖靈果子
[00:00:30.180 --> 00:00:32.320]  講道系列的第6講
[00:00:32.320 --> 00:00:34.440]  講的特質是什麼
[00:00:34.440 --> 00:00:38.900]  良善 對了
[00:00:38.900 --> 00:00:41.340]  以前也和大家重溫過
[00:00:41.340 --> 00:00:44.460]  這九種特質呢
[00:00:44.460 --> 00:00:47.140]  不是相互割裂的
[00:00:47.140 --> 00:00:50.800]  它們是屬於一個果子
[00:00:50.800 --> 00:00:54.020]  的九種 各具特色的
[00:00:54.020 --> 00:00:55.020]  特質
[00:00:55.400 --> 00:00:58.440]  綜合在一起 讓我們
[00:00:58.440 --> 00:00:59.440]  由內而外的
[00:00:59.440 --> 00:01:03.760]  自然流露和活出了神的樣式
[00:01:03.760 --> 00:01:07.460]  那麼邀請大家 我們要重溫一次
[00:01:07.460 --> 00:01:09.960]  聖靈所結的果子
[00:01:09.960 --> 00:01:12.980]  就是什麼啊 仁愛
[00:01:12.980 --> 00:01:15.980]  喜樂 和平 忍耐
[00:01:15.980 --> 00:01:18.980]  恩慈 良善 信實 溫柔
[00:01:18.980 --> 00:01:21.980]  節制 好的 很好
[00:01:21.980 --> 00:01:24.760]  那麼今天呢 開始要講良善嘛
[00:01:25.120 --> 00:01:28.120]  它的定義究竟是什麼呢
[00:01:28.120 --> 00:01:31.220]  如果我們看的話 英文就是 goodness
[00:01:31.220 --> 00:01:32.640]  好的
[00:01:32.640 --> 00:01:35.980]  那麼也可以把它解釋成為呢
[00:01:35.980 --> 00:01:39.480]  美好 訓良 或者是純正
[00:01:39.480 --> 00:01:43.200]  還有呢 可以理解成為
[00:01:43.200 --> 00:01:44.900]  內在善良的品性
[00:01:44.900 --> 00:01:48.040]  以及對上帝看為好
[00:01:48.040 --> 00:01:51.280]  或公益事物的嚮往和參與
[00:01:51.280 --> 00:01:54.920]  定義呢 可能大家都看得明白呀
[00:01:55.160 --> 00:01:58.400]  但是究竟怎麼樣可以實踐
[00:01:58.400 --> 00:02:01.600]  會變得很困難 又會變得
[00:02:01.600 --> 00:02:04.700]  不是太理解 究竟這個 goodness
[00:02:04.700 --> 00:02:08.260]  是什麼意思 所以今天也想在
[00:02:08.260 --> 00:02:09.780]  講道當中呢
[00:02:09.780 --> 00:02:13.700]  求神帶領我們一起去思想和學習
[00:02:13.700 --> 00:02:15.640]  我們一起來禱告
[00:02:15.640 --> 00:02:19.820]  親愛的天父 愛我們的主 你是那位
[00:02:19.820 --> 00:02:22.260]  良善的夫子 謝謝你把我們
[00:02:22.260 --> 00:02:24.860]  帶到屬靈的大家庭當中
[00:02:24.860 --> 00:02:28.240]  我們要親近你 要學習
[00:02:28.240 --> 00:02:31.100]  主你的特性 主啊 就
[00:02:31.100 --> 00:02:34.040]  求你帶領我們 感動我們
[00:02:34.040 --> 00:02:37.040]  參與在其間的每一位弟兄姊妹
[00:02:37.040 --> 00:02:40.000]  讓我們可以明白 我們生命是可以
[00:02:40.000 --> 00:02:42.240]  活出何等的美好來的
[00:02:42.240 --> 00:02:45.020]  感謝我們的父神 同心禱告
[00:02:45.020 --> 00:02:47.400]  奉主名求 Amen
[00:02:47.400 --> 00:02:50.880]  那麼如果只是講到其間的一個
[00:02:50.880 --> 00:02:53.880]  定義呢 不是能夠完全的明白
[00:02:53.880 --> 00:02:57.080]  我們要講良善的時候呢 最好要透過
[00:02:57.080 --> 00:03:00.100]  這個詞 在聖經
[00:03:00.100 --> 00:03:02.360]  當中的同樣的
[00:03:02.360 --> 00:03:06.200]  記載 就可以更加的清晰
[00:03:06.200 --> 00:03:08.500]  良善是什麼意思的
[00:03:08.500 --> 00:03:11.700]  分別這次的講道呢 想要透過
[00:03:11.700 --> 00:03:14.320]  兩段的經文和大家一起來分享
[00:03:14.320 --> 00:03:17.220]  第一段呢 它是在
[00:03:17.220 --> 00:03:20.160]  馬太 馬可和路加福音裡面
[00:03:20.160 --> 00:03:21.960]  所有記載的一個事件
[00:03:21.960 --> 00:03:24.940]  講的呢 是一位
[00:03:24.940 --> 00:03:28.640]  財主 來求問耶穌基督
[00:03:28.640 --> 00:03:31.800]  何為永生之道的記載
[00:03:31.800 --> 00:03:35.580]  這件事情 另外一個呢
[00:03:35.580 --> 00:03:37.660]  是在馬太福音當中
[00:03:37.660 --> 00:03:40.640]  一個按財受託的比喻
[00:03:40.640 --> 00:03:43.700]  在這些的記載裡面呢
[00:03:43.700 --> 00:03:47.740]  其中都有形容過 良善這個詞啊
[00:03:48.140 --> 00:03:50.140]  與我們在看到的
[00:03:50.140 --> 00:03:52.140]  聖靈所結的果子
[00:03:52.140 --> 00:03:54.140]  裡面的良善呢
[00:03:54.140 --> 00:03:56.140]  是同出自於
[00:03:56.140 --> 00:03:58.140]  希臘文的同一個字根
[00:03:58.140 --> 00:04:00.140]  Agathie
[00:04:00.140 --> 00:04:02.140]  所以呢 當我們再來看
[00:04:02.140 --> 00:04:04.140]  其間 它的一個
[00:04:04.140 --> 00:04:06.140]  記載的時候
[00:04:06.140 --> 00:04:08.140]  耶穌是怎麼樣回應的
[00:04:08.140 --> 00:04:10.140]  耶穌是怎麼樣用比喻的
[00:04:10.140 --> 00:04:12.140]  我們就知道這樣一個特質
[00:04:12.140 --> 00:04:14.140]  究竟怎麼樣可以在我們的
[00:04:14.140 --> 00:04:16.140]  生命當中 有這樣一個
[00:04:16.140 --> 00:04:18.140]  帶領和作用
[00:04:18.140 --> 00:04:20.140]  我會由三個方面
[00:04:20.140 --> 00:04:22.140]  和大家來分享啊
[00:04:22.140 --> 00:04:24.140]  良善的特質
[00:04:24.140 --> 00:04:26.140]  首先呢 良善我們要明白
[00:04:26.140 --> 00:04:28.140]  它屬於
[00:04:28.140 --> 00:04:30.140]  專屬
[00:04:30.140 --> 00:04:32.140]  上帝的特質
[00:04:32.140 --> 00:04:34.140]  為什麼這麼說呢
[00:04:34.140 --> 00:04:36.140]  在馬可福音第十章
[00:04:36.140 --> 00:04:38.140]  記載的事件當中呢
[00:04:38.140 --> 00:04:40.140]  我們就可以
[00:04:40.140 --> 00:04:42.140]  明白過來啊
[00:04:42.140 --> 00:04:44.140]  當時呢
[00:04:44.140 --> 00:04:46.140]  耶穌在出來行路的時候呢
[00:04:46.140 --> 00:04:48.140]  就有一個人跑過來了
[00:04:48.140 --> 00:04:50.140]  跪在他的面前
[00:04:50.140 --> 00:04:52.140]  就問他說
[00:04:52.140 --> 00:04:54.140]  良善的夫子啊
[00:04:54.140 --> 00:04:56.140]  就用這樣一個稱呼
[00:04:56.140 --> 00:04:58.140]  這樣一個稱呼呢
[00:04:58.140 --> 00:05:00.140]  在當時的一個社會背景和處境下呢
[00:05:00.140 --> 00:05:02.140]  是一個
[00:05:02.140 --> 00:05:04.140]  不尋常的一個用語啊
[00:05:04.140 --> 00:05:06.140]  通常良善這個詞呢
[00:05:06.140 --> 00:05:08.140]  只會用來
[00:05:08.140 --> 00:05:10.140]  形容上帝的
[00:05:10.140 --> 00:05:12.140]  那這樣一位財主
[00:05:12.140 --> 00:05:14.140]  突然跪在了耶穌的面前
[00:05:14.140 --> 00:05:16.140]  要來請教耶穌呢
[00:05:16.140 --> 00:05:18.140]  是他看到了
[00:05:18.140 --> 00:05:20.140]  耶穌他和別人的
[00:05:20.140 --> 00:05:22.140]  夫子和律法師
[00:05:22.140 --> 00:05:24.140]  截然不同
[00:05:24.140 --> 00:05:26.140]  這位教導者他有權柄
[00:05:26.140 --> 00:05:28.140]  他有智慧
[00:05:28.140 --> 00:05:30.140]  讓他看到了和神
[00:05:30.140 --> 00:05:32.140]  相關聯的這些特性的時候
[00:05:32.140 --> 00:05:34.140]  他就要來請教耶穌了
[00:05:34.140 --> 00:05:36.140]  就有了這樣一個稱呼了
[00:05:36.140 --> 00:05:38.140]  良善的夫子
[00:05:38.140 --> 00:05:40.140]  我當做什麼事
[00:05:40.140 --> 00:05:42.140]  才可以承受永生呢
[00:05:42.140 --> 00:05:44.140]  那麼耶穌就
[00:05:44.140 --> 00:05:46.140]  回應他了
[00:05:46.140 --> 00:05:48.140]  你為什麼稱我是
[00:05:48.140 --> 00:05:50.140]  良善的
[00:05:50.140 --> 00:05:52.140]  耶穌也很明白當時的用詞啊
[00:05:52.140 --> 00:05:54.140]  因為除了
[00:05:54.140 --> 00:05:56.140]  上帝一位之外
[00:05:56.140 --> 00:05:58.140]  再沒有良善的了
[00:05:58.140 --> 00:06:00.140]  所以我們看到良善的特質
[00:06:00.140 --> 00:06:02.140]  的時候要明白
[00:06:02.140 --> 00:06:04.140]  這是一個上帝專屬的特質
[00:06:04.140 --> 00:06:06.140]  在接下來呢
[00:06:06.140 --> 00:06:08.140]  我們看到
[00:06:08.140 --> 00:06:10.140]  這位良善的夫子
[00:06:10.140 --> 00:06:12.140]  就是耶穌啊
[00:06:12.140 --> 00:06:14.140]  他很了解這位財主
[00:06:14.140 --> 00:06:16.140]  這個來求問著
[00:06:16.140 --> 00:06:18.140]  在這個
[00:06:18.140 --> 00:06:20.140]  馬可福音當中呢
[00:06:20.140 --> 00:06:22.140]  只記載了他最重要的一個身份
[00:06:22.140 --> 00:06:24.140]  財主
[00:06:24.140 --> 00:06:26.140]  如果我們看馬太福音和
[00:06:26.140 --> 00:06:28.140]  路加福音呢
[00:06:28.140 --> 00:06:30.140]  還把他的其他的背景呢
[00:06:30.140 --> 00:06:32.140]  勾勒得更加的完整一些
[00:06:32.140 --> 00:06:34.140]  他除了非常有錢以外呢
[00:06:34.140 --> 00:06:36.140]  我們看其他福音
[00:06:36.140 --> 00:06:38.140]  馬太福音還讓我們知道啊
[00:06:38.140 --> 00:06:40.140]  馬太福音讓我們知道
[00:06:40.140 --> 00:06:42.140]  他還是一個年輕的財主
[00:06:42.140 --> 00:06:44.140]  當我們在看路加福音的時候呢
[00:06:44.140 --> 00:06:46.140]  他不單是有錢啊
[00:06:46.140 --> 00:06:48.140]  還告訴我們
[00:06:48.140 --> 00:06:50.140]  他還是一個官
[00:06:50.140 --> 00:06:52.140]  他還有權
[00:06:52.140 --> 00:06:54.140]  不得了了啊
[00:06:54.140 --> 00:06:56.140]  這個人就來求問耶穌了
[00:06:56.140 --> 00:06:58.140]  那麼這個時候呢
[00:06:58.140 --> 00:07:00.140]  耶穌就很了解
[00:07:00.140 --> 00:07:02.140]  這位求問者
[00:07:02.140 --> 00:07:04.140]  不單是知道他做了什麼
[00:07:04.140 --> 00:07:06.140]  更加知道這位求問者
[00:07:06.140 --> 00:07:08.140]  他的誤區
[00:07:08.140 --> 00:07:10.140]  他的困局
[00:07:10.140 --> 00:07:12.140]  更加知道他還有什麼東西
[00:07:12.140 --> 00:07:14.140]  沒有做
[00:07:14.140 --> 00:07:16.140]  困在了他的局限裡面呢
[00:07:16.140 --> 00:07:18.140]  他就說了
[00:07:18.140 --> 00:07:20.140]  誡命你是小德的
[00:07:20.140 --> 00:07:22.140]  列舉了一系列的誡命
[00:07:22.140 --> 00:07:24.140]  不可殺人啊
[00:07:24.140 --> 00:07:26.140]  不可姦淫啊
[00:07:26.140 --> 00:07:28.140]  等等等等的誡命
