
[00:00:00.000 --> 00:00:05.880]  今天繼續看《啟示錄》第十七章
[00:00:05.880 --> 00:00:12.040]  其實我們已經看了印七號七碗
[00:00:12.040 --> 00:00:14.680]  到這個段落的時候
[00:00:14.680 --> 00:00:18.720]  我們會進入一個十八節的內容
[00:00:18.720 --> 00:00:23.720]  我們看的時候不如先做一個祈禱
[00:00:28.200 --> 00:00:30.200]  創天造地的真神
[00:00:30.200 --> 00:00:32.640]  為我們寫命的耶穌基督
[00:00:32.640 --> 00:00:35.440]  還有引導我們明白真理
[00:00:35.440 --> 00:00:38.280]  為我們禱告的聖靈
[00:00:38.280 --> 00:00:39.720]  我們很感謝祢
[00:00:39.720 --> 00:00:43.280]  因為神祢將祢的話語留下
[00:00:43.280 --> 00:00:45.920]  以致祢的話語一解開
[00:00:45.920 --> 00:00:47.640]  就能夠有亮光
[00:00:47.640 --> 00:00:49.480]  叫我們知所跟隨
[00:00:49.480 --> 00:00:50.600]  所以求聖靈
[00:00:50.600 --> 00:00:53.320]  祢在會堂運行
[00:00:53.320 --> 00:00:54.360]  幫助我們
[00:00:54.360 --> 00:00:56.680]  除去各樣的思慮煩憂
[00:00:56.680 --> 00:01:00.160]  以致當我們進入啟示錄第十七章的時候
[00:01:00.160 --> 00:01:02.200]  我們明白祢的心意
[00:01:02.200 --> 00:01:05.880]  並且學著怎樣應用在生活裏
[00:01:05.880 --> 00:01:09.200]  願祢這樣來賜福帶領我們
[00:01:09.200 --> 00:01:10.200]  同心祈禱
[00:01:10.200 --> 00:01:11.400]  奉主明求
[00:01:11.400 --> 00:01:12.720]  阿門
[00:01:12.720 --> 00:01:16.520]  這個經文其實不算很多
[00:01:16.520 --> 00:01:17.640]  只有十八節
[00:01:17.640 --> 00:01:20.680]  所以我們會先用一些時間
[00:01:20.680 --> 00:01:24.200]  看看究竟它裏面說什麼
[00:01:24.200 --> 00:01:29.000]  在整個十七章裏面
[00:01:29.000 --> 00:01:31.320]  有兩個很大的圖像
[00:01:31.320 --> 00:01:34.880]  就是大淫婦和瘦
[00:01:34.880 --> 00:01:36.880]  你可能看到的時候
[00:01:36.880 --> 00:01:39.400]  整個十八節
[00:01:39.400 --> 00:01:43.160]  只說這兩個主角
[00:01:43.160 --> 00:01:46.440]  為什麼會用這麼多篇幅來說呢?
[00:01:46.440 --> 00:01:48.720]  我們待會在講解的過程中
[00:01:48.720 --> 00:01:50.320]  就會了解多一點
[00:01:50.840 --> 00:01:54.560]  我將這個題目定為
[00:01:54.560 --> 00:01:55.800]  世上榮華
[00:01:55.800 --> 00:01:57.320]  天上審判
[00:01:57.320 --> 00:01:59.520]  因為我們的主耶穌
[00:01:59.520 --> 00:02:02.040]  在出來服事的時候
[00:02:02.040 --> 00:02:05.080]  祂也受過試探
[00:02:05.080 --> 00:02:08.400]  撒旦將榮華擠在祂的面前
[00:02:08.400 --> 00:02:10.400]  要祂來拜祂
[00:02:10.400 --> 00:02:12.280]  那麼耶穌怎麼說呢?
[00:02:12.280 --> 00:02:14.400]  當拜主
[00:02:14.400 --> 00:02:15.720]  獨一的神
[00:02:15.720 --> 00:02:18.200]  所以我們也要看看
[00:02:18.200 --> 00:02:20.640]  究竟今日世間的榮華
[00:02:20.640 --> 00:02:22.160]  對我們來說
[00:02:22.160 --> 00:02:24.160]  會不會都是一種考驗
[00:02:24.160 --> 00:02:27.400]  甚至是一些陷阱呢?
[00:02:27.400 --> 00:02:31.080]  整個講道的焦點
[00:02:31.080 --> 00:02:33.440]  會解明給我們聽
[00:02:33.440 --> 00:02:35.440]  究竟世局如何
[00:02:35.440 --> 00:02:37.960]  所以了解了
[00:02:37.960 --> 00:02:39.000]  世上榮華
[00:02:39.000 --> 00:02:40.520]  天上審判之後
[00:02:40.520 --> 00:02:43.120]  我們就要謹慎選擇
[00:02:43.120 --> 00:02:48.080]  好,我們一起來進入今天的內容
[00:02:48.080 --> 00:02:55.160]  啟示錄頭幾節
[00:02:55.160 --> 00:02:58.160]  特別是七章一到三節
[00:02:58.160 --> 00:03:00.240]  其實就是描述
[00:03:00.240 --> 00:03:04.640]  究竟這個異象是怎樣產生的
[00:03:04.640 --> 00:03:08.120]  我們看看經文
[00:03:08.120 --> 00:03:13.200]  經文一開始就說到
[00:03:13.200 --> 00:03:16.080]  那著七碗的七位天使中
[00:03:16.080 --> 00:03:18.400]  有一位前來對我說
[00:03:18.400 --> 00:03:20.080]  你到這裡來
[00:03:20.080 --> 00:03:23.440]  我將坐在縱水上的大淫婦
[00:03:23.440 --> 00:03:25.240]  所要受的刑罰
[00:03:25.240 --> 00:03:26.960]  只給你看
