
[00:00:00.000 --> 00:00:02.520]  明天不知道會如何
[00:00:02.520 --> 00:00:05.320]  令人失去方向感
[00:00:05.320 --> 00:00:08.260]  不知道再怎麼計劃
[00:00:08.260 --> 00:00:16.200]  恐懼、焦慮、憤怒、不滿、投訴
[00:00:16.200 --> 00:00:20.920]  似乎好像每天都要面對這些心理形慮
[00:00:20.920 --> 00:00:23.600]  被困家中
[00:00:23.600 --> 00:00:27.200]  人與人之間要保持距離
[00:00:27.200 --> 00:00:29.700]  家人見得太多
[00:00:29.700 --> 00:00:31.840]  朋友見得太少
[00:00:31.840 --> 00:00:33.960]  關係的張力
[00:00:33.960 --> 00:00:37.560]  有時令人感覺活在黑暗之中
[00:00:37.560 --> 00:00:41.080]  心裡可能不禁會問
[00:00:41.080 --> 00:00:44.080]  黑暗的盡頭在哪裡呢?
[00:00:44.080 --> 00:00:46.920]  黑暗何時會完結?
[00:00:46.920 --> 00:00:52.120]  史陀保羅因為全福音的緣故
[00:00:52.120 --> 00:00:56.040]  有一段很長的時間被囚在監獄之中
[00:00:56.520 --> 00:00:59.800]  環境上是無盡的黑暗
[00:00:59.800 --> 00:01:05.960]  但是保羅的生命卻是散發著極大的光芒
[00:01:05.960 --> 00:01:10.440]  在面對在上位者的審問
[00:01:10.440 --> 00:01:15.720]  包括當時的羅馬檢察官菲斯道
[00:01:15.720 --> 00:01:19.440]  他是猶大總督菲利斯的接班人
[00:01:19.440 --> 00:01:22.040]  甚至是阿基柏王
[00:01:22.040 --> 00:01:24.760]  這兩位在上位者的審問
[00:01:25.760 --> 00:01:28.160]  保羅無畏無懼
[00:01:28.160 --> 00:01:30.760]  他不僅為自己辯護
[00:01:30.760 --> 00:01:35.560]  更加乘機將自己的得救見證要講一次
[00:01:35.560 --> 00:01:40.560]  他勸阿基柏王和其他在場聽見的人
[00:01:40.560 --> 00:01:43.080]  都希望他們信耶穌
[00:01:43.080 --> 00:01:45.360]  呼籲他們信耶穌
[00:01:45.360 --> 00:01:51.080]  保羅在黑暗之中仍然甘有盼望
[00:01:51.080 --> 00:01:53.680]  他這份力量的秘訣是什麼呢?
[00:01:55.120 --> 00:01:56.920]  是神的光
[00:01:56.920 --> 00:02:01.120]  是神的光照亮了保羅的人生
[00:02:01.120 --> 00:02:05.920]  是神的光徹底轉化了保羅的生命
[00:02:05.920 --> 00:02:07.920]  是神的光
[00:02:07.920 --> 00:02:11.720]  他叫保羅在黑暗的監獄之中
[00:02:11.720 --> 00:02:13.520]  仍然滿有盼望
[00:02:13.520 --> 00:02:15.120]  滿有力量
[00:02:15.120 --> 00:02:17.720]  今天
[00:02:17.720 --> 00:02:21.320]  神的光仍然照亮大地
[00:02:21.320 --> 00:02:24.720]  神的光可以轉化你的生命
[00:02:24.920 --> 00:02:28.720]  正如主徹底轉化了保羅的生命
[00:02:28.720 --> 00:02:35.320]  神的光能夠叫你在黑暗的世代之中
[00:02:35.320 --> 00:02:37.720]  滿有盼望 滿有力量
[00:02:37.720 --> 00:02:40.520]  讓我們一起來祈禱
[00:02:40.520 --> 00:02:45.120]  主耶穌
[00:02:45.120 --> 00:02:47.320]  祢是世界的真光
[00:02:47.320 --> 00:02:49.520]  祈求祢的光
[00:02:49.520 --> 00:02:53.320]  今天就照進我們每一個生命裏面
[00:02:54.520 --> 00:02:57.320]  耶穌 求祢打開我們的眼睛
[00:02:57.320 --> 00:03:00.120]  打開我們心裏面屬靈的眼睛
[00:03:00.120 --> 00:03:02.120]  我們要看見祢
[00:03:02.120 --> 00:03:04.120]  看見祢的光
[00:03:04.120 --> 00:03:08.120]  又求祢打開我們的耳朵
[00:03:08.120 --> 00:03:13.320]  我們要聽見神祢自己呼喚的聲音
[00:03:13.320 --> 00:03:16.320]  又求祢打開我們眾人的心
[00:03:16.320 --> 00:03:18.520]  我們都要回轉
[00:03:18.520 --> 00:03:21.320]  歸向三為一體的真神
[00:03:21.320 --> 00:03:23.920]  真理的聖靈
[00:03:24.720 --> 00:03:27.520]  求祢引導我們進入真理
