
[00:00:00.000 --> 00:00:01.240]  各位頂字妹平安
[00:00:01.240 --> 00:00:05.400]  今天我們繼續門訓系列的啟事錄講道
[00:00:05.400 --> 00:00:08.160]  今天的講道段落比較短的經文
[00:00:08.160 --> 00:00:12.560]  大約只有15到19節 大約五節的經文
[00:00:12.560 --> 00:00:14.520]  雖然只有五節
[00:00:14.520 --> 00:00:20.160]  但這五節同樣是扮演著一個丞相啟下的作用
[00:00:20.160 --> 00:00:24.080]  十一章一開始的部分 一至十四節
[00:00:24.080 --> 00:00:27.840]  就是兩個見證人和地上的人對抗
[00:00:27.840 --> 00:00:32.320]  上次我們在門訓系列也有讀過這段經文
[00:00:32.320 --> 00:00:34.720]  今天我們讀的這一段
[00:00:34.720 --> 00:00:38.760]  暫時焦點從地面轉移到天上
[00:00:38.760 --> 00:00:40.440]  即是又回到天上
[00:00:40.440 --> 00:00:44.720]  所以整個細段落都是一個插曲
[00:00:44.720 --> 00:00:46.920]  但其實不止一個插曲
[00:00:46.920 --> 00:00:51.240]  如果我們將啟事錄十一到十四章
[00:00:51.240 --> 00:00:53.800]  視為一個真正的段落
[00:00:53.800 --> 00:00:56.760]  即是我們今天讀的是七號的結尾
[00:00:57.760 --> 00:01:00.160]  但七碗是到十五章才出現的
[00:01:00.160 --> 00:01:05.560]  所以十一到十四章其實是一個真正的大段落
[00:01:05.560 --> 00:01:09.080]  但在大段落裏面有兩個小插曲
[00:01:09.080 --> 00:01:11.720]  今天我們看第一個小插曲
[00:01:11.720 --> 00:01:13.600]  是一個第七號
[00:01:13.600 --> 00:01:15.520]  這裡說了是一個讚美
[00:01:15.520 --> 00:01:20.280]  所以我們會發現第七號雖然有提到審判
[00:01:20.280 --> 00:01:24.360]  但它並不是去說審判的細節
[00:01:25.840 --> 00:01:28.800]  你會問另一個小插曲在哪裏呢
[00:01:28.800 --> 00:01:31.480]  就在十四章一到五節
[00:01:31.480 --> 00:01:34.320]  十二到十三章中間
[00:01:34.320 --> 00:01:37.160]  就是我們下幾個星期會看的段落
[00:01:37.160 --> 00:01:43.440]  包括大紅龍和從地上來的獸
[00:01:43.440 --> 00:01:46.680]  很多人都想知道它代表甚麼
[00:01:46.680 --> 00:01:49.240]  亦是一個很激烈的對抗
[00:01:49.240 --> 00:01:53.160]  雖然對抗是會激烈
[00:01:53.160 --> 00:01:59.560]  但這兩個小插曲其實都是和讚美有關
[00:01:59.560 --> 00:02:02.520]  我們看了十一章的讚美
[00:02:02.520 --> 00:02:05.960]  和十四章一到五節都是一個讚美
[00:02:05.960 --> 00:02:13.000]  約翰為何要這樣用插曲去穿插在真正的中間呢
[00:02:13.000 --> 00:02:16.080]  甚至你會看到大約是頭和尾
[00:02:16.080 --> 00:02:21.760]  剛才說十五章已經是七碗最嚴厲的審判
[00:02:22.760 --> 00:02:26.760]  大概讚美是因為幫助我們去明白
[00:02:26.760 --> 00:02:31.760]  啟示錄的重點從來不是地上的勢力
[00:02:31.760 --> 00:02:33.760]  甚至對抗有多可怕
[00:02:33.760 --> 00:02:34.760]  是真實的
[00:02:34.760 --> 00:02:36.760]  我們一會兒會看真實的
[00:02:36.760 --> 00:02:39.760]  但這不是一套恐怖片
[00:02:39.760 --> 00:02:42.760]  這是一套如果用今天的電視標準來說
[00:02:42.760 --> 00:02:44.760]  是不好看的劇
[00:02:44.760 --> 00:02:45.760]  因為你早就知道結局
[00:02:45.760 --> 00:02:47.760]  所以不好看的
[00:02:48.760 --> 00:02:51.760]  雖然我們在真戰中是要等待一段時間
[00:02:51.760 --> 00:02:53.760]  甚至我們要忍耐
[00:02:53.760 --> 00:02:56.760]  但我們的焦點
[00:02:56.760 --> 00:02:57.760]  其實這插曲已經透露
[00:02:57.760 --> 00:03:02.760]  我們的焦點是天上已經去成就
[00:03:02.760 --> 00:03:06.760]  並且將要一定發生的事情
[00:03:06.760 --> 00:03:09.760]  所以是讚美
[00:03:09.760 --> 00:03:13.760]  神他已經和我們一同的真戰
[00:03:13.760 --> 00:03:15.760]  所以無論對當時的讀者
[00:03:15.760 --> 00:03:17.760]  或是我們今天
[00:03:17.760 --> 00:03:19.760]  這也是一個很重要的提醒
[00:03:19.760 --> 00:03:23.760]  當然如果我們集中看今天
[00:03:23.760 --> 00:03:25.760]  11章15到19節
[00:03:25.760 --> 00:03:27.760]  如果我們用對話
[00:03:27.760 --> 00:03:29.760]  即是誰說話去到分段
[00:03:29.760 --> 00:03:32.760]  11章15節是可以自成一個段落
[00:03:32.760 --> 00:03:35.760]  因為是天使的說話
[00:03:35.760 --> 00:03:39.760]  而整個16到18節都是24位長老
[00:03:39.760 --> 00:03:43.760]  即是在寶座前面長老的回應
[00:03:43.760 --> 00:03:45.760]  所以如果像唱歌一樣
[00:03:45.760 --> 00:03:47.760]  就好像15章是天使唱歌
