
[00:00:00.000 --> 00:00:02.000]  等姐妹玩
[00:00:02.000 --> 00:00:08.000]  今天我們會繼續來看彼得後書
[00:00:08.000 --> 00:00:15.000]  上星期李文耀博士和我們分享
[00:00:15.000 --> 00:00:23.000]  關於那班假先知的生命特徵和缺口
[00:00:23.000 --> 00:00:25.000]  是我們不應該效法的
[00:00:25.000 --> 00:00:31.000]  他們那種離經背道和什麼都不怕
[00:00:31.000 --> 00:00:34.000]  神的審判他們都不怕
[00:00:34.000 --> 00:00:37.000]  他們互作妄為
[00:00:37.000 --> 00:00:41.000]  他們要自設自己的界線
[00:00:41.000 --> 00:00:45.000]  今天我們來看彼得後書第三章的時候
[00:00:45.000 --> 00:00:53.000]  讓我們先看到彼得很鄭重提醒這班頂姐妹
[00:00:53.000 --> 00:00:57.000]  他們必須不要忘記
[00:00:57.000 --> 00:01:03.000]  要記得先知使徒和主耶穌
[00:01:03.000 --> 00:01:05.000]  和我們所說的命令
[00:01:05.000 --> 00:01:10.000]  首先在第一段的頭兩節
[00:01:10.000 --> 00:01:13.000]  我們很清楚地看到
[00:01:13.000 --> 00:01:17.000]  我們再寫一個禱告
[00:01:17.000 --> 00:01:18.000]  然後我們來看
[00:01:18.000 --> 00:01:19.000]  神的說
[00:01:19.000 --> 00:01:22.000]  主啊,願祢的靈充滿祢自己的子民
[00:01:22.000 --> 00:01:25.000]  願祢的靈也充滿
[00:01:25.000 --> 00:01:28.000]  傳講祢說話,祢自己的僕人
[00:01:28.000 --> 00:01:31.000]  讓我們眾人都心被恩感
[00:01:31.000 --> 00:01:38.000]  被祢自己的聖言再一次激勵和提醒
[00:01:38.000 --> 00:01:42.000]  激發我們在這個末後的世代
[00:01:42.000 --> 00:01:44.000]  讓我們睜大眼
[00:01:44.000 --> 00:01:47.000]  我們的心能夠貼近主
[00:01:47.000 --> 00:01:49.000]  很清楚祢的心意
[00:01:49.000 --> 00:01:53.000]  讓我們不會在這個混亂的世代迷失自己
[00:01:53.000 --> 00:01:55.000]  更加我們願意的就是
[00:01:55.000 --> 00:01:58.000]  我們何等的學務
[00:01:58.000 --> 00:02:00.000]  主祢要快來
[00:02:00.000 --> 00:02:03.000]  主我們願意在這個時代
