
[00:00:00.000 --> 00:00:10.000]  感謝讚美神讓我們又能夠在一起來聆聽神的話語
[00:00:10.000 --> 00:00:14.000]  我們進入了馬可福音講道系列的第28講
[00:00:14.000 --> 00:00:19.000]  今天要講的是耶穌教導有關人生的輕與重
[00:00:19.000 --> 00:00:22.000]  讓我們一起同心禱告
[00:00:22.000 --> 00:00:24.000]  主耶穌我們來到你跟前
[00:00:24.000 --> 00:00:26.000]  我們祈求你與我們同在
[00:00:26.000 --> 00:00:28.000]  讓我們繼續的從你的話語
[00:00:28.000 --> 00:00:30.000]  被你來建立我們的生命
[00:00:30.000 --> 00:00:31.000]  我們求你帶領我們
[00:00:31.000 --> 00:00:34.000]  祝福我們禱告奉主耶穌的名祈求
[00:00:34.000 --> 00:00:35.000]  Amen
[00:00:35.000 --> 00:00:37.000]  親愛的弟兄姐妹
[00:00:37.000 --> 00:00:42.000]  上一次我們講到耶穌教導信心的屬靈功課
[00:00:42.000 --> 00:00:45.000]  在馬可福音的第9章14到24節
[00:00:45.000 --> 00:00:47.000]  32節對不起
[00:00:47.000 --> 00:00:49.000]  那麼我們就簡單的回顧一下
[00:00:49.000 --> 00:00:52.000]  當時候我們所學習的功課
[00:00:52.000 --> 00:00:54.000]  那時候我們學習到第一
[00:00:54.000 --> 00:00:58.000]  先入為主的不信只會找到理由來辯論
[00:00:58.000 --> 00:01:00.000]  就像那些文士一樣
[00:01:00.000 --> 00:01:04.000]  只會找一些理由不斷的去想要說服人家
[00:01:04.000 --> 00:01:06.000]  這個上帝不存在
[00:01:06.000 --> 00:01:08.000]  或者耶穌不是上帝
[00:01:08.000 --> 00:01:11.000]  第二就是若不專心的信靠主
[00:01:11.000 --> 00:01:14.000]  就沒有辦法經歷神的大能
[00:01:14.000 --> 00:01:18.000]  第三就是主非常看重我們對他的信心的成長
[00:01:18.000 --> 00:01:21.000]  第四就是信心不足不是問題
[00:01:21.000 --> 00:01:22.000]  關鍵是什麼呢
[00:01:22.000 --> 00:01:24.000]  是在於信靠主
[00:01:24.000 --> 00:01:26.000]  就好像那孩子的父親一樣
[00:01:26.000 --> 00:01:28.000]  說主啊我信
[00:01:28.000 --> 00:01:31.000]  但是我信不足求主幫助
[00:01:31.000 --> 00:01:34.000]  那麼第五就是對主有信心的人
[00:01:34.000 --> 00:01:36.000]  必會見證主的大能
[00:01:36.000 --> 00:01:40.000]  第六就是信心是需要藉著禱告來建立
[00:01:40.000 --> 00:01:42.000]  最後我們也一起看到
[00:01:42.000 --> 00:01:46.000]  對主的有信心甚至超越了死亡的束縛
[00:01:46.000 --> 00:01:47.000]  弟兄姐妹
[00:01:47.000 --> 00:01:49.000]  胖胖主繼續用他的話語呢
[00:01:49.000 --> 00:01:51.000]  來祝福你的生命
[00:01:51.000 --> 00:01:53.000]  來建立你的人生
[00:01:53.000 --> 00:01:55.000]  那麼今天我們剛才說了
