
[00:00:00.000 --> 00:00:02.000]  (主持人: 大家早安)
[00:00:02.000 --> 00:00:06.000]  (主持人: 我們繼續看傳道書的訊息)
[00:00:06.000 --> 00:00:12.000]  (主持人: 傳道書在第一章一到十一節是整本書的引現)
[00:00:12.000 --> 00:00:17.000]  (主持人: 至於人生的短暫 而且受到很多限制)
[00:00:17.000 --> 00:00:20.000]  (主持人: 然後傳道書一章十二到六章九節)
[00:00:20.000 --> 00:00:24.000]  (主持人: 似乎是傳道者對人生作出思考的第一個回合)
[00:00:24.000 --> 00:00:27.000]  (主持人: 即是他想要去想一想)
[00:00:27.000 --> 00:00:30.000]  (主持人: 作出思考的第一個回合)
[00:00:30.000 --> 00:00:32.000]  (主持人: 即是他一連串的思考)
[00:00:32.000 --> 00:00:37.000]  (主持人: 而重點是指出在日光之下沒有任何東西可以被永遠抓住)
[00:00:37.000 --> 00:00:39.000]  (主持人: 如果我記得那段經文)
[00:00:39.000 --> 00:00:43.000]  (主持人: 一直看的時候 講到我們人生的成就成果抓不住)
[00:00:43.000 --> 00:00:45.000]  (主持人: 又或者很多東西我們都掌握不到)
[00:00:45.000 --> 00:00:47.000]  (主持人: 我們在哪裡出生 什麼時候出生)
[00:00:47.000 --> 00:00:49.000]  (主持人: 在一個什麼家庭裡面 我們的背景)
[00:00:49.000 --> 00:00:53.000]  (主持人: 我們在世上的遭遇 我們同樣都掌握不到)
[00:00:53.000 --> 00:00:56.000]  (主持人: 我記得我預備這段經文想到這裡的時候)
[00:00:56.000 --> 00:00:58.000]  (主持人: 我突然間就想)
[00:00:58.000 --> 00:01:01.000]  (主持人: 成果 成就 背景 遭遇)
[00:01:01.000 --> 00:01:04.000]  (主持人: 這些是人生裡面一些很大的事情)
[00:01:04.000 --> 00:01:06.000]  (主持人: 我們掌握不到)
[00:01:06.000 --> 00:01:08.000]  (主持人: 不過說真的 想想)
[00:01:08.000 --> 00:01:12.000]  (主持人: 你身邊的配偶 喜怒哀樂 你都掌握不到)
[00:01:12.000 --> 00:01:14.000]  (主持人: 是不是)
