
[00:00:00.000 --> 00:00:02.160]   (silence)
[00:00:02.160 --> 00:00:07.580]   - Jesus, you are the one that we live for.
[00:00:07.580 --> 00:00:14.260]   This month, we remember the day that you invaded earth,
[00:00:14.260 --> 00:00:18.720]   and then you ended up defeating death.
[00:00:18.720 --> 00:00:19.980]   And we're also looking forward
[00:00:19.980 --> 00:00:22.180]   to the day that you come again.
[00:00:22.180 --> 00:00:23.360]   But so during this month,
[00:00:23.360 --> 00:00:26.740]   we pray that as we enjoy the Christmas festivities,
[00:00:26.740 --> 00:00:30.260]   the gifts that come, Lord, that our eyes
[00:00:30.260 --> 00:00:32.980]   will never be taken away from you.
[00:00:32.980 --> 00:00:35.020]   And Lord, that we will use this season
[00:00:35.020 --> 00:00:36.740]   to really draw closer to who you are,
[00:00:36.740 --> 00:00:39.160]   to have a better understanding of you.
[00:00:39.160 --> 00:00:42.020]   Lord, this book, this Bible tells us so much about you,
[00:00:42.020 --> 00:00:44.900]   but we pray that it will stay in our heads
[00:00:44.900 --> 00:00:46.120]   and drop into our hearts, Lord,
[00:00:46.120 --> 00:00:50.820]   as we explore why this season,
[00:00:50.820 --> 00:00:52.500]   what is the reason for this season,
[00:00:52.500 --> 00:00:54.220]   and why are you the reason?
[00:00:54.220 --> 00:00:56.460]   So we pray that your spirit will be with us,
[00:00:56.460 --> 00:00:57.780]   even in the Zoom arena, Lord,
[00:00:57.780 --> 00:01:00.100]   may you speak into our hearts here.
[00:01:00.100 --> 00:01:02.500]   In Jesus, in your name we pray, amen.
[00:01:02.500 --> 00:01:06.140]   So the book of Isaiah is where we're jumping to.
[00:01:06.140 --> 00:01:09.060]   Isaiah chapter nine, if you'd like to turn to it,
[00:01:09.060 --> 00:01:11.620]   but we're actually gonna, this is in some ways,
[00:01:11.620 --> 00:01:13.460]   I guess you could say topical,
[00:01:13.460 --> 00:01:16.500]   in that we're only gonna be focusing on one name today,
[00:01:16.500 --> 00:01:17.940]   which is wonderful counselor.
[00:01:17.940 --> 00:01:20.780]   And so that's from Isaiah chapter nine, verse six.
[00:01:20.780 --> 00:01:22.800]   And I wanted to read it to you first,
