
[00:00:00.000 --> 00:00:02.440]  好,靚姐妹早晨
[00:00:02.440 --> 00:00:05.400]  很美麗一幅圖畫
[00:00:05.400 --> 00:00:08.400]  兩夫婦牽著上來一起獻詩
[00:00:08.400 --> 00:00:10.240]  很美麗一幅圖畫,感謝主
[00:00:10.240 --> 00:00:15.840]  何時可以牽著我太太、師母上來港道分享呢?
[00:00:15.840 --> 00:00:20.080]  今天繼續講彼得候書
[00:00:20.080 --> 00:00:22.480]  上星期,如果大家有印象
[00:00:22.480 --> 00:00:24.640]  講到有一班假的教師
[00:00:24.640 --> 00:00:29.160]  他們不知如何混入了修信人的內部
[00:00:29.160 --> 00:00:33.360]  偷偷引進使人滅亡的異端
[00:00:33.360 --> 00:00:37.600]  以至彼得要用整整一章經文回應
[00:00:37.600 --> 00:00:40.240]  責備他們
[00:00:40.240 --> 00:00:44.800]  當我們聽到一些錯誤的信息
[00:00:44.800 --> 00:00:48.800]  會使人滅亡的異端時
[00:00:48.800 --> 00:00:51.760]  教會要有勇氣回應
[00:00:51.760 --> 00:00:57.560]  否則會滲透到整間教會
[00:00:57.560 --> 00:01:01.200]  彼得用了一章經文回應他們
[00:01:01.200 --> 00:01:02.800]  上星期我們開了頭
[00:01:02.800 --> 00:01:06.160]  今天繼續看下去
[00:01:06.160 --> 00:01:10.080]  靚姐妹教會有假的教師、假的教導
[00:01:10.080 --> 00:01:13.080]  其實並不是一件很新奇的事
[00:01:13.080 --> 00:01:16.040]  由門徒奉主差遣出去傳福音時
[00:01:16.040 --> 00:01:21.560]  已經有很多假的教師、假的教導跟著他們
[00:01:21.560 --> 00:01:26.120]  例如有些人說信耶穌一定要受割禮
[00:01:26.120 --> 00:01:29.400]  如果不按照摩西的規矩受割禮
[00:01:29.400 --> 00:01:31.280]  他們就不得救
[00:01:31.280 --> 00:01:33.000]  有些人說信了耶穌之後
[00:01:33.000 --> 00:01:34.480]  怎樣生活都可以
