
[00:00:00.000 --> 00:00:05.200]  大家好 今天繼續看啟示錄
[00:00:05.200 --> 00:00:08.200]  我們看到第十九章一到十節
[00:00:08.200 --> 00:00:12.920]  這段經文夾在十八章和二十章的中間
[00:00:12.920 --> 00:00:16.320]  它發揮成先啟後的作用
[00:00:16.320 --> 00:00:19.520]  十八章說什麼呢 大家還有沒有印象
[00:00:19.520 --> 00:00:22.240]  十八章說到大巴比倫的傾覆
[00:00:22.240 --> 00:00:27.360]  當中提到有三組人為了他的傾覆
[00:00:27.360 --> 00:00:33.360]  遠遠站著哭泣哀號
[00:00:33.360 --> 00:00:35.240]  這三組人分別是
[00:00:35.240 --> 00:00:38.120]  地上的君王十八章第九節
[00:00:38.120 --> 00:00:42.120]  第二組人是地上的商人十八章十一節
[00:00:42.120 --> 00:00:46.920]  第三組人是船長航海旅客水手
[00:00:46.920 --> 00:00:50.760]  和靠海為業的人十八章十七節
[00:00:50.760 --> 00:00:53.760]  說到有三組人為了巴比倫的傾覆
[00:00:53.760 --> 00:00:57.760]  他們遠遠站著哭泣哀號
[00:00:57.760 --> 00:00:59.000]  接著到第十九章
[00:00:59.000 --> 00:01:00.280]  今天我們看這段經文
[00:01:00.280 --> 00:01:01.960]  又提到有三組人
[00:01:01.960 --> 00:01:05.160]  這三組人不是哭泣哀號
[00:01:05.160 --> 00:01:09.440]  他們是在寶座前面高唱Hallelujah
[00:01:09.440 --> 00:01:12.040]  形成一個鮮明的對比
[00:01:12.040 --> 00:01:16.240]  這三組人分別是天上的一大群人第一節
[00:01:16.240 --> 00:01:21.360]  此後我聽見好像有一大群人在天上大聲說Hallelujah
[00:01:21.360 --> 00:01:26.000]  第二組人是二十四位長老和四活脈第四節
[00:01:26.000 --> 00:01:28.360]  二十四位長老和四活脈
[00:01:28.360 --> 00:01:32.560]  就俯伏敬拜坐在寶座上的上帝說Amen
[00:01:32.560 --> 00:01:33.960]  Hallelujah
[00:01:33.960 --> 00:01:35.880]  最後一組第三組
[00:01:35.880 --> 00:01:39.720]  就是地上屬乎上帝的眾僕人第五節
[00:01:39.720 --> 00:01:42.240]  接著有聲音從寶座出來
[00:01:42.240 --> 00:01:45.160]  上帝的僕人凡敬畏懼的
