
[00:00:00.000 --> 00:00:04.000]  地上準備平安?
[00:00:04.000 --> 00:00:09.000]  好幾個月了,沒來跟大家一起來崇拜。
[00:00:09.000 --> 00:00:15.000]  我心裡面有個感動,就是希望用三次我們崇拜的時間,
[00:00:15.000 --> 00:00:19.000]  跟大家一起來思想提摩太后書裡面的,
[00:00:19.000 --> 00:00:22.000]  我覺得非常非常重要的信息。
[00:00:22.000 --> 00:00:26.000]  那麼為什麼選提摩太后書呢?
[00:00:26.000 --> 00:00:30.000]  對於深經的比較理解認識的人來說,
[00:00:30.000 --> 00:00:33.000]  提摩太后書是很重要的一卷書,
[00:00:33.000 --> 00:00:36.000]  雖然很短,只有四個章,
[00:00:36.000 --> 00:00:40.000]  但是這個書可以說是保羅,
[00:00:40.000 --> 00:00:43.000]  這個偉大的使徒保羅的遺書。
[00:00:43.000 --> 00:00:46.000]  因為我們從歷史都知道了,
[00:00:46.000 --> 00:00:52.000]  保羅在監祿裡面寫完了這個書以後,
[00:00:52.000 --> 00:00:56.000]  寫給提摩太后書信以後,幾個月就殺頭了。
[00:00:56.000 --> 00:01:00.000]  他自己寫的時候也知道,以後我們再看的時候,
[00:01:00.000 --> 00:01:03.000]  你會留意,他自己也知道死亡要來了,
[00:01:03.000 --> 00:01:07.000]  因為他也知道自己的生命也不長。
[00:01:07.000 --> 00:01:12.000]  所以一個人這樣的情況底下,他有什麼可以講的呢?
[00:01:12.000 --> 00:01:17.000]  我當然選這個書要重新再看的時候,
[00:01:17.000 --> 00:01:21.000]  也有個人的原因,也有時代的原因。
[00:01:21.000 --> 00:01:25.000]  個人的原因,我覺得我70多了,還差不多了。
[00:01:25.000 --> 00:01:29.000]  你看看人家離世的時候要講什麼,
[00:01:29.000 --> 00:01:32.000]  我看的時候,真的很多共鳴,
[00:01:32.000 --> 00:01:36.000]  可能年紀大的時候,共鳴感特別強。
[00:01:36.000 --> 00:01:39.000]  以後再跟大家分享。
[00:01:39.000 --> 00:01:41.000]  另外就是時代的原因,
[00:01:41.000 --> 00:01:44.000]  我們知道提摩太后書寫的時候,
[00:01:44.000 --> 00:01:47.000]  是寫給比較年輕的,
[00:01:47.000 --> 00:01:51.000]  我們從背景也知道,她比較軟弱一點的,
[00:01:51.000 --> 00:01:56.000]  性格各方面都比較軟弱的提摩太。
