
[00:00:00.000 --> 00:00:03.460]  感謝神 今天我們要一起思想的題目叫做
[00:00:03.460 --> 00:00:05.300]  榜樣的力量
[00:00:05.300 --> 00:00:06.980]  那經文呢
[00:00:06.980 --> 00:00:10.000]  在鐵撒羅尼加後書啊
[00:00:10.000 --> 00:00:13.360]  也來到這卷教會經課
[00:00:13.360 --> 00:00:16.700]  書信的最後一個段落了
[00:00:16.700 --> 00:00:20.020]  三章的六到十八節
[00:00:20.020 --> 00:00:23.140]  這卷的這個教會書信就結束了
[00:00:23.140 --> 00:00:24.980]  所以你最後看到啊
[00:00:24.980 --> 00:00:27.620]  保羅有他切切的囑託
[00:00:27.620 --> 00:00:29.740]  也有他很誠摯的
[00:00:30.160 --> 00:00:32.200]  靠著耶穌基督的名
[00:00:32.200 --> 00:00:35.420]  對鐵撒羅尼加弟兄姐妹的問安
[00:00:35.420 --> 00:00:39.840]  那麼當我們在思想榜樣的力量的時候呢
[00:00:39.840 --> 00:00:43.640]  就 如果大家在
[00:00:43.640 --> 00:00:47.520]  傳統的中國家庭長大都不會陌生啊
[00:00:47.520 --> 00:00:50.320]  基本上都會有這樣的經歷
[00:00:50.320 --> 00:00:53.780]  以前小的時候呢 爸爸媽媽都會勸你啊
[00:00:53.780 --> 00:00:56.080]  你要多和
[00:00:56.080 --> 00:00:57.940]  成績好的
[00:00:58.680 --> 00:01:01.720]  品格優的小朋友在一起玩啊
[00:01:01.720 --> 00:01:05.960]  因為他愛你 他怕你被別人帶偏了
[00:01:05.960 --> 00:01:09.820]  這個時候呢 也會有小朋友做回一個回應啊
[00:01:09.820 --> 00:01:12.500]  以前我也會是其中一個
[00:01:12.500 --> 00:01:14.760]  我和我的那些朋友玩
[00:01:14.760 --> 00:01:16.760]  我想把他們帶好啊
[00:01:16.760 --> 00:01:19.440]  想把他們帶好
[00:01:19.440 --> 00:01:22.640]  這個呢 都來自於父輩的一些的關心
[00:01:22.640 --> 00:01:26.720]  也不難看到 他們很有智慧的也看到
[00:01:26.960 --> 00:01:30.100]  身邊各樣發生的人和事呢
[00:01:30.100 --> 00:01:33.260]  都會影響著我們的選擇
[00:01:33.260 --> 00:01:35.400]  以及我們的生命
[00:01:35.400 --> 00:01:38.300]  在今天的這一段的經文裡面呢
[00:01:38.300 --> 00:01:40.740]  我們可以看到兩種的影響力
[00:01:40.740 --> 00:01:42.740]  在互相的拉扯
[00:01:42.740 --> 00:01:46.220]  所以呢 保羅很愛這樣一個屬靈的群體
[00:01:46.220 --> 00:01:49.660]  新建立的教會 所以寫信給他們
[00:01:49.660 --> 00:01:52.480]  這兩種的拉力呢 一個就是
[00:01:52.480 --> 00:01:55.820]  正面的榜樣 正面的榜樣
[00:01:55.820 --> 00:01:57.820]  還有另外一種呢
[00:01:57.820 --> 00:02:01.240]  叫做 反面的教材啊 反面的教材
[00:02:01.240 --> 00:02:04.240]  看你要怎麼樣和他們相處
[00:02:04.240 --> 00:02:07.040]  怎麼樣選擇你人生的軌跡
[00:02:07.040 --> 00:02:10.640]  那麼對應這兩方面的一個拉扯呢
[00:02:10.640 --> 00:02:12.640]  分別有提醒了啊
[00:02:12.640 --> 00:02:16.000]  在第六和第七節當中呢 就會講到了
[00:02:16.000 --> 00:02:19.000]  一方面呢 要遠離
[00:02:19.000 --> 00:02:22.000]  遠離的是那些反面的教材
[00:02:22.000 --> 00:02:25.000]  還有呢 要效仿
[00:02:25.000 --> 00:02:29.000]  效仿的呢 就好像使徒這樣保羅他們的
[00:02:29.000 --> 00:02:31.000]  一些正面的榜樣
[00:02:31.000 --> 00:02:34.000]  所以呢 我們在今天的時候呢
[00:02:34.000 --> 00:02:36.000]  盼望當時
[00:02:36.000 --> 00:02:38.000]  保羅對鐵薩諾尼加
[00:02:38.000 --> 00:02:42.000]  教會弟兄姊妹的忠告和提醒
[00:02:42.000 --> 00:02:44.000]  也成為神對我們的說話
[00:02:44.000 --> 00:02:48.000]  讓我們既有遠離 也有效仿
[00:02:48.000 --> 00:02:50.000]  其中呢 有警戒的標識
[00:02:50.000 --> 00:02:54.000]  要遠離那些混亂的群體
[00:02:54.000 --> 00:02:57.000]  其中有惡的 壞的
[00:02:57.000 --> 00:02:59.000]  惡的 壞的人
[00:02:59.000 --> 00:03:01.000]  也有呢 就是今天講到的
[00:03:01.000 --> 00:03:03.000]  很懶惰的一些人
[00:03:03.000 --> 00:03:07.000]  不肯做工 反而呢 專管閒事
[00:03:07.000 --> 00:03:10.000]  遠離 這些的警戒
[00:03:10.000 --> 00:03:12.000]  但是呢 也有效仿的典範
[00:03:12.000 --> 00:03:15.000]  呼籲要效仿使徒
[00:03:15.000 --> 00:03:18.000]  那麼我們在進入我們的三點講道前呢
[00:03:18.000 --> 00:03:21.000]  也邀請大家 我們要一起來禱告
[00:03:21.000 --> 00:03:24.000]  親愛的天父 我們感謝你
