
[00:00:00.000 --> 00:00:04.880]  我想這個星期我們每一個香港人心裏頭都很沉重
[00:00:04.880 --> 00:00:12.120]  當星期三那天我回到家裏頭
[00:00:12.120 --> 00:00:18.760]  晚上吃晚飯之前看到那個新聞的時候
[00:00:18.760 --> 00:00:21.520]  才知道發生了很大的事情
[00:00:21.520 --> 00:00:28.120]  而這個照片其實正正是星期三那天晚上
[00:00:28.120 --> 00:00:32.480]  燒得很厲害
[00:00:32.480 --> 00:00:39.040]  已經是七座大廈在大埔雲福縣發生
[00:00:39.040 --> 00:00:46.160]  直到星期五早上來救星那場火的時候
[00:00:46.160 --> 00:00:51.200]  直到昨天的數字至少死了128人
[00:00:51.200 --> 00:00:55.000]  79人受傷
[00:00:55.000 --> 00:00:58.200]  不只是這些數字 我想這些數字背後
[00:00:58.200 --> 00:01:01.000]  每一個受災的災民
[00:01:01.000 --> 00:01:04.000]  他們不單止是失去他們的家園
[00:01:04.000 --> 00:01:05.880]  他們失去他們的至親
[00:01:05.880 --> 00:01:11.400]  這種突然的巨變
[00:01:11.400 --> 00:01:15.240]  帶來他們內心非常非常之傷痛
[00:01:15.240 --> 00:01:21.240]  我當晚看到這個片段的時候
[00:01:21.240 --> 00:01:28.240]  我心裏頭其實是有一個很大的疑問在裏面
[00:01:28.240 --> 00:01:33.560]  我相信不只是天氣的問題
[00:01:33.560 --> 00:01:35.880]  是背後一定有人
[00:01:35.880 --> 00:01:42.280]  也都在這個所謂網絡世界裏面
[00:01:42.280 --> 00:01:46.800]  都有人做過一些所謂資料、分析等等
[00:01:46.800 --> 00:01:49.800]  同樣是看到其實是
[00:01:49.800 --> 00:01:53.600]  每一次有這些大型的災難的時候
[00:01:53.600 --> 00:01:58.480]  我們看到是反映一些雙面的東西
[00:01:58.480 --> 00:02:00.480]  一個就是人性的黑暗
[00:02:00.480 --> 00:02:03.280]  但另一方面就是人性的光輝
[00:02:03.280 --> 00:02:07.000]  在一方面我們有人會質疑
[00:02:07.000 --> 00:02:09.880]  就是業主立案法團那個角色
[00:02:09.880 --> 00:02:12.000]  他們的責任和缺失
[00:02:12.000 --> 00:02:18.000]  廉政公署也都已經很迅速的做事
[00:02:18.000 --> 00:02:23.000]  也都先後已經拘捕了有十多人
[00:02:23.000 --> 00:02:27.520]  有人涉嫌這個圍標、貪污等等的事情
[00:02:27.520 --> 00:02:32.120]  另外是承建商和分判商的操作不當
[00:02:32.120 --> 00:02:36.400]  昨天鄧炳強我們的保安局長
[00:02:36.400 --> 00:02:41.680]  他已經澄清了關於這個保護網和盤網
[00:02:41.680 --> 00:02:46.480]  初步發現是發覺是達到阻延的要求
[00:02:46.480 --> 00:02:52.200]  但是包圍大廈、窗戶的發佈膠板是高度易延的
[00:02:52.200 --> 00:02:55.200]  根據他們現在初步掌握的資料
[00:02:55.200 --> 00:02:57.360]  他們相信最初起火的位置是
[00:02:57.360 --> 00:03:00.360]  文昌的低層外面的這些圍網
[00:03:00.360 --> 00:03:02.880]  因為燃燒了這些發佈膠板
[00:03:02.880 --> 00:03:05.480]  火勢迅速向上蔓延
[00:03:05.480 --> 00:03:07.480]  伸延到多個樓層
[00:03:07.480 --> 00:03:09.000]  而且很短時間之內
[00:03:09.000 --> 00:03:12.200]  波及宏福縣其他六座樓宇
[00:03:12.200 --> 00:03:16.640]  大火引燃到貼在窗戶上的發佈膠板
[00:03:16.640 --> 00:03:18.160]  令到玻璃爆破
[00:03:18.160 --> 00:03:20.160]  導致火勢急速增強
[00:03:20.160 --> 00:03:22.600]  而且迅速蔓延到室內
[00:03:22.600 --> 00:03:27.000]  短時間之內室內室外大面積同時起火
[00:03:27.000 --> 00:03:30.000]  最終釀成這一次的大災難
[00:03:30.000 --> 00:03:34.880]  高溫令到竹棚和盤網都燃燒
[00:03:34.880 --> 00:03:36.880]  甚至一些竹枝都飛墜
[00:03:36.880 --> 00:03:39.200]  引致很多樓層著火
[00:03:39.200 --> 00:03:44.960]  正式起火原因仍然要等待進一步的調查
[00:03:44.960 --> 00:03:48.800]  但這件事情關於這個圍封
[00:03:48.800 --> 00:03:52.400]  這個發佈膠這件事很肯定
[00:03:52.400 --> 00:03:55.840]  就是有人明知故犯
[00:03:55.840 --> 00:03:58.640]  為了省錢的緣故
[00:03:58.640 --> 00:04:02.560]  這件事在多年前英國一場大火
[00:04:02.560 --> 00:04:05.880]  在Greenfield造成多人死亡
[00:04:05.880 --> 00:04:10.360]  他們當時維修甚至用金屬的棚架
