
[00:00:00.000 --> 00:00:04.000]  新年快樂,新年蒙福!
[00:00:04.000 --> 00:00:10.000]  祝福大家龍年歡騰,主恩常在,主愛常有。
[00:00:10.000 --> 00:00:17.000]  在我們新年的期間,一定有很多人要回去拜年。
[00:00:17.000 --> 00:00:22.000]  拜年感受是五味雜陳。
[00:00:22.000 --> 00:00:32.000]  我這次終於跟玉華回到新加坡,三年沒有在新加坡過年了,今年終於可以回去過年。
[00:00:32.000 --> 00:00:43.000]  感受是非常珍惜,能夠面對面看到一些家人親友,是非常非常珍惜。
[00:00:43.000 --> 00:00:52.000]  但是我知道大家有些人留在香港過年,有些人就回內地過年,有些人去別的地方過年。
[00:00:52.000 --> 00:00:57.000]  求神祝福大家,都有一個很好的跟家人相聚的地方。
[00:00:57.000 --> 00:01:03.000]  在家這個課題,我想到今天要跟大家分享的。
[00:01:03.000 --> 00:01:23.000]  因為家是由家人構成的,家人是令我們又愛,又愛,又頭痛,對我們生命的一部分。
[00:01:23.000 --> 00:01:32.000]  我們肯定在家裡面有非常喜愛的那一位,有非常令我們頭疼的那幾位。
[00:01:32.000 --> 00:01:37.000]  所以今天在新春期間跟大家一起談談這個課題。
[00:01:37.000 --> 00:01:39.000]  我希望做什麼呢?
[00:01:39.000 --> 00:01:49.000]  我希望在這短短的時間能夠看看幾個重要的課題,就是現今社會的家的各種挑戰。
[00:01:49.000 --> 00:01:53.000]  另外就是從聖經看上帝所喜悅的家。
[00:01:53.000 --> 00:01:58.000]  最後就是看我們要如何建立上帝所喜悅的家。
[00:01:58.000 --> 00:02:01.000]  讓我們一起同心禱告。
[00:02:01.000 --> 00:02:11.000]  親愛的主,我們來到你跟前,我們要宣告,如果不是禰祝福,禰的僕人傳講的東西都是沒有功效。
[00:02:11.000 --> 00:02:16.000]  所以天父我們求禰祝福在台上所要講的每一句話。
[00:02:16.000 --> 00:02:23.000]  我們也知道主耶穌提醒我們,我們的心要像好土,才能夠領受上帝禰的話語。
[00:02:23.000 --> 00:02:35.000]  主啊,我們求禰讓我們的心就好像瑪利亞一樣,能夠專一的,單單的去放下自己一切的假設,來領受上帝禰從天而來的話語。
[00:02:35.000 --> 00:02:42.000]  求禰與我們同在,祝福我們的時間,禱告奉耶穌基督聖明祈求,Amen。
[00:02:42.000 --> 00:02:46.000]  那麼現今社會遇到什麼挑戰呢?
[00:02:46.000 --> 00:02:48.000]  各樣的挑戰都有啊。
[00:02:48.000 --> 00:02:53.000]  首先我們當然知道是婚姻的破裂,婚姻關係的破裂。
[00:02:53.000 --> 00:03:05.000]  丈夫的出軌,妻子的各種的埋怨,造成家庭裡面各種的破壞。
[00:03:05.000 --> 00:03:19.000]  但是當我們看到聖經裡面的一些的真理呢,我們就發現原來那個源頭一早就開始在人違背上帝犯罪的時候就進來了。
[00:03:19.000 --> 00:03:32.000]  比如說在婚姻關係裡面,當罪一進來之後,上帝講的那個咒詛呢,基本上呢是罪的後果,會必然發生的事情。
[00:03:32.000 --> 00:03:45.000]  因為罪使一個人不能夠按照上帝造他原本的形象,按照上帝的原則和價值觀來做各樣的思考和決定,會越來越自我。
[00:03:45.000 --> 00:03:51.000]  那個罪就是使自己想要成為神,會越來越自我,自己做自己的王。
[00:03:51.000 --> 00:04:01.000]  所以他看到分別三惡果恕的果子,能夠像神一樣有智慧,那意思就是說我要做自己的主宰。
[00:04:01.000 --> 00:04:10.000]  當人走向這一步的時候,想跟造物主有一個關係上的切割的時候,各種問題就都來了,因為我們不是神。
[00:04:10.000 --> 00:04:22.000]  我們的知識只會傾向上帝要我們去相愛,我們要愛自己。上帝要我們去分享,我們要把所有東西都佔為己有。
[00:04:22.000 --> 00:04:24.000]  所以各種各樣的問題出來。
[00:04:24.000 --> 00:04:32.000]  所以當上帝講十六節的時候,是講一個必然的結果。這必然的結果在婚姻關係裡面是怎樣的呢?
[00:04:32.000 --> 00:04:39.000]  上帝對女人說,你必會戀慕你丈夫,你丈夫必管轄你。
[00:04:39.000 --> 00:04:45.000]  這戀慕這一詞在原文需要好好地解釋,以至我們明白這戀慕到底是什麼意思。
[00:04:45.000 --> 00:04:51.000]  這戀慕千萬不要誤會成為戀愛那一種的愛慕,不是這個意思。
[00:04:51.000 --> 00:05:04.000]  因為當你看第四章的時候,當那個兄長把弟弟給殺害掉的時候,該隱殺掉亞伯的時候,
[00:05:04.000 --> 00:05:12.000]  在之前上帝給他一個警告,說你為什麼生氣呢?如果你做得好,你豈不會得到祝福嗎?
[00:05:12.000 --> 00:05:17.000]  為什麼你生氣呢?你要小心啊,因為罪就在你門口了。
[00:05:17.000 --> 00:05:23.000]  你氣你的弟弟,因為他獻上的東西是得到約納的,他妒忌他,他的東西被上帝約納,
[00:05:23.000 --> 00:05:33.000]  他不檢討自己獻的東西是不是最好的,聖經說只有他弟弟獻上的是最好的給上帝。
[00:05:33.000 --> 00:05:37.000]  但是他沒有自我檢討,他就是生他弟弟的氣。
[00:05:37.000 --> 00:05:43.000]  上帝說了一句話,罪已經在你的門口,他要戀慕你。
[00:05:43.000 --> 00:05:47.000]  罪要戀慕你這個字,一樣的字。
[00:05:47.000 --> 00:05:51.000]  在這裡講到男女之間的關係,夫妻之間的關係會變成怎樣呢?
[00:05:51.000 --> 00:05:59.000]  當每個人都自我的時候,大家都想控制大家,就好像那個罪要戀慕殺他兄弟的該隱,
[00:05:59.000 --> 00:06:06.000]  這裡的女人要戀慕她的丈夫,就是控制,要控制她的丈夫。
[00:06:06.000 --> 00:06:14.000]  本來上帝的設計不是這樣子的,但是這裡是想要控制她,聽我的。
[00:06:14.000 --> 00:06:18.000]  然後丈夫會怎麼樣呢?因為也自我,就會怎麼樣呢?
[00:06:18.000 --> 00:06:22.000]  還要管轄她,不是去愛她,需要管她。
[00:06:22.000 --> 00:06:24.000]  所以你看,會有什麼結果呢?
[00:06:24.000 --> 00:06:29.000]  必然的結果就是婚姻關係裡面破裂相爭。
[00:06:29.000 --> 00:06:36.000]  所以婚姻關係破裂,社會的各家的其中一個問題很明顯的就是這關係。
[00:06:36.000 --> 00:06:44.000]  有些是直接吵架,吵到不可收拾,甚至還出手來打架。
[00:06:44.000 --> 00:06:52.000]  有些是什麼呢?冷暴力,冷暴力的傷害,各種各樣的事情都發生。
[00:06:52.000 --> 00:06:57.000]  那麼第二個,現今社會的家遇到什麼問題呢?
[00:06:57.000 --> 00:07:02.000]  不孝敬父母。聖經非常強調我們要孝敬父母。
[00:07:02.000 --> 00:07:11.000]  聖經告訴我們基督教的信仰,強調孝敬父母的程度是遠超過我們人類文化所能夠理解的。
[00:07:11.000 --> 00:07:18.000]  藐視父母的要被石頭打死,就是心裡看不起父母。
[00:07:18.000 --> 00:07:23.000]  上帝要被石頭打死,就是看不起,就很簡單的。
[00:07:23.000 --> 00:07:28.000]  因為時代不斷的進步,年輕一代永遠,如果時代進步的話,
[00:07:28.000 --> 00:07:33.000]  一直在累積最新的知識,是上一代追不上跟跟不來的。
[00:07:33.000 --> 00:07:38.000]  很容易就會說,哎呀,這麼笨,這樣的,手機給我,我幫你做。
[00:07:38.000 --> 00:07:42.000]  整天搞來搞去搞不好那個app,對嗎?
[00:07:42.000 --> 00:07:47.000]  然後孩子一三兩下,因為他一出世就跟著手機一起長大的。
[00:07:47.000 --> 00:07:51.000]  所以他還拿過來三兩下,不到三秒就搞定了,還給你。
[00:07:52.000 --> 00:07:58.000]  這個沒問題,時代進步沒問題,下一代比上一代好,沒問題。
[00:07:58.000 --> 00:08:05.000]  但是,價值觀、態度、孝敬的心不能夠沒有。
[00:08:05.000 --> 00:08:12.000]  你出一個孝敬的心來幫助,跟你出自一個藐視父母的心來幫助,是不一樣的。
[00:08:12.000 --> 00:08:15.000]  上帝看重的是,你要怎麼樣去幫助,對嗎?
[00:08:15.000 --> 00:08:17.000]  在這裡講什麼呢?
[00:08:17.000 --> 00:08:23.000]  在《末世》,保羅寫給提摩泰,他說,末世必有危險的日子來到,
[00:08:23.000 --> 00:08:25.000]  因為那時人要怎麼樣呢?
[00:08:25.000 --> 00:08:34.000]  專顧自己,又是那個罪的影響,自我中心,專顧自己,貪愛錢財,自誇狂傲,磅毒,然後怎麼樣呢?
[00:08:34.000 --> 00:08:36.000]  違背父母。
[00:08:36.000 --> 00:08:41.000]  對上帝來說,這是匪夷所思的。
[00:08:41.000 --> 00:08:45.000]  生自己的父母,他要違背他,忘恩負義。
[00:08:45.000 --> 00:08:54.000]  沒有想到是誰把他養大,沒有想到誰在他最需要保護的時候,像一個嬰孩的時候,是誰把他一手帶大等等,
[00:08:54.000 --> 00:09:06.000]  在外面打拼賺錢回來給他長大,忘恩負義,心不甚解,無親情,不解怨。
[00:09:06.000 --> 00:09:14.000]  我們人不是完美的,很容易結下怨恨,但是不解怨,好說殘言,
[00:09:14.000 --> 00:09:25.000]  說別人的壞話,不能制約,性情兇暴,不愛良善,賣主賣友,人際關係的破壞,任意妄為自高自大,
[00:09:25.000 --> 00:09:34.000]  愛艷樂,只愛享受,不愛神,叫他參加各種演唱會,哇,馬上多貴的票都會去買,
[00:09:34.000 --> 00:09:39.000]  叫他來服侍,哇,會推三推四。
[00:09:39.000 --> 00:09:44.000]  愛艷樂,不愛神。
[00:09:44.000 --> 00:09:48.000]  還有一個是兄弟成仇人。
[00:09:48.000 --> 00:09:53.000]  我們看到當最進入社會的時候,就是這樣子了。
[00:09:53.000 --> 00:10:00.000]  記不記得在舊約裡面有兩個兄弟,姨嫂跟雅各,雙胞胎,
[00:10:00.000 --> 00:10:11.000]  結果哥哥因為賣掉他的名分,就被弟弟偷掉了祝福,因為他是賣掉名分之先。
[00:10:11.000 --> 00:10:20.000]  上帝就讓事情這樣發生,姨嫂就是他哥哥,因他父親給雅各祝福,就怨恨雅各,
[00:10:20.000 --> 00:10:28.000]  心裡說,為我父親居上的日子盡了,我父親就快死了,居上的日子盡了。
[00:10:28.000 --> 00:10:34.000]  到那時候,他想的是什麼呢?我要殺我的兄弟雅各。
[00:10:34.000 --> 00:10:40.000]  這在古代發生的事情,在現今社會有沒有啊?
[00:10:40.000 --> 00:10:44.000]  很可悲的啊,我們都聽到啊。
[00:10:44.000 --> 00:10:52.000]  現今社會的家庭遇到的各種挑戰,增產,反目成仇,
[00:10:52.000 --> 00:10:58.000]  一起長大的兩兄弟可以為了錢,
[00:10:58.000 --> 00:11:05.000]  其實如果跳出來看,其實自己生活已經很夠了,很足夠了,不需要了,
[00:11:05.000 --> 00:11:12.000]  但是為了真,可以用各種的手段。
[00:11:12.000 --> 00:11:14.000]  總的來說是什麼呢?
[00:11:14.000 --> 00:11:21.000]  現今社會的家的各種挑戰,根源在於罪,在於人的罪。
[00:11:21.000 --> 00:11:27.000]  剛才我們說了,從亞當夏娃違背上帝開始,就已經是一種罪的生命。
[00:11:27.000 --> 00:11:36.000]  那個事情是代表著人類進入了另外一種神不喜悅的軌道。
[00:11:36.000 --> 00:11:43.000]  本來神要人走的軌道是一條順服神,享受祂的喜樂的軌道。
[00:11:43.000 --> 00:11:45.000]  越走越明白自己生命的護照。
