
[00:00:00.000 --> 00:00:05.200]   Good evening, everyone.
[00:00:05.200 --> 00:00:09.560]   Hope you guys are staying safe and you guys are doing well.
[00:00:09.560 --> 00:00:15.440]   We're continuing our series called Mark My Word, Mark My Word.
[00:00:15.440 --> 00:00:21.680]   And last week, Pastor John gave us an excellent introduction onto this book and really taught
[00:00:21.680 --> 00:00:29.660]   us about Mark himself and also how we should be prioritizing the voice of God over other
[00:00:29.660 --> 00:00:30.960]   people.
[00:00:30.960 --> 00:00:37.920]   And so today, the word that we have chosen today is burst.
[00:00:37.920 --> 00:00:43.240]   And so when you think of this word burst, I want you to type in the chat, what is the
[00:00:43.240 --> 00:00:47.880]   first thing that comes to mind when you hear the word burst?
[00:00:47.880 --> 00:00:48.960]   What is the first thing?
[00:00:48.960 --> 00:00:50.600]   Type in the chat.
[00:00:50.600 --> 00:00:53.000]   It's going to be an interactive bubbles.
[00:00:53.000 --> 00:00:57.800]   Okay, you want to blow some bubbles, balloons, energy?
[00:00:57.800 --> 00:00:59.400]   Yeah, burst candies.
[00:00:59.400 --> 00:01:00.400]   Oh, okay.
[00:01:00.400 --> 00:01:01.760]   What is burst candies?
[00:01:01.760 --> 00:01:03.440]   Okay, anger.
[00:01:03.440 --> 00:01:04.440]   Okay.
[00:01:04.440 --> 00:01:08.560]   Agnes has experienced some bursts of anger.
[00:01:08.560 --> 00:01:09.560]   Okay.
[00:01:09.560 --> 00:01:11.520]   So these are some really good ones.
[00:01:11.520 --> 00:01:13.160]   Surprise is a good one.
[00:01:13.160 --> 00:01:17.480]   Here is what comes to mind when I hear of burst.
[00:01:17.480 --> 00:01:23.360]   You can see in the next slide, the first thing I think of is, well, do you know, have you
[00:01:23.360 --> 00:01:24.720]   guys watched Seinfeld?
[00:01:24.720 --> 00:01:27.800]   One of the best comedies of all time.
[00:01:27.800 --> 00:01:29.040]   It's Kramer, right?
[00:01:29.040 --> 00:01:34.560]   He just bursts through the door and just, he just sort of bangs into the door and burst
[00:01:34.560 --> 00:01:36.960]   it open at the same time.
[00:01:36.960 --> 00:01:38.960]   It's amazing.
[00:01:38.960 --> 00:01:42.480]   One of the candies I really liked was Gushers.
[00:01:42.480 --> 00:01:48.620]   They advertised it as when you ate it, the fruit juices within sort of burst it out.
[00:01:48.620 --> 00:01:54.360]   You see the sort of water, sort of the bursting of colors in their packaging.
[00:01:54.360 --> 00:01:56.240]   It sort of bursts out.
[00:01:56.240 --> 00:02:01.280]   And then I don't know if you had a xiao long bao recently, but sometimes the xiao long
[00:02:01.280 --> 00:02:04.200]   bao, it just bursts, right?
[00:02:04.200 --> 00:02:09.400]   The greatest thing about the xiao long bao is that it keeps the moisture, the juicy,
[00:02:09.400 --> 00:02:16.040]   whatever pork dumpling juices inside, and then you eat it and it sort of bursts in your
[00:02:16.040 --> 00:02:17.320]   mouth.
[00:02:17.320 --> 00:02:20.120]   And so we're talking about bursts today.
[00:02:20.120 --> 00:02:25.880]   Jesus grew up and he sort of been quiet during his childhood.
[00:02:25.880 --> 00:02:32.240]   And then it is during the 30th year of his life that he sort of bursts into scene.
[00:02:32.240 --> 00:02:35.480]   He starts his ministry at the age of 30.
[00:02:35.480 --> 00:02:40.960]   And so we're going to see some video clip from the One Series today on Jesus and how
[00:02:40.960 --> 00:02:45.200]   he burst onto the scene and started his ministry.
[00:02:45.200 --> 00:02:50.040]   And so enjoy the video for the next couple of minutes.
[00:02:50.040 --> 00:02:56.560]   After John was put in prison, Jesus went into Galilee, proclaiming the good news of God.
[00:02:56.560 --> 00:02:59.440]   "The time has come," he said.
[00:02:59.440 --> 00:03:02.400]   "The kingdom of God has come near.
[00:03:02.400 --> 00:03:10.480]   Repent and believe the good news."
[00:03:10.480 --> 00:03:16.300]   As Jesus walked beside the Sea of Galilee, he saw Simon and his brother Andrew casting
[00:03:16.300 --> 00:03:20.760]   a net into the lake, where they were fishing.
[00:03:20.760 --> 00:03:29.240]   "Come, follow me," Jesus said, "and I will send you out to fish for people."
[00:03:29.240 --> 00:03:36.800]   At once they left their nets and followed him.
[00:03:36.800 --> 00:03:41.480]   When he had gone a little farther, he saw James, son of Zebedee, and his brother John
[00:03:41.480 --> 00:03:44.640]   in a boat, preparing their nets.
[00:03:44.640 --> 00:03:48.580]   Without delay he called them, and they left their father Zebedee in the boat with the
[00:03:48.580 --> 00:03:52.400]   hired men and followed him.
[00:03:52.400 --> 00:03:59.000]   They went to Capernaum, and when the Sabbath came, Jesus went into the synagogue and began
[00:03:59.000 --> 00:04:05.240]   to teach.
[00:04:05.240 --> 00:04:11.000]   The people were amazed at his teaching, because he taught them as one who had authority, not
[00:04:11.000 --> 00:04:13.420]   as the teachers of the Lord.
[00:04:13.420 --> 00:04:17.800]   Just then a man in their synagogue, who was possessed by an impure spirit, cried out,
[00:04:17.800 --> 00:04:20.920]   "What do you want with us, Jesus of Nazareth?
[00:04:20.920 --> 00:04:22.760]   Have you come to destroy us?
[00:04:22.760 --> 00:04:26.880]   I know who you are, the Holy One of God."
[00:04:26.880 --> 00:04:30.760]   "Be quiet," said Jesus sternly.
[00:04:30.760 --> 00:04:33.600]   "Come out of him."
[00:04:33.600 --> 00:04:41.000]   The impure spirit shook the man violently and came out of him with a shriek.
[00:04:41.000 --> 00:04:47.440]   The people were all so amazed that they asked each other, "What is this?
[00:04:47.440 --> 00:04:49.600]   A new teaching?
[00:04:49.600 --> 00:04:51.640]   And with authority?
[00:04:51.640 --> 00:04:57.160]   He even gives orders to impure spirits, and they obey him."
[00:04:57.160 --> 00:05:00.320]   News about him spread quickly over the whole region of Galilee.
[00:05:00.320 --> 00:05:05.280]   All right, that was an excellent clip, and I hope you've been enjoying the One series
[00:05:05.280 --> 00:05:08.840]   and following it as we come alongside Lent.
[00:05:08.840 --> 00:05:14.720]   And so we're going to look at four aspects of how Jesus burst into the scene and he begun
[00:05:14.720 --> 00:05:16.280]   his ministry.
[00:05:16.280 --> 00:05:21.320]   And the first thing we're going to see is he started to call on repentance.
[00:05:21.320 --> 00:05:24.800]   And the next is calling, calling of the disciples.
[00:05:24.800 --> 00:05:31.800]   The third is the authority he showed both in the synagogue and with the demon-possessed
[00:05:31.800 --> 00:05:32.800]   man.
