
[00:00:00.000 --> 00:00:02.360]  我們真的要感謝贊美神
[00:00:02.360 --> 00:00:05.680]  我們用掌聲再一次歸榮給上帝
[00:00:05.680 --> 00:00:08.920]  因為上帝是值得我們這樣稱頌的
[00:00:08.920 --> 00:00:12.520]  剛才喜樂詩班唱這首詩
[00:00:12.520 --> 00:00:16.080]  如果你有留意歌詞是很值得
[00:00:16.080 --> 00:00:19.480]  這個成為你人生的座右銘
[00:00:19.480 --> 00:00:21.880]  For God and God alone
[00:00:21.880 --> 00:00:25.080]  其實無論你人生在哪個階段
[00:00:25.080 --> 00:00:27.240]  無論大小任何的事
[00:00:27.240 --> 00:00:29.120]  包括這個宇宙窮瘡
[00:00:29.120 --> 00:00:33.440]  包括人世間智者愚者
[00:00:33.440 --> 00:00:37.360]  無人可以改變上帝的Master Plan
[00:00:37.360 --> 00:00:40.000]  神的奇妙計劃
[00:00:40.000 --> 00:00:42.400]  這是奇哉妙哉
[00:00:42.400 --> 00:00:48.400]  願意我們今天在文素記裏再次肯定這個事實
[00:00:48.400 --> 00:00:51.920]  在上帝的恩典的背後
[00:00:51.920 --> 00:00:53.320]  祂有審判
[00:00:53.320 --> 00:00:56.120]  在神的公義的背後
[00:00:56.120 --> 00:00:58.120]  也有祂自己的連述
[00:00:58.120 --> 00:01:02.040]  叫我們今天做一個真正敬畏上主的人
[00:01:02.040 --> 00:01:05.040]  當你掌握到這個真理
[00:01:05.040 --> 00:01:08.200]  你的敬拜是發自你的內心
[00:01:08.200 --> 00:01:10.440]  不再被罪捆綁
[00:01:10.440 --> 00:01:12.680]  這種的自由和釋放
[00:01:12.680 --> 00:01:17.880]  我們一起來看一看我們今天這段經文
[00:01:17.880 --> 00:01:21.720]  這段經文在十五章
[00:01:21.720 --> 00:01:25.080]  我們看十五章之前
[00:01:25.080 --> 00:01:27.080]  其實是應該先看一看
[00:01:27.080 --> 00:01:29.880]  上一次和大家分享的
[00:01:29.880 --> 00:01:34.960]  在十三十四章所說的那些事情
[00:01:34.960 --> 00:01:39.080]  十三十四章是說到
[00:01:39.080 --> 00:01:41.600]  他們差遣十二個探子
[00:01:41.600 --> 00:01:44.800]  去看這個應許之地
[00:01:44.800 --> 00:01:47.880]  但回報的時候是不盡不實
[00:01:47.880 --> 00:01:52.760]  扭曲了上帝的心意
[00:01:52.760 --> 00:01:55.880]  因為這些不信的探子
[00:01:55.880 --> 00:01:58.760]  只是看在眼前各樣的困難
[00:01:58.760 --> 00:02:01.760]  他永遠看不到神的信實
[00:02:01.760 --> 00:02:03.760]  神的豐盛
[00:02:03.760 --> 00:02:06.360]  神的應許告訴我們
[00:02:06.360 --> 00:02:11.560]  今天沒有人可以僭越上帝祂自己
[00:02:11.560 --> 00:02:16.360]  也沒有人可以改變神祂自己的作為
[00:02:16.360 --> 00:02:19.560]  所以讓我們今天在祂自己面前
[00:02:19.560 --> 00:02:22.560]  都有這個敬畏上主的心
[00:02:22.560 --> 00:02:26.560]  神宣佈當時是對成年的一代人
[00:02:26.560 --> 00:02:28.560]  那個是清楚的審判
[00:02:28.560 --> 00:02:30.560]  他們沒有一個人可以進入應許地
[00:02:30.560 --> 00:02:31.560]  為什麼呢?
[00:02:31.560 --> 00:02:33.560]  因為他們不信
[00:02:33.560 --> 00:02:35.560]  他們多處去埋怨神
[00:02:35.560 --> 00:02:38.560]  他們是頂撞神
[00:02:38.560 --> 00:02:41.560]  但是只有迦勒和約書亞
[00:02:41.560 --> 00:02:43.560]  可以進入應許地
[00:02:43.560 --> 00:02:45.560]  而不信神的應許
[00:02:45.560 --> 00:02:48.560]  那個嚴重的後果就是死亡
[00:02:48.560 --> 00:02:52.160]  也都是他們錯過了上帝這個恩典
[00:02:52.160 --> 00:02:54.760]  我盼望我們人生不要有遺憾
[00:02:54.760 --> 00:02:58.760]  如果你的遺憾是因為你不遵從上帝的心意
[00:02:58.760 --> 00:03:02.760]  你去抵擋上帝在你身上要成就的美意的時候
[00:03:02.760 --> 00:03:05.360]  這個是最大的一個遺憾
[00:03:05.360 --> 00:03:08.760]  而文素記去到十五章的時候
[00:03:08.760 --> 00:03:10.760]  是再一次讓我們看見
[00:03:10.760 --> 00:03:13.760]  上帝在審判的背後是有恩典的
[00:03:13.760 --> 00:03:15.760]  是要給年輕的一代
[00:03:15.760 --> 00:03:17.160]  他們有盼望
[00:03:17.160 --> 00:03:19.760]  他們知道他們不是絕望
[00:03:19.760 --> 00:03:24.760]  不是無望、無助、無奈地進入應許地
[00:03:24.760 --> 00:03:28.760]  但是神要求他們要對神絕對的忠誠
[00:03:28.760 --> 00:03:32.760]  我們要分辨誤犯和顧犯的這兩類人
