
[00:00:00.000 --> 00:00:07.600]  好早晨,今日我想同大家繼續分享天國系列第七篇
[00:00:07.600 --> 00:00:15.360]  同人和睦係咪好艱難嘅呢?
[00:00:15.360 --> 00:00:20.000]  我唔知你仲記唔記得呢我哋喺講天國系列嘅時候
[00:00:20.000 --> 00:00:26.480]  呢個八福八,八福裏面呢今次呢已經係講到第七篇
[00:00:26.480 --> 00:00:32.560]  第七篇裏面呢,我唔知你仲記唔記得第一二三四五六係啲乜嘢呢?
[00:00:32.560 --> 00:00:35.600]  記唔記得㗎?記得係咪呀有啲
[00:00:35.600 --> 00:00:41.120]  第一個係虛心嘅人有福啦,第二個係哀動嘅人有福
[00:00:41.120 --> 00:00:47.360]  第三個係溫柔嘅人有福,第四係饑渴無意嘅人有福
[00:00:47.360 --> 00:00:56.080]  第五呢係連戌嘅人有福,第六呢上一次呢係清心嘅人有福
[00:00:56.080 --> 00:01:02.480]  今日呢我哋所講嘅呢就係呢使人和睦嘅人有福
[00:01:02.480 --> 00:01:11.920]  因為他們必稱為神嘅兒子,一齊讀一次好唔好呀?
[00:01:11.920 --> 00:01:16.560]  因為他們必稱為神的兒子
[00:01:16.560 --> 00:01:21.440]  喺呢度呢我哋先睇一句簡單嘅講法啦
[00:01:21.440 --> 00:01:27.040]  使人和睦嘅我哋話呢佢叫做Peace Maker
[00:01:27.040 --> 00:01:32.000]  Peace Maker我哋可以講係可以翻譯叫做和事佬啦
[00:01:32.000 --> 00:01:35.760]  亦都可以呢叫做和平使者
[00:01:35.760 --> 00:01:41.120]  喺希臘文裏面呢佢呢個字呢更加係呢
[00:01:41.120 --> 00:01:47.520]  可以分開拆做呢,等我睇下我識唔識讀先呢個
[00:01:47.520 --> 00:01:52.880]  點讀呀?Parsic Karen? E N O P
[00:01:52.880 --> 00:02:00.240]  哦,讀緊同讀完㗎喇
[00:02:00.240 --> 00:02:09.600]  OK好,咁呢係佢呢分開做兩個字嘅
[00:02:09.600 --> 00:02:16.160]  咁呢一個呢佢前面前半部呢叫做呢平安啦和平啦
[00:02:16.160 --> 00:02:20.640]  後半部呢係咩呀?製造咁解啦
[00:02:20.640 --> 00:02:28.720]  咁呢點解話呢個字係就講完㗎喇喎
[00:02:28.720 --> 00:02:37.440]  咁呢就係話呢和平同埋平安係需要人去做出嚟㗎
[00:02:37.440 --> 00:02:42.160]  係需要人去做㗎咁所以呢唔係呢和平
[00:02:42.160 --> 00:02:47.760]  就係呢我哋口講話我要世界和平我要世界和平
[00:02:47.760 --> 00:02:50.080]  咁就會和平嘅
[00:02:50.080 --> 00:02:55.520]  記唔記得耶穌喺呢度講呢百福嘅時候
[00:02:55.520 --> 00:03:01.120]  正正係羅馬嗰個歷史係最殘暴
[00:03:01.120 --> 00:03:05.520]  羅馬人呢羅馬政府呢係最暴戾嘅
[00:03:05.520 --> 00:03:09.360]  佢想要乜嘢就去攻打人哋個國家
[00:03:09.360 --> 00:03:12.160]  攞咗人啲嘢就當係自己
[00:03:12.160 --> 00:03:17.600]  但係呢你發現呢其實而家喺呢一個moment
[00:03:17.600 --> 00:03:23.600]  都係咁樣㗎喎嗰啲政府都係我想要乜嘢我就去
[00:03:23.600 --> 00:03:30.160]  攻打人囉係咪呀攻打人所以呢於是乎呢就做咗好多戰爭
[00:03:30.160 --> 00:03:37.920]  喺嗰個戰爭裏面甚至可以話呢戰爭係製造咗好多人嘅死亡
[00:03:37.920 --> 00:03:48.160]  唔係呢一個唔係兩個你睇下淨係世界大戰第一次死咗2150萬呀
[00:03:48.160 --> 00:03:56.160]  唔係死咗2150個喎跟住呢二次世界大戰死咗呢6000萬
[00:03:56.160 --> 00:04:03.120]  最近期我都冇寫其他中日戰爭死咗2000萬越戰死咗250萬
[00:04:03.120 --> 00:04:14.960]  南北韓戰爭死咗都有250萬最近期你哋睇到嘅俄烏戰爭都死咗2萬人
[00:04:14.960 --> 00:04:27.280]  以巴衝突以色列同埋巴勒斯坦最近最近期㗎啦由10月7號到今日2023年都死咗3萬幾人
