
[00:00:00.000 --> 00:00:06.000]  各位主內的弟兄姊妹平安
[00:00:06.000 --> 00:00:09.400]  咦,有反應,我很害怕
[00:00:09.400 --> 00:00:15.600]  我在多倫多是做建築業的
[00:00:15.600 --> 00:00:22.600]  我本身也有做其他的公關行業
[00:00:22.600 --> 00:00:28.000]  我在教會服務的,你們應該是80後吧
[00:00:28.000 --> 00:00:35.000]  90後,真的,00後,厲害
[00:00:35.000 --> 00:00:41.000]  我服務的是80歲後,90後
[00:00:41.000 --> 00:00:44.000]  因為我是在長者團體服務的
[00:00:44.000 --> 00:00:50.000]  所以今天看到大家,我不知道該怎麼說才對
[00:00:50.000 --> 00:00:55.000]  今天的題目是感恩馴服
[00:00:55.000 --> 00:01:02.000]  我想請問大家,剛巧我真的這麼大個兒子
[00:01:02.000 --> 00:01:05.000]  在香港過過兩次十號風球
[00:01:05.000 --> 00:01:10.000]  一次是30年前,一次是前兩天
[00:01:10.000 --> 00:01:12.000]  大家平安嗎?
[00:01:12.000 --> 00:01:17.000]  剛才我們看過在詩歌的時候
[00:01:17.000 --> 00:01:23.000]  最後那首英文歌,是不是說神怎樣在水上行走?
[00:01:23.000 --> 00:01:27.000]  大家有沒有反應呢?沒有
[00:01:27.000 --> 00:01:31.000]  咦,有的,即是有人有看的
[00:01:31.000 --> 00:01:37.000]  在那個時刻,我想問,大家都是住香港區的吧?
[00:01:37.000 --> 00:01:42.000]  不是,那要不要用水澆水回來?
[00:01:42.000 --> 00:01:45.000]  不用澆水回來的,又不用什麼的
[00:01:45.000 --> 00:01:50.000]  那我們應該什麼?感恩,應該感恩
[00:01:50.000 --> 00:01:52.000]  我們大家都平安回來,我們要感恩
[00:01:52.000 --> 00:01:55.000]  那我想問,怎樣才算感恩呢?
[00:01:55.000 --> 00:01:57.000]  怎樣去感恩呢?
[00:01:57.000 --> 00:02:00.000]  大家有沒有做靈修?
[00:02:00.000 --> 00:02:03.000]  一個,我聽到一個
[00:02:03.000 --> 00:02:05.000]  一個,有沒有多過?
[00:02:05.000 --> 00:02:06.000]  有沒有多過一個?
[00:02:06.000 --> 00:02:09.000]  兩個,兩個,很厲害,有沒有多過三個?
[00:02:09.000 --> 00:02:11.000]  有沒有多過三個?
[00:02:11.000 --> 00:02:16.000]  首先說一句,我不是一個很好的基督徒
[00:02:16.000 --> 00:02:19.000]  我不是經常靈修的,我只不過是
[00:02:19.000 --> 00:02:24.000]  我多數有時間的時候,早上真的去靈修15分鐘
[00:02:24.000 --> 00:02:27.000]  那時候是和我的女兒一起靈修
[00:02:27.000 --> 00:02:29.000]  因為我要載我女兒上學
[00:02:29.000 --> 00:02:32.000]  所以我要和她一起靈修
[00:02:32.000 --> 00:02:36.000]  那我想問,現在大家在這裡的
[00:02:36.000 --> 00:02:42.000]  我想用英文,是不是全部都是中四以上?
[00:02:42.000 --> 00:02:50.000]  中五?或大學?或大學?
[00:02:50.000 --> 00:02:55.000]  大學?大部分是大學?或大學?
[00:02:55.000 --> 00:02:57.000]  半半?
[00:02:57.000 --> 00:03:01.000]  OK,你們在做什麼大學?
[00:03:01.000 --> 00:03:09.000]  或者你們的父母想你們做什麼?
[00:03:09.000 --> 00:03:13.000]  做醫生?律師?銀行?
[00:03:13.000 --> 00:03:17.000]  是不是這些?
[00:03:17.000 --> 00:03:19.000]  是不是多數都叫你們讀這些?
[00:03:19.000 --> 00:03:21.000]  是的,那我想問
[00:03:21.000 --> 00:03:24.000]  你們覺得你們喜歡讀這些嗎?
[00:03:24.000 --> 00:03:28.000]  Good, I like the answer,不喜歡
[00:03:28.000 --> 00:03:34.000]  其實我從我的大學開始
[00:03:34.000 --> 00:03:38.000]  基本上,我自己說回
[00:03:38.000 --> 00:03:42.000]  我其實是18歲開始就已經離開香港
[00:03:42.000 --> 00:03:44.000]  我是去了Toronto讀書
[00:03:44.000 --> 00:03:46.000]  由高中讀到大學
[00:03:46.000 --> 00:03:48.000]  接著回來香港
[00:03:48.000 --> 00:03:51.000]  在一家很大的公司
[00:03:51.000 --> 00:03:53.000]  其實就是在哪裡呢?
[00:03:53.000 --> 00:03:55.000]  你們猜都猜不到
[00:03:55.000 --> 00:03:57.000]  就是這棟大廈的下一層
[00:03:57.000 --> 00:04:01.000]  我第一份工作就是在這棟大廈的下一層
[00:04:01.000 --> 00:04:05.000]  譚仔,譚仔現在的位置
[00:04:05.000 --> 00:04:09.000]  大快活的位置,我就在那裡上班
[00:04:09.000 --> 00:04:14.000]  那時候,這裡是一層樓,是一家銀行
[00:04:14.000 --> 00:04:16.000]  這裡是沒有東西的,沒有這一層
[00:04:16.000 --> 00:04:18.000]  你看不到這一層是沒有的
[00:04:18.000 --> 00:04:21.000]  我那時候已經在這裡上班
[00:04:21.000 --> 00:04:25.000]  所以我就說,為什麼牧師有冤言叫我來分享呢?
[00:04:25.000 --> 00:04:27.000]  接著我就覺得
[00:04:27.000 --> 00:04:32.000]  在我這個環境裡面長大之後
[00:04:32.000 --> 00:04:33.000]  我離開了香港
[00:04:33.000 --> 00:04:35.000]  我也去了外國讀書
[00:04:35.000 --> 00:04:38.000]  讀完書之後,開始工作
[00:04:38.000 --> 00:04:41.000]  當初的過程
[00:04:41.000 --> 00:04:45.000]  我是沒有一個究竟神想我做什麼
[00:04:45.000 --> 00:04:48.000]  我也問神究竟我想做什麼
[00:04:48.000 --> 00:04:52.000]  我今天所想到,或者我現在所做的事情
[00:04:52.000 --> 00:04:56.000]  不是我自己獨自讀出來的
[00:04:56.000 --> 00:05:01.000]  你們跟神的關係有多親密
[00:05:01.000 --> 00:05:03.000]  我想問一個問題
[00:05:03.000 --> 00:05:06.000]  第一個問題,你們跟神的關係有多親密
[00:05:06.000 --> 00:05:08.000]  How close?
[00:05:08.000 --> 00:05:12.000]  沒有反應?
[00:05:12.000 --> 00:05:14.000]  沒有反應?
[00:05:14.000 --> 00:05:15.000]  沒有反應?
[00:05:15.000 --> 00:05:17.000]  不是,不要緊的
[00:05:17.000 --> 00:05:19.000]  我不是一定要說是什麼
[00:05:19.000 --> 00:05:21.000]  我告訴你第一個
[00:05:21.000 --> 00:05:23.000]  我不是一個罪人
[00:05:23.000 --> 00:05:25.000]  我也是一個不合
[00:05:25.000 --> 00:05:26.000]  可以這樣說
[00:05:26.000 --> 00:05:30.000]  我不是一個很虔誠的基督徒
[00:05:30.000 --> 00:05:34.000]  我跟你們一樣
[00:05:34.000 --> 00:05:36.000]  我剛才聽到你們唱詩
