
[00:00:00.000 --> 00:00:02.160]   (silence)
[00:00:02.160 --> 00:00:06.520]   - All right, thank you very much.
[00:00:06.520 --> 00:00:08.440]   That was an awesome video.
[00:00:08.440 --> 00:00:12.280]   It is great to be connecting with all of you tonight.
[00:00:12.280 --> 00:00:15.480]   And we are continuing our series on Advent.
[00:00:15.480 --> 00:00:19.220]   We are talking about mighty God, mighty God.
[00:00:19.220 --> 00:00:23.120]   And just like we read and we saw the video just now,
[00:00:23.120 --> 00:00:26.600]   for to us a Christ, a child is born
[00:00:26.600 --> 00:00:29.640]   and he shall be called wonderful counselor,
[00:00:29.640 --> 00:00:34.480]   mighty God, everlasting father and prince of peace.
[00:00:34.480 --> 00:00:36.520]   So here's the first discussion question.
[00:00:36.520 --> 00:00:38.680]   This is gonna be a more interactive,
[00:00:38.680 --> 00:00:41.840]   yeah, more interactive sermon.
[00:00:41.840 --> 00:00:46.840]   What comes to mind when you think of Jesus as mighty God?
[00:00:46.840 --> 00:00:50.800]   I want you to type into the chat, what comes to mind?
[00:00:50.800 --> 00:00:53.880]   What are the first couple of things that come to mind
[00:00:53.880 --> 00:00:57.080]   when you think of Jesus as mighty God?
[00:00:57.080 --> 00:00:58.480]   I wanna see some of your answers.
[00:00:58.480 --> 00:01:01.080]   Son of God, yes, absolutely.
[00:01:01.080 --> 00:01:02.080]   Thank you, Agnes.
[00:01:02.080 --> 00:01:04.000]   Yeah, what others?
[00:01:04.000 --> 00:01:05.440]   Maybe anybody else?
[00:01:05.440 --> 00:01:06.840]   Power, very good.
[00:01:06.840 --> 00:01:09.720]   Yeah, he's powerful, absolutely.
[00:01:09.720 --> 00:01:11.400]   All right, what comes to mind?
[00:01:11.400 --> 00:01:12.960]   Anybody else?
[00:01:12.960 --> 00:01:14.560]   What comes to mind?
[00:01:14.560 --> 00:01:16.720]   Salvation, absolutely.
[00:01:16.720 --> 00:01:20.400]   Yeah, the power to save us, very good.
[00:01:20.400 --> 00:01:22.040]   Others?
[00:01:22.040 --> 00:01:23.800]   Yeah, sovereign, very good.
[00:01:23.800 --> 00:01:27.240]   Love, yeah, unstoppable, very cool.
[00:01:27.240 --> 00:01:30.320]   Yeah, great answers, unconditional.
[00:01:30.320 --> 00:01:32.800]   Absolutely, creator, absolutely.
[00:01:32.800 --> 00:01:34.920]   Yeah, thank you so much for those answers.
[00:01:34.920 --> 00:01:36.360]   That's very good.
[00:01:36.360 --> 00:01:39.040]   So this, let me go back to the slide.
[00:01:39.040 --> 00:01:41.680]   What comes to mind?
[00:01:41.680 --> 00:01:43.960]   This word is El Gabor.
[00:01:43.960 --> 00:01:45.800]   It comes from the Hebrew word,
