
[00:00:00.000 --> 00:00:02.240]  教授姐妹平安!
[00:00:02.240 --> 00:00:07.760]  在三月份 我想把焦點放在瑞易門訓的講道
[00:00:07.760 --> 00:00:11.200]  求神幫助我們更明白它的真理
[00:00:11.200 --> 00:00:15.420]  第一講 我會講破解錯誤認知的迷思
[00:00:15.420 --> 00:00:18.560]  第二 我會講破解錯誤目標的迷思
[00:00:18.560 --> 00:00:22.460]  第三 講破解錯誤動力的迷思
[00:00:22.460 --> 00:00:27.000]  我們回顧一下之前的講道
[00:00:27.000 --> 00:00:30.040]  我們上次有時候很開心
[00:00:30.040 --> 00:00:34.080]  聽到弟兄姐妹在我們吃飯的時候 在交流的時候
[00:00:34.080 --> 00:00:36.760]  他們也會拿講道的題目來說
[00:00:36.760 --> 00:00:40.440]  我們要逆境順境 要尊主為大
[00:00:40.440 --> 00:00:43.500]  我們大事小事都要尊主為大
[00:00:43.500 --> 00:00:46.880]  我們就知道這是何等重要的生命
[00:00:46.880 --> 00:00:48.280]  要尊主為大
[00:00:48.280 --> 00:00:51.520]  不只是在我們順利的時候
[00:00:51.520 --> 00:00:53.320]  我們在逆境的時候也要
[00:00:53.320 --> 00:00:57.640]  我們的大事小事的意思不是很主觀的
[00:00:57.640 --> 00:00:59.120]  你的大事可能是我的小事
[00:00:59.120 --> 00:01:01.000]  我的小事可能是你的大事
[00:01:01.000 --> 00:01:05.160]  這些而是困難的事情跟容易的事情
[00:01:05.160 --> 00:01:11.680]  還有就是我們也講了兩堂關於怎麼樣管理時間
[00:01:11.680 --> 00:01:13.680]  求神教我們賜我們智慧
[00:01:13.680 --> 00:01:16.760]  從摩西求上帝賜他智慧
[00:01:16.760 --> 00:01:18.880]  怎麼樣數算自己的日子
[00:01:18.880 --> 00:01:22.440]  我們也一起探討過如何管理時間
[00:01:22.440 --> 00:01:24.800]  然後在以福所述的時間
[00:01:24.800 --> 00:01:26.800]  原來是翻譯成時機
[00:01:26.800 --> 00:01:29.080]  kairos 在希臘文是時機
[00:01:29.080 --> 00:01:32.560]  所以人生不只是要算好時間 掌握時間
[00:01:32.560 --> 00:01:36.320]  還要掌握你有的寶貴的機會
[00:01:36.320 --> 00:01:38.240]  是上帝所給你的機會
[00:01:38.240 --> 00:01:41.960]  你的人生 你如果懂得抓到這些上帝給你的機會
[00:01:41.960 --> 00:01:45.160]  才是真的是好好的管理上帝給你的人生
[00:01:45.160 --> 00:01:49.200]  因為時間就是生命
[00:01:49.200 --> 00:01:51.520]  一天一天加起來就是你一生了
[00:01:51.520 --> 00:01:55.080]  而且一天一天加上那些重要的日子也是你一生
[00:01:55.080 --> 00:01:57.920]  所以要明白神的旨意
[00:01:57.920 --> 00:02:00.360]  把握生命中的時機很重要
[00:02:00.360 --> 00:02:06.600]  今天我們要來進一步的去探討一樣東西
[00:02:06.600 --> 00:02:09.960]  就是尊主為大
[00:02:09.960 --> 00:02:13.480]  管理好我們的生命、時間
[00:02:13.480 --> 00:02:14.760]  很重要很重要
[00:02:14.760 --> 00:02:19.080]  特別是為這麼多的弟兄姊妹星期天來崇拜
[00:02:19.080 --> 00:02:21.400]  我相信你們都是愛主
[00:02:21.400 --> 00:02:22.840]  一樣東西很重要
[00:02:22.840 --> 00:02:26.200]  就是要怎麼樣成為基督的門徒
[00:02:26.200 --> 00:02:28.480]  這個課題聽了又聽
[00:02:28.480 --> 00:02:33.040]  但是原來我們如果不了解當中的問題
[00:02:33.040 --> 00:02:36.760]  我們可以迷失
[00:02:36.760 --> 00:02:39.680]  學會做好基督的門徒
[00:02:39.680 --> 00:02:41.880]  就是等於我們講的門訓
[00:02:41.880 --> 00:02:43.520]  門訓大家聽過
[00:02:43.520 --> 00:02:48.400]  就等於門徒訓練
[00:02:48.400 --> 00:02:52.040]  做什麼行業都有訓練的
[00:02:52.040 --> 00:02:54.160]  你要先考到資格
[00:02:54.160 --> 00:02:56.200]  背後是一個培訓
[00:02:56.200 --> 00:02:58.600]  才能把你的任務執行好
[00:02:58.600 --> 00:03:01.360]  我們基督徒的生命也是一樣
[00:03:01.360 --> 00:03:05.920]  有什麼要做的、要學的才能把事情做好
[00:03:05.920 --> 00:03:08.040]  有兩個極端
[00:03:08.040 --> 00:03:09.720]  一般門訓的不足
[00:03:09.720 --> 00:03:12.120]  我觀察到有兩個極端
[00:03:12.120 --> 00:03:15.280]  有些就是太輕鬆了
[00:03:15.280 --> 00:03:16.560]  我在門訓中
[00:03:16.560 --> 00:03:19.480]  但是你問他門訓是他在做什麼
