
[00:00:00.000 --> 00:00:02.000]  (掌聲)
[00:00:02.000 --> 00:00:08.880]  天父上帝 我們滿心的感謝贊美你
[00:00:08.880 --> 00:00:13.720]  因著你的恩典 我們就被主你所解學
[00:00:13.720 --> 00:00:18.560]  因著我們的相聚 我們就經歷了主你各樣的恩典
[00:00:18.560 --> 00:00:21.080]  主啊 你是何等的愛
[00:00:21.080 --> 00:00:25.680]  你用你的愛和真理來雕琢我們的人生的時候
[00:00:25.680 --> 00:00:28.320]  我們就感到了莫大的祝福
[00:00:28.960 --> 00:00:32.320]  盼望主啊 你今天的訊息和真道
[00:00:32.320 --> 00:00:34.840]  同樣的臨到我們的心扉當中
[00:00:34.840 --> 00:00:39.120]  讓我們再次的感受主你的那份愛
[00:00:39.120 --> 00:00:42.040]  主你的那種的全能和能力
[00:00:42.040 --> 00:00:45.480]  我們也把接下來聆聽主你真道的時間
[00:00:45.480 --> 00:00:47.720]  恭敬地交托在主的手中
[00:00:47.720 --> 00:00:50.280]  求主你親自的引領和賜福
[00:00:50.280 --> 00:00:52.680]  願我口中的言語
[00:00:52.680 --> 00:00:55.080]  眾弟兄姐妹的心懷意念
[00:00:55.080 --> 00:00:57.240]  都蒙天父上帝你的悅納
[00:00:57.320 --> 00:00:59.480]  同心禱告奉主明求
[00:00:59.480 --> 00:01:00.720]  Amen
[00:01:00.720 --> 00:01:03.040]  好 那麼很感恩呢
[00:01:03.040 --> 00:01:06.400]  今天要和大家講的是《鐵撒羅尼加前書》
[00:01:06.400 --> 00:01:09.680]  那麼相對於這樣的一段的經文記載
[00:01:09.680 --> 00:01:12.280]  而且還有這個鐵撒羅尼加教會呢
[00:01:12.280 --> 00:01:17.720]  可以追溯到保羅他第二次宣教旅程當中
[00:01:17.720 --> 00:01:21.240]  他所建立的鐵撒羅尼加教會
[00:01:21.240 --> 00:01:24.960]  那麼在《使徒行傳》的第17章當中呢
[00:01:24.960 --> 00:01:26.760]  就看到了保羅啊
[00:01:27.200 --> 00:01:29.200]  一連三個安息日
[00:01:29.200 --> 00:01:33.360]  都去宣講耶穌基督的真道
[00:01:33.360 --> 00:01:35.720]  在會談當中呢
[00:01:35.720 --> 00:01:38.280]  很多的猶太人呢
