
[00:00:00.000 --> 00:00:02.960]  今日想同大家分享一段經文
[00:00:02.960 --> 00:00:06.080]  在彼得前書的三章八到十七節
[00:00:06.080 --> 00:00:07.800]  在彼得前書裏面
[00:00:07.800 --> 00:00:09.880]  我們過去幾乎一直說
[00:00:09.880 --> 00:00:10.840]  其實來到這裏
[00:00:10.840 --> 00:00:14.840]  已經大概接近三分之二的內容
[00:00:14.840 --> 00:00:17.320]  所以想在這裏有少少時間
[00:00:17.320 --> 00:00:19.800]  和大家簡單的重溫一下
[00:00:19.800 --> 00:00:23.240]  我們之前所看過的一些內容
[00:00:23.240 --> 00:00:25.400]  首先當然我們要看的就是
[00:00:25.400 --> 00:00:27.080]  這封書信
[00:00:27.080 --> 00:00:31.480]  他的受書人或收信人是誰呢
[00:00:31.480 --> 00:00:33.480]  在經文裏面一開始就給我們看到
[00:00:33.480 --> 00:00:35.080]  他們是一班寄居的
[00:00:35.080 --> 00:00:37.240]  是一班分散的
[00:00:37.240 --> 00:00:38.240]  當然可能會問
[00:00:38.240 --> 00:00:39.600]  為什麼他們會寄居呢
[00:00:39.600 --> 00:00:41.000]  為什麼他們會分散呢
[00:00:41.000 --> 00:00:44.720]  很明顯的就是這一班的收信人
[00:00:44.720 --> 00:00:47.240]  他們是面對一些的逼迫
[00:00:47.240 --> 00:00:49.880]  當然這個逼迫在歷史裏面
[00:00:49.880 --> 00:00:51.560]  有沒有和羅馬大火有關呢
[00:00:51.560 --> 00:00:53.560]  這個仍然有很多的爭議性
[00:00:53.560 --> 00:00:54.960]  但是無可否認的
[00:00:54.960 --> 00:00:59.640]  他一定是在這個逼迫的前後的階段
[00:00:59.640 --> 00:01:01.640]  甚至乎在這段時間裏面
[00:01:01.640 --> 00:01:05.360]  信徒就經歷很多的不同的信仰
[00:01:05.360 --> 00:01:07.640]  所帶來的一些挑戰
[00:01:07.640 --> 00:01:10.560]  當中可能是言語的逼迫
[00:01:10.560 --> 00:01:14.040]  或者是家庭社會的挑戰等等
[00:01:14.040 --> 00:01:16.320]  如果我們從聖經的內文裏面
[00:01:16.320 --> 00:01:18.600]  你會看到很多不同的經文
