
[00:00:00.000 --> 00:00:01.540]  弟兄姐妹平安!
[00:00:01.540 --> 00:00:05.620]  我一直都很想跟大家講這個題目,
[00:00:05.620 --> 00:00:12.020]  因為我很想讓弟兄姐妹能夠從聖經的記載
[00:00:12.020 --> 00:00:16.780]  瞭解到我們的神是那位掌管歷史的主。
[00:00:16.780 --> 00:00:21.520]  我們的設計師把這個主的點變成了一個皇冠,
[00:00:21.520 --> 00:00:24.780]  所以我們容易讀成王,是掌管歷史的主。
[00:00:24.780 --> 00:00:29.520]  那麼我們就求上帝祝福我們今天一起來聽到
[00:00:29.520 --> 00:00:34.260]  同樣的我們來求上帝預備我們的心,我們做個禱告。
[00:00:34.260 --> 00:00:38.600]  主啊,我們知道耶穌曾經說過
[00:00:38.600 --> 00:00:44.100]  人的心要變成一個柔軟謙卑的好土,
[00:00:44.100 --> 00:00:46.480]  才能夠領受神的道。
[00:00:46.480 --> 00:00:49.600]  因此主啊,我們求禰與我們同在,
[00:00:49.600 --> 00:00:53.860]  求禰真的是使我們的心在此時此刻,
[00:00:53.860 --> 00:00:56.340]  我們把我們的生命分別為聖,
[00:00:56.340 --> 00:00:58.220]  這個時間是屬於你的。
[00:00:58.220 --> 00:01:00.700]  我們巴不得你對我們說話,
[00:01:00.700 --> 00:01:05.900]  以至我們的內心能夠完完全全的吸收上帝你要對我們說的話。
[00:01:05.900 --> 00:01:09.740]  求上帝與我們同在,祝福我們,帶領我們,
[00:01:09.740 --> 00:01:13.320]  我們禱告奉主耶穌基督的聖名祈求。
[00:01:13.320 --> 00:01:15.080]  Amen。
[00:01:15.080 --> 00:01:17.420]  這是我們今天看的經文,
[00:01:17.420 --> 00:01:18.700]  我們看見呢,
[00:01:18.700 --> 00:01:22.120]  但以理呢,他在什麼時候說這句話呢?
[00:01:22.120 --> 00:01:26.960]  但以理呢,他是屬於當以色列人已經被擄了,
[00:01:26.960 --> 00:01:30.800]  被抓到其他的國家,就是巴比倫,
[00:01:30.800 --> 00:01:33.880]  在那裡做其他國家的俘虜。
[00:01:33.880 --> 00:01:39.240]  那麼,那裡呢,那個王也選了一些非常優秀的人才,
[00:01:39.240 --> 00:01:41.300]  他們有搶人才計劃。
[00:01:41.300 --> 00:01:43.340]  那麼,但以理就是其中一個啊。
[00:01:43.340 --> 00:01:45.900]  那麼就選了他,然後呢,
[00:01:45.900 --> 00:01:51.280]  然後就要栽培他們,看看這些人才能不能服侍這個帝國啊。
[00:01:51.280 --> 00:01:54.100]  那麼,這個王呢,很有性格的啊,
[00:01:54.100 --> 00:01:56.400]  他呢,有一天他做了一個夢,
[00:01:56.400 --> 00:02:02.240]  然後呢,他要他的全國的那些的術士呢,都來給他解夢。
[00:02:02.240 --> 00:02:04.040]  但是你知道問題是什麼嗎?
[00:02:04.040 --> 00:02:06.600]  如果你是當時的其中一個術士呢,
[00:02:06.600 --> 00:02:10.940]  你會很頭痛,因為那些術士問那個王呢,
[00:02:10.940 --> 00:02:14.020]  王啊,你做了什麼夢?
[00:02:14.020 --> 00:02:18.100]  王說,我忘了。
[00:02:18.100 --> 00:02:21.440]  然後就是,又忘了還要他們解夢。
[00:02:21.440 --> 00:02:25.280]  然後,這些術士呢,就沒辦法解夢。
[00:02:25.280 --> 00:02:29.000]  然後,第二次王再問,我要他們來給我解夢。
[00:02:29.000 --> 00:02:32.200]  他們再問,王啊,你到底做了什麼夢?
[00:02:32.200 --> 00:02:33.980]  希望他想起來了。
[00:02:33.980 --> 00:02:35.520]  王說,我忘記了。
[00:02:35.520 --> 00:02:38.080]  然後說什麼呢?這些人一定是找藉口,
[00:02:38.080 --> 00:02:39.620]  不肯為我解夢。
[00:02:39.620 --> 00:02:44.220]  所以呢,我決定呢,把全國的術士呢,全部殺了。
[00:02:44.220 --> 00:02:45.500]  全部殺了。
[00:02:45.500 --> 00:02:47.800]  那麼,在這樣的情況下呢,
[00:02:47.800 --> 00:02:51.400]  這些人就很慌張了,他們就記得但以理,
[00:02:51.400 --> 00:02:54.200]  然後去求但以理來解夢。
[00:02:54.200 --> 00:02:58.760]  但以理呢,就叫他的幾個朋友為他禱告,
[00:02:58.760 --> 00:03:00.400]  因為他要去解夢,他也不忍,
[00:03:00.400 --> 00:03:03.880]  這些人,無辜的人,就要被這個王殺了。
