
[00:00:00.000 --> 00:00:04.760]   Thank you, Pastor John.
[00:00:04.760 --> 00:00:10.720]   It is delightful to be able to bring to you the Word of God tonight.
[00:00:10.720 --> 00:00:18.400]   And it's been an amazing series so far, just to be able to look into the Book of Revelation
[00:00:18.400 --> 00:00:23.400]   and the seven letters to the seven churches.
[00:00:23.400 --> 00:00:30.400]   We start off with the book, the letter to the Church of Ephesus.
[00:00:30.400 --> 00:00:36.760]   Now if we open the PowerPoint, we'll see that Ephesus was the New York of that time.
[00:00:36.760 --> 00:00:39.000]   It had over 200,000 people, right?
[00:00:39.000 --> 00:00:44.000]   It was the New York and the busiest, the most popular city of that time.
[00:00:44.000 --> 00:00:48.480]   Yet Jesus was saying to them, "You have lost your first love.
[00:00:48.480 --> 00:00:51.680]   You have lost your first love."
[00:00:51.680 --> 00:00:55.400]   We looked into the letter to Smyrna.
[00:00:55.400 --> 00:00:58.640]   It was the fragrance capital.
[00:00:58.640 --> 00:01:05.880]   It was like one of the, you know, Southern France fragrance capitals like now, right?
[00:01:05.880 --> 00:01:08.160]   Most of the fragrance of the world comes from France.
[00:01:08.160 --> 00:01:10.280]   But they were a suffering church.
[00:01:10.280 --> 00:01:14.360]   Jesus said they were poor, but yet they were rich in Christ.
[00:01:14.360 --> 00:01:19.720]   And Jesus was asking them to stay faithful, stay faithful.
[00:01:19.720 --> 00:01:21.640]   We looked at Pergamum, right?
[00:01:21.640 --> 00:01:27.360]   It was a worldly church and Jesus was telling them to repent and follow God.
[00:01:27.360 --> 00:01:30.600]   Stop accepting the ways of the world.
[00:01:30.600 --> 00:01:35.120]   Thyatira, they accepted wrong doctrine.
[00:01:35.120 --> 00:01:39.760]   And Jesus asked them to repent and follow God's word instead.
[00:01:39.760 --> 00:01:41.440]   Sardis was the dead church.
[00:01:41.440 --> 00:01:44.480]   And Jesus says, "Wake up, right?
[00:01:44.480 --> 00:01:45.960]   Strengthen what remains."
[00:01:45.960 --> 00:01:48.840]   Philadelphia, we looked at that last week.
[00:01:48.840 --> 00:01:54.920]   And Pastor Michelle did a great job of telling us how this church was spiritually alive.
[00:01:54.920 --> 00:01:57.720]   And Jesus told them to hold fast.
[00:01:57.720 --> 00:02:02.240]   And now finally, we arrive at the last church, Laodicea.
[00:02:02.240 --> 00:02:05.560]   And we're going to see what Jesus says to this church.
[00:02:05.560 --> 00:02:09.240]   And we'll read Revelations chapter three.
[00:02:09.240 --> 00:02:17.360]   So the angel of the church in Laodicea write, "These are the words of the Amen, the faithful
[00:02:17.360 --> 00:02:21.320]   and the true witness, the ruler of God's creation.
[00:02:21.320 --> 00:02:26.240]   I know your deeds that you are neither cold nor hot.
[00:02:26.240 --> 00:02:32.040]   I wish you were either one or the other.
[00:02:32.040 --> 00:02:39.520]   So because you are lukewarm, neither hot or cold, I'm about to spit you out of my mouth.
[00:02:39.520 --> 00:02:41.240]   You say, 'I am rich.
[00:02:41.240 --> 00:02:43.000]   I have acquired wealth.
[00:02:43.000 --> 00:02:44.600]   And I do not need a thing.'
[00:02:44.600 --> 00:02:53.720]   But you do not realize that you are wretched, pitiful, poor, blind, and naked.
[00:02:53.720 --> 00:03:01.360]   I counsel you to buy from me gold refined in the fire so that you can become rich and
[00:03:01.360 --> 00:03:10.560]   white clothes to wear so that you can cover your shameful nakedness and selves to put
[00:03:10.560 --> 00:03:15.840]   on your eyes so that you can see.
[00:03:15.840 --> 00:03:18.800]   Those whom I love, I rebuke and discipline.
[00:03:18.800 --> 00:03:20.880]   So be earnest and repent.
[00:03:20.880 --> 00:03:21.880]   Here I am.
[00:03:21.880 --> 00:03:24.280]   I stand at the door and knock.
[00:03:24.280 --> 00:03:30.960]   If anyone hears my voice and opens the door, I will come in and eat with that person and
[00:03:30.960 --> 00:03:33.000]   they with me.
[00:03:33.000 --> 00:03:38.600]   To the one who is victorious, I will give the right to sit with me on my throne just
[00:03:38.600 --> 00:03:43.880]   as I was victorious and sat down with my father on his throne.
[00:03:43.880 --> 00:03:50.800]   Whoever has ears, let them hear what the Spirit says to the churches."
[00:03:50.800 --> 00:03:58.480]   So we see firstly that Jesus says he introduces himself as the Amen.
[00:03:58.480 --> 00:04:04.900]   These are the words of the Amen, the faithful and the true witnesses.
[00:04:04.900 --> 00:04:11.140]   Now obviously we say Amen after every prayer and it means it's true.
[00:04:11.140 --> 00:04:19.040]   And Jesus himself claims that he is the truth, that he is the faithful and true witness.
[00:04:19.040 --> 00:04:25.960]   And we're going to see why Jesus claims that he or emphasizes here that he is the faithful
[00:04:25.960 --> 00:04:28.280]   and true.
[00:04:28.280 --> 00:04:31.760]   Firstly we're going to look into the Church of Laodicea.
[00:04:31.760 --> 00:04:39.760]   Three things, the criticism of this church, Christ's challenge for this church, and finally
[00:04:39.760 --> 00:04:46.320]   the covenant that Jesus makes and the promise that he makes with this church.
[00:04:46.320 --> 00:04:51.840]   So firstly let me introduce some background about the Church of Laodicea.
[00:04:51.840 --> 00:04:55.480]   It was the banking center of that region, right?
[00:04:55.480 --> 00:05:00.620]   It was the financial center of that world.
[00:05:00.620 --> 00:05:04.960]   They had huge banks and all the treasuries were there.
[00:05:04.960 --> 00:05:09.680]   It was, Laodicea was built on major trade routes, all right?
[00:05:09.680 --> 00:05:14.620]   So it was known for its beautiful textiles of woolen, of tunics.
[00:05:14.620 --> 00:05:19.840]   It was built on the trade routes where people would pass through, all the major trade routes.
[00:05:19.840 --> 00:05:26.300]   It also had a major breakthrough in eye medicine, special eye medicine, that people came from
[00:05:26.300 --> 00:05:32.720]   all over the world, Aesop, to have this cure for eye medicine.
[00:05:32.720 --> 00:05:41.680]   And so we will see how Jesus speaks intentionally into the specific characters, characteristics
[00:05:41.680 --> 00:05:43.920]   of this church.
[00:05:43.920 --> 00:05:49.880]   Well we read in verse 15 that Jesus claims, "I know your works.
[00:05:49.880 --> 00:05:59.320]   You are neither cold nor hot, that if you were either cold or hot, so because you are
[00:05:59.320 --> 00:06:04.560]   lukewarm, neither hot or cold, I will spit you out of my mouth."
[00:06:04.560 --> 00:06:08.880]   The traditional view is this, right?
[00:06:08.880 --> 00:06:14.860]   That you're not hot, you're not fervent, you're not zealous, you're not all in for Jesus,
[00:06:14.860 --> 00:06:19.640]   you're not cold, you're not uncommitted, you know, just don't care about Jesus.
[00:06:19.640 --> 00:06:26.680]   But Jesus interestingly here says that hot and cold are sort of positive things, right?
[00:06:26.680 --> 00:06:29.880]   You're neither cold nor hot.
[00:06:29.880 --> 00:06:36.880]   And we're going to see why Jesus says cold and hot were sort of good things.
[00:06:36.880 --> 00:06:44.160]   In the nearby cities, Hierapolis, it had hot springs, right?
[00:06:44.160 --> 00:06:45.340]   Who's been to the hot springs?
[00:06:45.340 --> 00:06:47.220]   Who likes hot springs?
[00:06:47.220 --> 00:06:50.160]   Hierapolis had these beautiful hot springs.
[00:06:50.160 --> 00:06:55.200]   They were medical, healing hot springs.
[00:06:55.200 --> 00:06:59.400]   Nearby there was also the city of Colossae.
[00:06:59.400 --> 00:07:01.060]   It was near the mountains.
[00:07:01.060 --> 00:07:06.580]   So they had fresh, life-giving spring water, right?
[00:07:06.580 --> 00:07:11.380]   But this city, Laodicea, did not have water.
[00:07:11.380 --> 00:07:13.660]   It did not have water.
[00:07:13.660 --> 00:07:23.100]   In fact, they had to build pipes from nearby cities to ship in the water.
[00:07:23.100 --> 00:07:30.020]   And as this water was coming in, the sun would heat it up and it would become sort of lukewarm,
[00:07:30.020 --> 00:07:31.280]   tepid.
[00:07:31.280 --> 00:07:36.180]   And also it was full of minerals, this water.
[00:07:36.180 --> 00:07:41.820]   And I remember going to the city of Waterloo, the University of Waterloo, which is pretty
[00:07:41.820 --> 00:07:42.820]   close to Toronto.
[00:07:42.820 --> 00:07:46.900]   I know some of our students, you know, go there.
[00:07:46.900 --> 00:07:51.060]   And when I was staying over there, I looked into the tap water and there was like white
[00:07:51.060 --> 00:07:52.300]   residue on it.
[00:07:52.300 --> 00:07:54.540]   There was minerals on it.
[00:07:54.540 --> 00:07:57.860]   This was the kind of water that Laodicea had.
[00:07:57.860 --> 00:08:00.500]   It was full of minerals.
[00:08:00.500 --> 00:08:04.660]   You know, if you boiled it, it would, you know, sort of sink up the air.
[00:08:04.660 --> 00:08:09.140]   If you boiled your vegetables, it would change the taste of the vegetables.
[00:08:09.140 --> 00:08:16.020]   This water, it wasn't refreshing and cold like Colossae, you know, which you could bottle,
[00:08:16.020 --> 00:08:17.020]   right?
[00:08:17.020 --> 00:08:18.480]   Colossae bottled water.
[00:08:18.480 --> 00:08:23.100]   It wasn't the healing hot spring water of Hierapolis.
[00:08:23.100 --> 00:08:28.460]   This water in Laodicea was tepid, full of minerals.
[00:08:28.460 --> 00:08:32.260]   You wanted to spit it out of your mouth.
[00:08:32.260 --> 00:08:35.420]   Have you eaten something and then like, "Ugh, it's rotten."
[00:08:35.420 --> 00:08:37.340]   You just want to spit it out of your mouth.
[00:08:37.340 --> 00:08:43.100]   And that is what Jesus says here, that you are like your water.
[00:08:43.100 --> 00:08:46.620]   I want to spit you out of my mouth.
[00:08:46.620 --> 00:08:53.500]   I don't want, you know, lukewarm water, mineralized, you know, it just didn't taste good.
[00:08:53.500 --> 00:08:57.120]   This water was no good.
[00:08:57.120 --> 00:09:02.700]   And so Christ's criticism against this church was of two things, as we see in the next slide
[00:09:02.700 --> 00:09:03.700]   here.
[00:09:03.700 --> 00:09:05.180]   One, it was the wrong work.
[00:09:05.180 --> 00:09:10.380]   They had the wrong work and they had the wrong evaluation.
[00:09:10.380 --> 00:09:12.660]   And so we're firstly going to see the wrong work.
[00:09:12.660 --> 00:09:16.540]   We don't know exactly what happened in this church.
[00:09:16.540 --> 00:09:18.860]   They either did no work for Jesus.
[00:09:18.860 --> 00:09:20.220]   They did not serve Jesus.
[00:09:20.220 --> 00:09:26.420]   They did not have a heart for Jesus or their work was compromised.
[00:09:26.420 --> 00:09:32.020]   Obviously in the Roman situation back then, there was a lot of adulterous worship, just
[00:09:32.020 --> 00:09:34.860]   like we saw in all the other cities.
[00:09:34.860 --> 00:09:42.260]   And possibly this church was influenced by the Roman idolatry, right?
[00:09:42.260 --> 00:09:49.780]   Their church had become so accustomed to the Roman idolatry ways and traditions that they
[00:09:49.780 --> 00:09:54.980]   were not effective and unfaithful in their witness for Jesus.
[00:09:54.980 --> 00:09:59.660]   And secondly, Jesus criticizes them of wrong evaluation.
[00:09:59.660 --> 00:10:02.500]   He says here, "For you say, I am rich.
[00:10:02.500 --> 00:10:04.740]   I have prospered.
[00:10:04.740 --> 00:10:17.660]   I need nothing, not realizing that you are wretched, pitiful, poor, blind, and naked."
[00:10:17.660 --> 00:10:26.660]   In fact, they may have equated their economic prosperity with their spiritual health.
[00:10:26.660 --> 00:10:31.800]   Laodicea was the richest city of that time.
[00:10:31.800 --> 00:10:32.980]   It was so rich.
[00:10:32.980 --> 00:10:36.580]   In fact, in AD 17, there was a massive earthquake, right?
[00:10:36.580 --> 00:10:41.100]   It hit all the cities, Philadelphia and Laodicea.
[00:10:41.100 --> 00:10:46.420]   And a lot of these cities were crying out to Rome, "Rome, we need your help.
[00:10:46.420 --> 00:10:48.060]   Help us restore our buildings.
[00:10:48.060 --> 00:10:49.060]   It's all collapsed."
[00:10:49.060 --> 00:10:51.260]   Laodicea was so rich.
[00:10:51.260 --> 00:10:53.580]   They said, "We don't need your help, Rome.
[00:10:53.580 --> 00:10:56.620]   We can build back our city ourselves."
[00:10:56.620 --> 00:10:59.460]   That's how rich Laodicea was.
[00:10:59.460 --> 00:11:01.220]   Laodicea was so rich.
[00:11:01.220 --> 00:11:04.940]   They had two coliseums.
[00:11:04.940 --> 00:11:08.060]   Ephesus was a population around 200,000.
[00:11:08.060 --> 00:11:09.860]   They had one coliseum.
[00:11:09.860 --> 00:11:12.460]   Laodicea had 40,000 people.
[00:11:12.460 --> 00:11:14.860]   They had two coliseums.
[00:11:14.860 --> 00:11:17.220]   That's how rich they were.
[00:11:17.220 --> 00:11:21.700]   They were, in modern city, it would be maybe like Dubai, right?
[00:11:21.700 --> 00:11:28.780]   With its Dubai Mall, with its huge towers, with its fancy restaurants, with its posh
[00:11:28.780 --> 00:11:31.260]   cars and shops.
[00:11:31.260 --> 00:11:36.540]   Laodicea may have been like Hong Kong, the financial center.
[00:11:36.540 --> 00:11:44.140]   Laodicea was so rich, and yet Jesus said to this church, "You think you're rich, but in
[00:11:44.140 --> 00:11:46.820]   fact you are poor."
[00:11:46.820 --> 00:11:51.140]   And we learned of a church that was poor, Smyrna, right?
[00:11:51.140 --> 00:11:55.420]   They didn't conform to the idolatry of that time.
[00:11:55.420 --> 00:11:59.340]   They did not conform to the ways of the world.
[00:11:59.340 --> 00:12:01.700]   And because of that, they were physically poor.
[00:12:01.700 --> 00:12:05.980]   They may have not had jobs or could not trade or do business, but yet Jesus said they were
[00:12:05.980 --> 00:12:07.620]   spiritually rich.
[00:12:07.620 --> 00:12:12.860]   And Jesus says that Laodicea is sort of the opposite.
[00:12:12.860 --> 00:12:22.380]   They are rich physically, but poor spiritually.
[00:12:22.380 --> 00:12:28.860]   And could that be us today, in our situation, as we see in the next slide, that we have
[00:12:28.860 --> 00:12:32.860]   conformed to this world?
[00:12:32.860 --> 00:12:38.700]   Is Jesus accusing us today of the wrong works, that either we've conformed to the patterns
[00:12:38.700 --> 00:12:45.940]   of this world or that we have the wrong evaluation of ourselves?
[00:12:45.940 --> 00:12:52.840]   You know, ever since I've been in Hong Kong for three years now, time passes so quickly,
[00:12:52.840 --> 00:12:59.920]   I've seen that Hong Kong people are just rushing from appointment to appointment, rushing from
[00:12:59.920 --> 00:13:02.660]   MTR to MTR.
