
[00:00:00.000 --> 00:00:03.500]  各位explorer、各位mentor,早安
[00:00:03.500 --> 00:00:07.520]  今天我們會繼續去看什麼書卷
[00:00:07.520 --> 00:00:11.700]  是的,貼紗來加錢書
[00:00:11.700 --> 00:00:14.700]  不過因為今天是第五個星期
[00:00:14.700 --> 00:00:17.640]  所以剛才說有小組會去到outing
[00:00:17.640 --> 00:00:21.380]  所以通常第五個星期的訊息會稍為短一點
[00:00:21.380 --> 00:00:23.380]  不過在開始的時候
[00:00:23.380 --> 00:00:26.080]  都很想問大家一個問題
[00:00:26.080 --> 00:00:29.180]  就不是這個,就是這個
[00:00:29.980 --> 00:00:36.580]  如果今天你可以問上帝一條關於世界末日的事情
[00:00:36.580 --> 00:00:39.380]  我想問你會問什麼?
[00:00:39.380 --> 00:00:43.580]  是,大聲一點
[00:00:43.580 --> 00:00:45.880]  什麼時候死?好,還有沒有其他?
[00:00:45.880 --> 00:00:49.280]  有沒有另一條不同的?
[00:00:49.280 --> 00:00:51.280]  不是,OK
[00:00:51.280 --> 00:00:53.480]  有沒有試一下,你會問什麼問題?
[00:00:53.480 --> 00:00:56.480]  如果你可以問上帝一條關於世界末日的問題
[00:00:56.480 --> 00:00:57.780]  好,後面大聲一點
[00:00:57.780 --> 00:00:59.280]  OK的
[00:00:59.780 --> 00:01:01.580]  Why do you choose to end the world?
[00:01:01.580 --> 00:01:03.780]  OK,good
[00:01:03.780 --> 00:01:05.280]  還有沒有其他?後面
[00:01:05.280 --> 00:01:08.580]  如何在這裡生存?
[00:01:08.580 --> 00:01:10.580]  現在不是生存中,是嗎?
[00:01:10.580 --> 00:01:12.080]  還有呢?
[00:01:12.080 --> 00:01:21.080]  Would we feel the sadness when we see the people who aren't safe?
[00:01:21.080 --> 00:01:24.780]  OK,會有不開心,有sorrow
[00:01:24.780 --> 00:01:26.380]  當見到有人沒得救
[00:01:26.380 --> 00:01:28.580]  他的心情是怎樣?非常之好
[00:01:28.580 --> 00:01:29.380]  還有沒有其他?
[00:01:29.380 --> 00:01:32.680]  有沒有?
[00:01:32.680 --> 00:01:36.280]  女生,有沒有一個姐妹,有沒有一個女生可以說一下?
[00:01:36.280 --> 00:01:37.280]  怎麼看?
[00:01:37.280 --> 00:01:41.880]  Lisa,有沒有想法?
[00:01:41.880 --> 00:01:50.180]  世界什麼時候毀滅?日期是什麼?
[00:01:50.180 --> 00:01:52.080]  好,謝謝大家
[00:01:52.080 --> 00:01:56.380]  我記得當年,我第一次問這類的問題
[00:01:56.680 --> 00:01:58.980]  是我讀中三的時期
[00:01:58.980 --> 00:02:02.680]  當時我在香港讀書,還沒去英國
[00:02:02.680 --> 00:02:08.280]  我記得在家中,有一晚我們家中收到電話
[00:02:08.280 --> 00:02:12.280]  就是家中有人打來
[00:02:12.280 --> 00:02:15.980]  我忘記了是爺爺還是二伯等等
[00:02:15.980 --> 00:02:18.380]  當時他告訴我們
[00:02:18.380 --> 00:02:22.980]  媽媽突然在家中暈倒,進了醫院
[00:02:23.580 --> 00:02:27.780]  誰知到醫院才知道他腦中風
[00:02:27.780 --> 00:02:30.980]  結果三天之內就去世了
[00:02:30.980 --> 00:02:34.580]  當然,很傷感
[00:02:34.580 --> 00:02:37.280]  我都沒見過我爸爸哭得這麼厲害
[00:02:37.280 --> 00:02:39.980]  當時就是這樣的處境
[00:02:39.980 --> 00:02:44.880]  在那段時間,我記得我第一次問上帝
[00:02:44.880 --> 00:02:47.980]  究竟人死了會去哪裡?
[00:02:47.980 --> 00:02:50.880]  究竟人死了會去哪裡?
[00:02:51.380 --> 00:02:54.180]  當時我才真正體會到
[00:02:54.180 --> 00:02:56.480]  原來人的生命是這麼脆弱
[00:02:56.480 --> 00:03:01.180]  原來我們的生命不是掌管在我的手中
[00:03:01.180 --> 00:03:02.680]  當時我是中三
[00:03:02.680 --> 00:03:08.380]  不過,雖然我覺得在那一刻,那三天
[00:03:08.380 --> 00:03:12.080]  我突然之間,就成長了
[00:03:12.080 --> 00:03:17.680]  但我回想起這事件
[00:03:17.680 --> 00:03:20.480]  原來在那一年,在那段時間
[00:03:20.480 --> 00:03:24.680]  我就因為這樣,間接去決志信耶穌
[00:03:24.680 --> 00:03:29.280]  因為我開始去問,究竟我的人生是怎樣的
[00:03:29.280 --> 00:03:30.280]  當時我是中三
[00:03:30.280 --> 00:03:34.280]  亦都很感恩的是,當時我問父母
[00:03:34.280 --> 00:03:38.080]  原來他通過媽媽去到傳福音
[00:03:38.080 --> 00:03:39.480]  即是信了耶穌
[00:03:39.480 --> 00:03:42.480]  所以他會在天堂等我們
[00:03:42.480 --> 00:03:44.680]  當時得到的訊息是這樣
[00:03:45.480 --> 00:03:48.280]  所以今天講一個比較沉重的題目
[00:03:48.280 --> 00:03:52.080]  就是關於死亡,關於末世
[00:03:52.080 --> 00:03:57.480]  我不知道你對末世,對未來有什麼想像
[00:03:57.480 --> 00:04:00.980]  可能曾經,不知道你有沒有試過去畫
[00:04:00.980 --> 00:04:02.880]  究竟天堂是怎樣的
[00:04:02.880 --> 00:04:08.080]  很怕忘記的是,今天當我們去聽到關於末世的事情
[00:04:08.080 --> 00:04:10.780]  那個目的不是要我們去怎樣?
[00:04:10.780 --> 00:04:12.080]  不是要我們去認叻?
[00:04:12.080 --> 00:04:13.880]  不是要告訴別人
[00:04:13.880 --> 00:04:16.480]  我早就知道有這樣的事情發生
[00:04:16.480 --> 00:04:17.480]  你看我多聰明
[00:04:17.480 --> 00:04:18.280]  不是這樣
[00:04:18.280 --> 00:04:21.080]  亦都不是要讓我們變得很敏感
[00:04:21.080 --> 00:04:22.680]  覺得,哎呀,死了
[00:04:22.680 --> 00:04:24.880]  有這件事,新聞說有這樣的事情
[00:04:24.880 --> 00:04:26.280]  我很害怕,死了
[00:04:26.280 --> 00:04:29.480]  耶穌是不是下星期會回來?
[00:04:29.480 --> 00:04:30.880]  我不用讀書了
[00:04:30.880 --> 00:04:32.080]  亦都不是這樣
[00:04:32.080 --> 00:04:35.480]  相反,今天我們要認識末世的事情
[00:04:35.480 --> 00:04:37.480]  是要帶來一種盼望
[00:04:37.480 --> 00:04:40.880]  而這個盼望是會影響我們今天
[00:04:40.880 --> 00:04:42.880]  怎樣去過我們的生活
[00:04:43.680 --> 00:04:44.280]  是不是?
[00:04:44.280 --> 00:04:45.080]  認不認同?
[00:04:45.080 --> 00:04:47.280]  今天就要我們一起去看
[00:04:47.280 --> 00:04:49.680]  所以我就設定了一個主題
[00:04:49.680 --> 00:04:51.480]  剛才可能有人未看到,在後面
[00:04:51.480 --> 00:04:56.480]  叫做,我為何選擇活得與別人不一樣
[00:04:56.480 --> 00:05:01.280]  這個是我在想,究竟可以定什麼主題呢?
[00:05:01.280 --> 00:05:02.680]  所以今天是講末世
[00:05:02.680 --> 00:05:06.480]  在開始的時候,都邀請大家一起去讀今天的經文
[00:05:06.480 --> 00:05:08.280]  我們由13節
