
[00:00:00.000 --> 00:00:07.000]  我們在神的豐富的恩典中 一起來敬拜 一起來感受神的愛
[00:00:07.000 --> 00:00:14.000]  剛才我敬拜的時候特別感動 因為我們是誰呢?
[00:00:14.000 --> 00:00:18.000]  我們竟然能夠有這位造物主這樣的眷顧
[00:00:18.000 --> 00:00:25.000]  在我們的生命中 不只是讓我們有生活 還讓我們有愛
[00:00:25.000 --> 00:00:33.000]  還讓我們有身邊許多美好的人 成為我們的家人朋友 弟兄姊妹
[00:00:33.000 --> 00:00:35.000]  我們生命中有許多的美好
[00:00:35.000 --> 00:00:42.000]  有時候我們真的不知道上帝為什麼這麼愛我們
[00:00:42.000 --> 00:00:46.000]  今天要跟大家分享的就是如何明白神的旨意
[00:00:46.000 --> 00:00:51.000]  那麼明白神的旨意 這個題目是非常非常重要的
[00:00:51.000 --> 00:00:57.000]  因為我們如果不知道我們來這個世上幹什麼
[00:00:57.000 --> 00:01:02.000]  我們真的是沒有方向 可以沒有方向
[00:01:02.000 --> 00:01:07.000]  但是如果我們不明白造物主的旨意
[00:01:07.000 --> 00:01:11.000]  我們就沒有辦法明白人生的方向是什麼
[00:01:11.000 --> 00:01:16.000]  我們會聽別人說 我們會自己去猜 去估計
[00:01:16.000 --> 00:01:22.000]  我們都經歷過 我們有時候就覺得到底這是我的人生嗎?
[00:01:22.000 --> 00:01:25.000]  我的人生就是這樣嗎?
[00:01:25.000 --> 00:01:28.000]  所以我們如果沒有明白神的旨意
[00:01:28.000 --> 00:01:32.000]  就不能夠明白自己的人生到底要往哪裡走
[00:01:32.000 --> 00:01:36.000]  就不知道要為何而活
[00:01:36.000 --> 00:01:40.000]  因為有些時候生活可以是很辛苦的
[00:01:40.000 --> 00:01:43.000]  有些時候是可以很無聊的
[00:01:43.000 --> 00:01:47.000]  當然有很多歡樂的時間也有
[00:01:47.000 --> 00:01:51.000]  但是整體來說 當我們一個人安靜的時候
[00:01:51.000 --> 00:01:55.000]  到底這人生是為什麼 這非常的重要
[00:01:55.000 --> 00:01:58.000]  那麼如果我們不知道為什麼而活
[00:01:58.000 --> 00:02:00.000]  我們很可能就隨波逐流了
[00:02:00.000 --> 00:02:04.000]  時間人生的洪流會推著你
[00:02:04.000 --> 00:02:09.000]  順著各樣的所謂的正常的一般的軌道推著你走
[00:02:09.000 --> 00:02:14.000]  你好像一個漂浮在海洋中的一塊木板
[00:02:14.000 --> 00:02:18.000]  那海洋要推你往哪裡走 你就往哪裡走
[00:02:18.000 --> 00:02:22.000]  你就順著整個社會的制度
[00:02:22.000 --> 00:02:26.000]  念書 找工作 結婚 生孩子
[00:02:26.000 --> 00:02:28.000]  然後想著怎麼樣退休
[00:02:28.000 --> 00:02:32.000]  然後就怎麼樣為孩子找房子等等
[00:02:32.000 --> 00:02:34.000]  然後又為孩子找工作
[00:02:34.000 --> 00:02:37.000]  然後又來了 又重複了
[00:02:37.000 --> 00:02:39.000]  然後這個世界的洪流
[00:02:39.000 --> 00:02:44.000]  我們講海洋中的一塊木板 推著我們走
[00:02:44.000 --> 00:02:48.000]  那麼另外如果我們不明白神的旨意
[00:02:48.000 --> 00:02:51.000]  還有一個缺失 可能我們沒有留意到的
[00:02:51.000 --> 00:02:52.000]  那是什麼呢
[00:02:52.000 --> 00:02:56.000]  那就是我們沒有辦法真正的享受
[00:02:56.000 --> 00:03:02.000]  上帝為我們設計的人生的精彩跟滿足
[00:03:02.000 --> 00:03:05.000]  因為上帝愛我們
[00:03:05.000 --> 00:03:08.000]  他為我們每一個人設計的人生
[00:03:08.000 --> 00:03:13.000]  其實是比你想像中還要精彩跟滿足的
[00:03:13.000 --> 00:03:15.000]  如果你不明白他的心意
[00:03:15.000 --> 00:03:17.000]  你就隨著這世界給你的定義
[00:03:17.000 --> 00:03:19.000]  你就以為是這樣
[00:03:19.000 --> 00:03:24.000]  那你就錯過了那種精彩
[00:03:24.000 --> 00:03:30.000]  那麼在啟發課程 順便賣個廣告
[00:03:30.000 --> 00:03:35.000]  我們也會在5月31號開始一下
[00:03:35.000 --> 00:03:39.000]  在職場的五間的啟發課程
[00:03:39.000 --> 00:03:41.000]  我們構思了一段時間
[00:03:41.000 --> 00:03:44.000]  我們決定用5月31號開始
[00:03:44.000 --> 00:03:46.000]  就在中午的時間
[00:03:46.000 --> 00:03:49.000]  你如果有朋友在附近工作的
[00:03:49.000 --> 00:03:51.000]  可以邀請他們過來
[00:03:51.000 --> 00:03:54.000]  在群裡面可以找到詳細的情形
[00:03:54.000 --> 00:03:58.000]  那麼在這個啟發課程
[00:03:58.000 --> 00:04:00.000]  他有告訴我們
[00:04:00.000 --> 00:04:03.000]  明白神的旨意的五個方法
[00:04:03.000 --> 00:04:05.000]  今天我不會講這個
[00:04:05.000 --> 00:04:08.000]  因為這個是我們大家都比較熟悉的
[00:04:08.000 --> 00:04:11.000]  我略略的提一下
[00:04:11.000 --> 00:04:12.000]  在那個課程裡面教我們
