
[00:00:00.000 --> 00:00:03.480]  我們繼續我們的第一次聖誕節
[00:00:03.480 --> 00:00:09.240]  今天講All for the Righteous Gospel
[00:00:09.240 --> 00:00:14.880]  我們看到保羅寫這個信給哥林哥書
[00:00:14.880 --> 00:00:19.800]  因為這個教會有很多問題
[00:00:19.800 --> 00:00:24.360]  我們已經很多星期講了很多不同的問題
[00:00:24.360 --> 00:00:27.320]  這個教會又有worldly thinking
[00:00:27.320 --> 00:00:31.320]  他們又覺得保羅的領導有些問題
[00:00:31.320 --> 00:00:33.560]  他們又有sexual immorality
[00:00:33.560 --> 00:00:37.320]  那個社會是很自由的
[00:00:37.320 --> 00:00:38.840]  是很隨便的
[00:00:38.840 --> 00:00:40.840]  男女關係是很隨便的
[00:00:40.840 --> 00:00:45.320]  他們自己教會裏面又有些不同的爭議
[00:00:45.320 --> 00:00:47.800]  又爭不同的東西
[00:00:47.800 --> 00:00:49.320]  我告你 你告我
[00:00:49.320 --> 00:00:52.520]  然後幾個星期前
[00:00:52.520 --> 00:00:58.360]  Divina又說他們要保持他們的身體聖誕
[00:00:58.360 --> 00:01:01.240]  還有Pastor Carmen上個星期就說
[00:01:01.240 --> 00:01:05.000]  有些人覺得食物
[00:01:05.000 --> 00:01:06.760]  sacrifice to idol
[00:01:06.760 --> 00:01:09.160]  獻給那些idol是可以吃的
[00:01:09.160 --> 00:01:11.160]  有些人覺得不可以吃的
[00:01:11.160 --> 00:01:13.960]  這麼骯髒的食物是不可以的
[00:01:13.960 --> 00:01:15.560]  但是保羅就說什麼
[00:01:15.560 --> 00:01:17.560]  記不記得保羅說什麼
[00:01:17.560 --> 00:01:22.680]  God is greater than everything
[00:01:22.680 --> 00:01:25.080]  所以我們吃飯有沒有祈禱
[00:01:25.080 --> 00:01:28.440]  吃飯祈禱就ok了
[00:01:28.440 --> 00:01:30.920]  你吃麥當勞都ok了
[00:01:30.920 --> 00:01:33.800]  你覺得怎樣
[00:01:33.800 --> 00:01:37.400]  你order12個mcnuggets
[00:01:37.400 --> 00:01:39.560]  喝個coca cola
[00:01:39.560 --> 00:01:41.560]  你跟神祈禱
[00:01:41.560 --> 00:01:43.000]  God bless this meal
[00:01:43.000 --> 00:01:44.200]  這樣就ok了
[00:01:44.200 --> 00:01:45.400]  I don't know
[00:01:45.400 --> 00:01:47.640]  ethical question
[00:01:47.640 --> 00:01:49.640]  我們都要討論一下
[00:01:49.640 --> 00:01:54.040]  主耶穌會不會真的祝福這個食物
[00:01:54.040 --> 00:01:57.400]  還有一個問題
[00:01:57.400 --> 00:01:59.400]  今個星期我們就看
[00:01:59.400 --> 00:02:02.600]  Questions Paul's Apostleship and Support
[00:02:02.600 --> 00:02:05.720]  今天我們會看這個教會
[00:02:05.720 --> 00:02:08.280]  就說我們不會支持保羅
[00:02:08.280 --> 00:02:09.640]  他的教會
[00:02:09.640 --> 00:02:11.320]  怎樣支持
