
[00:00:00.000 --> 00:00:06.240]   So good evening everyone.
[00:00:06.240 --> 00:00:12.200]   Tonight we're going to start on a new series on the book of Ecclesiastes.
[00:00:12.200 --> 00:00:18.460]   Now the topic that we'll be discussing today is, is life worth living?
[00:00:18.460 --> 00:00:24.400]   Now as you all or some of you might know, I am pregnant.
[00:00:24.400 --> 00:00:25.640]   I'll just show my tummy.
[00:00:25.640 --> 00:00:31.640]   This is not eating too much potato chips for sure.
[00:00:31.640 --> 00:00:37.760]   And so Philemon and I are expecting to have a baby in December and we're extremely excited
[00:00:37.760 --> 00:00:38.760]   about it.
[00:00:38.760 --> 00:00:42.520]   For those of you who want to ask, do we know if it's a boy or a girl yet?
[00:00:42.520 --> 00:00:51.440]   The answer is not yet, but we will be in about 10 days time when we do another round of scanning.
[00:00:51.440 --> 00:00:58.000]   Now I know that Pastor John really wanted me to do this, which is to hold my tummy and
[00:00:58.000 --> 00:01:03.080]   then ask, is life worth living?
[00:01:03.080 --> 00:01:08.600]   I mean he did mention that he can use his own belly, but I think it might mean something
[00:01:08.600 --> 00:01:10.440]   else if he did that.
[00:01:10.440 --> 00:01:12.780]   So let's stick with me I think.
[00:01:12.780 --> 00:01:18.560]   So as a new life begins from a baby's first breath to the last one, there's a lot of things
[00:01:18.560 --> 00:01:20.040]   that happen, right?
[00:01:20.040 --> 00:01:23.760]   And in the Hong Kong context, what does that mean?
[00:01:23.760 --> 00:01:28.320]   It means that the parents will have to start looking for a hospital to give birth.
[00:01:28.320 --> 00:01:34.920]   And then next thing you know, the child is born and he or she learns to walk and talk
[00:01:34.920 --> 00:01:37.400]   and learns to be cute.
[00:01:37.400 --> 00:01:38.880]   Maybe that part they don't have to learn.
[00:01:38.880 --> 00:01:40.960]   They're naturally born, right?
[00:01:40.960 --> 00:01:46.800]   And then of course you have to go through trying to line up for an interview to get
[00:01:46.800 --> 00:01:48.440]   into what?
[00:01:48.440 --> 00:01:50.560]   Kindergarten, okay?
[00:01:50.560 --> 00:01:55.000]   And then go through primary school trying to do all the exams so that you can get into
[00:01:55.000 --> 00:01:56.920]   good secondary school.
[00:01:56.920 --> 00:01:57.920]   And then what?
[00:01:57.920 --> 00:02:01.040]   You might start dating if your parents allow you.
