
[00:00:00.000 --> 00:00:03.600]  記不記得Carmen教授跟我們說了上個禮拜的事
[00:00:03.600 --> 00:00:05.600]  記不記得上個禮拜
[00:00:05.600 --> 00:00:10.100]  是有人被耶穌醫治 是不是
[00:00:10.100 --> 00:00:14.000]  他有什麼問題 記不記得
[00:00:14.000 --> 00:00:16.500]  What problem did this person have
[00:00:16.500 --> 00:00:17.500]  什麼問題
[00:00:17.500 --> 00:00:19.500]  中文是什麼 Carmen
[00:00:19.500 --> 00:00:21.100]  麻瘋 是不是
[00:00:21.100 --> 00:00:22.700]  It is leprosy
[00:00:22.700 --> 00:00:26.100]  Leprosy是很contagious的 是不是
[00:00:26.100 --> 00:00:28.100]  所以他們之前覺得
[00:00:28.100 --> 00:00:31.100]  他一碰到 或者在同一範疇
[00:00:31.100 --> 00:00:33.100]  Leprosy的那一個人
[00:00:33.100 --> 00:00:35.100]  他們就會被感染
[00:00:35.100 --> 00:00:37.100]  是不是 好像我們COVID那時候
[00:00:37.100 --> 00:00:41.100]  有沒有人沒有戴口罩
[00:00:41.100 --> 00:00:43.100]  很歡迎這個COVID 是不是
[00:00:43.100 --> 00:00:44.100]  很歡迎
[00:00:44.100 --> 00:00:46.100]  Come COVID come
[00:00:46.100 --> 00:00:47.100]  是不是
[00:00:47.100 --> 00:00:49.100]  不是 因為你保護你自己
[00:00:49.100 --> 00:00:50.100]  You wear a mask
[00:00:50.100 --> 00:00:51.100]  You wear gloves
[00:00:51.100 --> 00:00:55.100]  你有沒有看到美國那些
[00:00:55.100 --> 00:00:57.100]  購物 買購物
[00:00:57.100 --> 00:00:59.100]  他又有個Astronaut suit
[00:00:59.100 --> 00:01:02.100]  又有高利貸口罩
[00:01:02.100 --> 00:01:05.100]  全部是全身穿著的 是不是
[00:01:05.100 --> 00:01:07.100]  去機場有沒有人
[00:01:07.100 --> 00:01:10.100]  有個全身穿著口罩的
[00:01:10.100 --> 00:01:11.100]  其實我試過
[00:01:11.100 --> 00:01:13.100]  因為我有些Dental friend
[00:01:13.100 --> 00:01:15.100]  他就給我眼鏡
[00:01:15.100 --> 00:01:18.100]  那些全身口罩去機場
[00:01:18.100 --> 00:01:22.100]  上機 是不是
[00:01:22.100 --> 00:01:24.100]  We are afraid of disease
[00:01:24.100 --> 00:01:27.100]  Pastor Carmen 上個星期跟我們說了
[00:01:27.100 --> 00:01:30.100]  Jesus is greater than any disease
[00:01:30.100 --> 00:01:34.100]  Jesus is our lord and savior
[00:01:34.100 --> 00:01:37.100]  他不會被disease影響的 是不是
[00:01:37.100 --> 00:01:39.100]  Leprosy很重要
[00:01:39.100 --> 00:01:41.100]  You lose your senses
[00:01:41.100 --> 00:01:44.100]  你現在打擊那些senses
[00:01:44.100 --> 00:01:46.100]  你的thumb fingernail
[00:01:46.100 --> 00:01:48.100]  Imagine 沒了sense
[00:01:48.100 --> 00:01:51.100]  Maybe it's good for those who are
[00:01:51.100 --> 00:01:54.100]  I'm joking
[00:01:54.100 --> 00:01:55.100]  因為Jesus說
[00:01:55.100 --> 00:01:58.100]  If your leg causes you to sin
[00:01:58.100 --> 00:02:00.100]  Or your arm causes you to sin
[00:02:00.100 --> 00:02:03.100]  I'm just joking
[00:02:03.100 --> 00:02:05.100]  沒了sense
[00:02:05.100 --> 00:02:07.100]  又沒了鼻子的sense
[00:02:07.100 --> 00:02:08.100]  又沒了腳的sense
[00:02:08.100 --> 00:02:10.100]  因為they have no sense
[00:02:10.100 --> 00:02:12.100]  So they have no pain
[00:02:12.100 --> 00:02:14.100]  So they keep getting injured
[00:02:14.100 --> 00:02:16.100]  So that is what is happening
[00:02:16.100 --> 00:02:18.100]  今天我們會繼續
[00:02:18.100 --> 00:02:19.100]  The healing of Jesus
[00:02:19.100 --> 00:02:21.100]  The healing of Jesus
[00:02:21.100 --> 00:02:23.100]  我們會讀Luke 5
[00:02:23.100 --> 00:02:25.100]  Let's read this together
[00:02:25.100 --> 00:02:27.100]  Let's read English together
[00:02:27.100 --> 00:02:29.100]  1, 2, 3
[00:02:29.100 --> 00:02:31.100]  One day
[00:02:31.100 --> 00:02:35.100]  OK 耶穌是做很多奇妙
[00:02:35.100 --> 00:02:36.100]  跟著這裏
[00:02:36.100 --> 00:02:38.100]  Let's go to the news of Jesus slide
[00:02:38.100 --> 00:02:40.100]  News of Jesus slide
[00:02:40.100 --> 00:02:42.100]  跟著他們寫
[00:02:42.100 --> 00:02:43.100]  Luke是這樣寫
[00:02:43.100 --> 00:02:47.100]  The power of the lord was with Jesus to heal
[00:02:47.100 --> 00:02:50.100]  The power of the lord was with Jesus to heal
[00:02:50.100 --> 00:02:51.100]  那你一聽到
[00:02:51.100 --> 00:02:55.100]  有沒有人想神去醫治你
[00:02:55.100 --> 00:02:57.100]  Anybody want some sort of healing
[00:02:57.100 --> 00:02:59.100]  可能是ADHD
[00:02:59.100 --> 00:03:01.100]  可能是depression
[00:03:01.100 --> 00:03:03.100]  可能又physical
[00:03:03.100 --> 00:03:05.100]  咬柴又injury
[00:03:05.100 --> 00:03:09.100]  You want God to heal you
[00:03:09.100 --> 00:03:11.100]  那你之前呢
[00:03:11.100 --> 00:03:13.100]  醫生啊
[00:03:13.100 --> 00:03:17.100]  Physio 是不是很available
[00:03:17.100 --> 00:03:19.100]  耶穌的年代
[00:03:19.100 --> 00:03:20.100]  Is it readily available
[00:03:20.100 --> 00:03:21.100]  It's not
[00:03:21.100 --> 00:03:23.100]  不是每個角落都有醫院
[00:03:23.100 --> 00:03:25.100]  好像香港那樣
[00:03:25.100 --> 00:03:27.100]  So when they hear of a solution
[00:03:27.100 --> 00:03:29.100]  Of a miraculous solution
[00:03:29.100 --> 00:03:30.100]  他會怎樣
[00:03:30.100 --> 00:03:32.100]  He will line up
[00:03:32.100 --> 00:03:35.100]  你有沒有看到那些人
[00:03:35.100 --> 00:03:37.100]  Line up for 什麼
[00:03:37.100 --> 00:03:39.100]  香港是line up for 什麼
[00:03:39.100 --> 00:03:41.100]  Food 買東西
[00:03:41.100 --> 00:03:42.100]  買鞋
[00:03:42.100 --> 00:03:45.100]  Pokemon card
[00:03:45.100 --> 00:03:47.100]  或者入學校
[00:03:47.100 --> 00:03:50.100]  有些人父母都要排隊
[00:03:50.100 --> 00:03:52.100]  People line up
[00:03:52.100 --> 00:03:53.100]  So you can imagine
[00:03:53.100 --> 00:03:55.100]  如果耶穌在這個時代
[00:03:55.100 --> 00:03:57.100]  這裡沒有醫院
[00:03:57.100 --> 00:04:00.100]  很少醫生
[00:04:00.100 --> 00:04:02.100]  And then there is a solution
[00:04:02.100 --> 00:04:03.100]  Jesus is the solution
[00:04:03.100 --> 00:04:05.100]  He is a miraculous healer
[00:04:05.100 --> 00:04:07.100]  誰會排隊
[00:04:07.100 --> 00:04:08.100]  Who will line up
[00:04:08.100 --> 00:04:10.100]  你幫你婆婆
[00:04:10.100 --> 00:04:12.100]  阿姨叔叔
[00:04:12.100 --> 00:04:14.100]  你幫你阿姨叔叔排隊
[00:04:14.100 --> 00:04:16.100]  會不會
[00:04:16.100 --> 00:04:17.100]  Would you
[00:04:17.100 --> 00:04:18.100]  You would
[00:04:18.100 --> 00:04:20.100]  And so that is what he was saying
[00:04:20.100 --> 00:04:23.100]  Everybody from every town and village
[00:04:23.100 --> 00:04:25.100]  Galilee to Jerusalem
[00:04:25.100 --> 00:04:26.100]  To Judea
[00:04:26.100 --> 00:04:28.100]  個個都排隊去見
[00:04:28.100 --> 00:04:30.100]  去見耶穌
[00:04:30.100 --> 00:04:32.100]  個個都想有healing
[00:04:32.100 --> 00:04:36.100]  Everybody wants to be healed
[00:04:36.100 --> 00:04:40.100]  有一次耶穌在一間屋
[00:04:40.100 --> 00:04:42.100]  他在一間屋
[00:04:42.100 --> 00:04:44.100]  很多人
[00:04:44.100 --> 00:04:46.100]  有些朋友帶誰來
[00:04:46.100 --> 00:04:48.100]  有些朋友帶誰來
[00:04:48.100 --> 00:04:50.100]  A paralyzed man
[00:04:50.100 --> 00:04:51.100]  Next slide
[00:04:51.100 --> 00:04:52.100]  A paralyzed man
[00:04:52.100 --> 00:04:53.100]  OK
[00:04:53.100 --> 00:04:54.100]  A paralyzed man
[00:04:54.100 --> 00:04:57.100]  A paralyzed man是動不了的
[00:04:57.100 --> 00:04:58.100]  OK
[00:04:58.100 --> 00:04:59.100]  這個是
[00:04:59.100 --> 00:05:01.100]  這個paralyzed man
[00:05:01.100 --> 00:05:03.100]  有沒有人
[00:05:03.100 --> 00:05:04.100]  有沒有人看過一些video
[00:05:04.100 --> 00:05:06.100]  這些人是paralyzed的
[00:05:06.100 --> 00:05:10.100]  他們可不可以自己生存的
[00:05:10.100 --> 00:05:11.100]  Can they
[00:05:11.100 --> 00:05:12.100]  It's very hard
[00:05:12.100 --> 00:05:13.100]  是不是
[00:05:13.100 --> 00:05:15.100]  他動不了
[00:05:15.100 --> 00:05:19.100]  那要wheelchair
[00:05:19.100 --> 00:05:20.100]  之前有沒有wheelchair
[00:05:20.100 --> 00:05:22.100]  It was very difficult
[00:05:22.100 --> 00:05:24.100]  When was wheelchairs invented
[00:05:24.100 --> 00:05:26.100]  你可以Google
[00:05:26.100 --> 00:05:27.100]  Alright
[00:05:27.100 --> 00:05:28.100]  可能沒有wheelchair
[00:05:28.100 --> 00:05:32.100]  You relied on the goodness of your friends
[00:05:32.100 --> 00:05:34.100]  of your family 去幫你
[00:05:34.100 --> 00:05:35.100]  是不是
[00:05:35.100 --> 00:05:36.100]  如果你是paralyzed
[00:05:36.100 --> 00:05:37.100]  你今天paralyzed
[00:05:37.100 --> 00:05:39.100]  誰會幫你
