
[00:00:00.000 --> 00:00:02.000]  大型姐妹早晨
[00:00:02.000 --> 00:00:07.520]  今天我們會繼續來看啟示錄
[00:00:07.520 --> 00:00:10.000]  這是最後那一章
[00:00:10.000 --> 00:00:13.280]  22章 我們今天看的經文不是很長
[00:00:13.280 --> 00:00:14.320]  只是五節
[00:00:14.320 --> 00:00:16.720]  但這五節是和我上一堂
[00:00:16.720 --> 00:00:19.120]  和大家所說的新天新地
[00:00:19.120 --> 00:00:21.120]  新的聖城耶路撒冷
[00:00:21.120 --> 00:00:22.720]  是一脈相承
[00:00:22.720 --> 00:00:26.240]  而且是非常有關係的
[00:00:26.240 --> 00:00:34.240]  我先分享一個我自己的好朋友
[00:00:34.240 --> 00:00:41.360]  他的父親離世前一個很奇特的經歷
[00:00:41.360 --> 00:00:50.800]  這個好朋友是我自小在教會一起唱兒童詩班大的
[00:00:50.800 --> 00:01:04.560]  他幾年前和我分享到他的父親離世前是很特別的
[00:01:04.560 --> 00:01:10.000]  我讓大家來看一看
[00:01:10.000 --> 00:01:13.840]  其實我相信這個老人家離世
[00:01:13.840 --> 00:01:16.960]  他回到上帝為他預備的地方
[00:01:16.960 --> 00:01:24.000]  之前似乎有一些很特別的經驗給他看到
[00:01:24.000 --> 00:01:26.000]  這位老人家是怎樣呢
[00:01:26.000 --> 00:01:31.840]  他其實已經是因為有呼吸的疾病
[00:01:31.840 --> 00:01:36.640]  他要靠氧氣機呼吸長達八年時間
[00:01:36.640 --> 00:01:38.640]  我們俗稱的貓鬚
[00:01:38.640 --> 00:01:44.640]  另外他做了白內障的手術之後
[00:01:44.640 --> 00:01:46.640]  他反而怕光
[00:01:46.640 --> 00:01:48.640]  他日夜都要戴著黑鞘
[00:01:48.640 --> 00:01:52.880]  你不知道的話會以為江湖中人這個大佬出現
[00:01:52.880 --> 00:01:59.600]  在他離世前大概兩三個星期左右
[00:01:59.600 --> 00:02:05.200]  他口中經常說他看到一個很光亮很美的地方
[00:02:05.200 --> 00:02:07.920]  他叫那個做新市鎮
[00:02:07.920 --> 00:02:10.720]  然後他和他的兒子說
[00:02:10.720 --> 00:02:13.360]  你帶我去新市鎮吧
[00:02:13.360 --> 00:02:18.480]  這個老人家其實住在沙田區已經三十年了
[00:02:18.480 --> 00:02:22.960]  他的兒子就以為他在說新城市廣場
[00:02:22.960 --> 00:02:25.360]  所以就推他去
[00:02:25.360 --> 00:02:27.360]  因為他是坐輪椅的
[00:02:27.360 --> 00:02:31.360]  去到他堅持不是這裡
[00:02:31.360 --> 00:02:38.000]  他說那裡是很美很光亮很寬闊很漂亮的一個地方
[00:02:38.000 --> 00:02:41.360]  直至他臨終之前一日
[00:02:41.360 --> 00:02:44.160]  這個老人家突然和他太太說
[00:02:44.160 --> 00:02:46.160]  開電視給我看一看
[00:02:46.160 --> 00:02:49.920]  他太太就覺得你不是怕光的嗎
[00:02:49.920 --> 00:02:51.920]  為什麼突然間變了呢
[00:02:51.920 --> 00:02:56.720]  還有他那天就不用帶黑鞘
[00:02:56.720 --> 00:02:59.200]  他們就覺得很驚訝
[00:02:59.200 --> 00:03:03.280]  但是他吃完中午飯之後
[00:03:03.280 --> 00:03:05.280]  他就和太太說
[00:03:05.280 --> 00:03:07.280]  我現在想去眠一眠
[00:03:07.280 --> 00:03:09.280]  大家聽得明白吧
[00:03:09.280 --> 00:03:11.840]  就是這樣
[00:03:11.840 --> 00:03:15.120]  他睡了午覺之後
[00:03:15.120 --> 00:03:17.120]  他就一睡不起
[00:03:17.120 --> 00:03:20.160]  天賦好有恩典接他走
[00:03:20.160 --> 00:03:22.160]  而且他形容那個地方
[00:03:22.160 --> 00:03:24.800]  他說那裡的空氣很清新的
[00:03:24.800 --> 00:03:28.480]  沒有污染
[00:03:28.480 --> 00:03:35.280]  我想我們這個世界上都很難找到一個地方好像是這樣
[00:03:35.280 --> 00:03:40.400]  但他這種景象
[00:03:40.400 --> 00:03:45.280]  其實我們都聽過有些人臨終之前
[00:03:45.280 --> 00:03:48.080]  有一些很特別的經歷
[00:03:48.080 --> 00:03:50.080]  很出名的慕迪先生
[00:03:50.080 --> 00:03:53.040]  是一個很偉大的報道家
[00:03:53.040 --> 00:03:55.040]  他以前賣鞋的
[00:03:55.040 --> 00:03:57.840]  但他後來信了主之後一生立志
[00:03:57.840 --> 00:04:02.160]  我每天最少要和一個人傳福音
[00:04:02.160 --> 00:04:05.360]  帶領很多人信主
[00:04:05.360 --> 00:04:08.320]  慕迪先生臨終之前
[00:04:08.320 --> 00:04:14.720]  他的所有太太、兒孫圍著他
[00:04:14.720 --> 00:04:16.720]  他突然舉目望天
[00:04:16.720 --> 00:04:21.840]  他覺得原來回天賦那裡真的這麼好
[00:04:21.840 --> 00:04:24.400]  他自己是笑著離開
[00:04:24.400 --> 00:04:27.680]  他看到上帝是差遣天使
[00:04:27.680 --> 00:04:30.000]  是歡迎他回天教
[00:04:30.000 --> 00:04:32.240]  原來我們今天在地上
[00:04:32.240 --> 00:04:35.920]  你的人生是怎樣投資你的時間、歲月
[00:04:35.920 --> 00:04:38.960]  你怎樣來服侍神、服侍人
