
[00:00:00.000 --> 00:00:08.600]  我叫Sunny,Sunny傳道家
[00:00:08.600 --> 00:00:12.200]  有點緊張,因為比我講道還要緊張
[00:00:12.200 --> 00:00:17.400]  因為分享神在我的生命和各樣的因典的時候
[00:00:17.400 --> 00:00:21.200]  真的很有那份感動
[00:00:21.200 --> 00:00:24.600]  首先,我很想告訴大家
[00:00:24.600 --> 00:00:30.200]  其實我的夢照是由我的信主開始的
[00:00:30.200 --> 00:00:32.200]  我明明按了,為甚麼沒有?
[00:00:32.200 --> 00:00:34.200]  是,OK
[00:00:34.200 --> 00:00:38.200]  我有癌症
[00:00:38.200 --> 00:00:43.800]  在我讀完中學畢業沒多久
[00:00:43.800 --> 00:00:48.800]  那時候剛好是我信主之後的第二年
[00:00:48.800 --> 00:00:50.800]  我就接受水禮
[00:00:50.800 --> 00:00:54.600]  接受完水禮,不是一片光明
[00:00:54.600 --> 00:00:59.200]  第二個月我就已經確診癌症
[00:00:59.200 --> 00:01:04.800]  接著,我在整個療程中
[00:01:04.800 --> 00:01:07.200]  其實很感恩
[00:01:07.200 --> 00:01:10.200]  我由發覺有卵巢癌
[00:01:10.200 --> 00:01:12.800]  然後就去抗散到去肝
[00:01:12.800 --> 00:01:16.200]  醫生告訴我,有剩下
[00:01:16.200 --> 00:01:18.600]  基本上是三期尾
[00:01:18.600 --> 00:01:21.200]  只是當時年輕一點的時候
[00:01:21.200 --> 00:01:26.400]  醫生就說,我盡量治療他
[00:01:26.400 --> 00:01:29.800]  我當時也很沮喪
[00:01:29.800 --> 00:01:34.200]  對於一個當時的我,也叫年輕人的時候
[00:01:34.200 --> 00:01:36.200]  剛好中學畢業沒多久
[00:01:36.200 --> 00:01:39.800]  就會覺得前途一片黑暗
[00:01:39.800 --> 00:01:42.600]  就像這幅圖
[00:01:42.600 --> 00:01:46.200]  我用黑暗去形容我那段時間
[00:01:46.200 --> 00:01:54.200]  因為我不知道怎樣去演繹心裡的狀態
[00:01:54.200 --> 00:02:01.400]  當中既是憤怒,又是突然
[00:02:01.400 --> 00:02:04.800]  有很多情感在我裡面
[00:02:04.800 --> 00:02:09.400]  但是我剛剛信了主,受了浸
[00:02:09.400 --> 00:02:12.800]  應該信心是特別堅固的
[00:02:12.800 --> 00:02:14.400]  應該是正常的
[00:02:14.400 --> 00:02:16.800]  確實也是
[00:02:16.800 --> 00:02:19.200]  我當時最有信心的是什麼呢?
[00:02:19.200 --> 00:02:21.600]  就是回到天家
[00:02:21.600 --> 00:02:25.200]  因為我覺得神已經保證了我
