
[00:00:00.000 --> 00:00:09.000]  (MC)歡迎大家再次來到我們的工作坊
[00:00:09.000 --> 00:00:15.400]  上星期很感謝教授Gavin為我們開始了馬克福音的研讀
[00:00:15.400 --> 00:00:22.000]  今年我們會在首半年大約看這本書
[00:00:22.000 --> 00:00:26.800]  當然除了一些特別服務,例如eStar服務之外
[00:00:26.800 --> 00:00:29.000]  我們也會看馬克福音為主
[00:00:29.000 --> 00:00:31.600]  一起讀完一卷課本書
[00:00:31.600 --> 00:00:34.400]  當然重點並不只是為大家讀聖經
[00:00:34.400 --> 00:00:37.600]  我們希望大家平時會自己看聖經
[00:00:37.600 --> 00:00:40.600]  雖然知道未必會自己看
[00:00:40.600 --> 00:00:47.600]  今天我們講的經文對大家比較熟悉
[00:00:47.600 --> 00:00:51.000]  就是我們講耶穌的生平片段
[00:00:51.000 --> 00:00:54.400]  我們在講生平片段的時候
[00:00:54.400 --> 00:00:57.400]  我們會發現一個不太一樣的耶穌
[00:00:57.800 --> 00:01:07.800]  一個我們小時候在兒童主義學中認識的耶穌
[00:01:07.800 --> 00:01:11.800]  但今天我們看的耶穌
[00:01:11.800 --> 00:01:14.800]  並不像我們以前所認識的
[00:01:14.800 --> 00:01:17.800]  為何這樣說呢?稍後會再講
[00:01:17.800 --> 00:01:20.800]  但今天我們看的經文仍然是第一章
[00:01:20.800 --> 00:01:24.800]  篇幅比較長,我不會逐節讀
[00:01:24.800 --> 00:01:27.800]  因為有些內容可能大家都聽過
[00:01:27.800 --> 00:01:32.800]  所以今天是比較外向的講經文的時候
[00:01:32.800 --> 00:01:35.800]  我們去想這些經文對我們的意義是什麼
[00:01:35.800 --> 00:01:38.800]  如果你手上有手機
[00:01:38.800 --> 00:01:41.800]  我猜應該沒有太多人拿著實體聖經
[00:01:41.800 --> 00:01:43.800]  我好像也見過這麼多人坐著
[00:01:43.800 --> 00:01:46.800]  所以大家拿手機吧,如果可以拿到的話
[00:01:46.800 --> 00:01:49.800]  我們今天的經文是馬克福音第一章
[00:01:49.800 --> 00:01:51.800]  21至45節
[00:01:51.800 --> 00:01:53.800]  很長,25節
[00:01:53.800 --> 00:01:56.800]  如果我直接讀的話,應該也沒有10分鐘
[00:01:56.800 --> 00:01:58.800]  所以不會直接讀出來
[00:01:58.800 --> 00:02:02.800]  如果這段經文用一個很簡單的一句去總結
[00:02:02.800 --> 00:02:04.800]  就是講耶穌去醫治
[00:02:04.800 --> 00:02:09.800]  耶穌醫治是一個我們很熟悉的
[00:02:09.800 --> 00:02:12.800]  或者我們聽說過的耶穌醫治我們心靈的東西
[00:02:12.800 --> 00:02:16.800]  但在福音書裡面,其中一個比較特別的就是
[00:02:16.800 --> 00:02:20.800]  耶穌的醫治是包括身體上的醫治
[00:02:20.800 --> 00:02:22.800]  這個可能我們今天比較少聽到
[00:02:22.800 --> 00:02:27.800]  因為可能我們在座也沒有很多人有重病的經驗
[00:02:27.800 --> 00:02:31.800]  我想在座起碼,如果你有的話可以再分享
[00:02:31.800 --> 00:02:35.800]  但是可能對一些年紀大的人來說,這件事是比較真實的
[00:02:35.800 --> 00:02:40.800]  但就算對我們本身沒有很貼身的經歷來說
[00:02:40.800 --> 00:02:44.800]  耶穌的醫治也可以有它的意義
[00:02:44.800 --> 00:02:47.800]  我們今天看的馬克福音一章21節
[00:02:47.800 --> 00:02:53.800]  其實是在耶穌接受了天父給他的呼召
[00:02:53.800 --> 00:02:55.800]  還有其實他有呼召門徒
[00:02:55.800 --> 00:02:59.800]  在這段前面,其實是他有呼召門徒之後的事情
[00:02:59.800 --> 00:03:04.800]  在這裡他已經和鬼和疾病正面衝突
