
[00:00:00.000 --> 00:00:12.500]  早安,今天是復活節,我們會說耶穌是我們的復活救主
[00:00:12.500 --> 00:00:16.800]  我們開始之前,我們會請Esther幫我們讀經文
[00:00:16.800 --> 00:00:18.000]  謝謝Esther
[00:00:18.000 --> 00:00:22.800]  七日的第一日,黎明的時候
[00:00:22.800 --> 00:00:27.200]  那些婦女帶著所預備的香料來到墳墓那裡
[00:00:27.200 --> 00:00:30.400]  發現石頭已經從墳墓滾開了
[00:00:30.400 --> 00:00:36.600]  她們就進去,只是不見主耶穌的身體
[00:00:36.600 --> 00:00:39.200]  正在為這事困惑的時候
[00:00:39.200 --> 00:00:43.600]  忽然有兩個人站在旁邊,衣服放光
[00:00:43.600 --> 00:00:48.200]  婦女們非常害怕,就俯伏在地上
[00:00:48.200 --> 00:00:50.400]  那兩個人對她們說:
[00:00:50.400 --> 00:00:53.800]  為什麼在死人中找活人呢?
[00:00:53.800 --> 00:01:01.400]  她不在這裡,已經復活了,要記得她還在加里里的時候怎樣告訴你目的
[00:01:01.400 --> 00:01:10.600]  她說:人子必須被交在罪人手裡,釘在十字架上,第三天復活
[00:01:10.600 --> 00:01:13.200]  她們就想起耶穌的話來
[00:01:13.200 --> 00:01:16.400]  謝謝Esther
[00:01:16.400 --> 00:01:20.400]  今天我們會說復活節
[00:01:20.400 --> 00:01:26.000]  耶穌在十字架上釘死了
[00:01:26.000 --> 00:01:29.400]  然後,那個星期天
[00:01:29.400 --> 00:01:33.400]  猶太人有一個特殊的儀式
[00:01:33.400 --> 00:01:35.000]  特殊的儀式是什麼呢?
[00:01:35.000 --> 00:01:36.800]  就是去墳墓
[00:01:36.800 --> 00:01:44.400]  去做不同的香料,去做不同的飾物
[00:01:44.400 --> 00:01:48.000]  去幫助身體,去幫助死亡的身體
[00:01:49.000 --> 00:01:52.000]  那身體是被包圍住的
[00:01:52.000 --> 00:01:55.000]  那些婦女就起來
[00:01:55.000 --> 00:02:02.000]  在星期天早上,她們就走去墳墓
[00:02:02.000 --> 00:02:05.000]  她們走去墳墓的時候
[00:02:05.000 --> 00:02:08.000]  她們就看到什麼呢?
[00:02:08.000 --> 00:02:12.000]  為什麼耶穌的墳墓是開了的?
[00:02:12.000 --> 00:02:14.000]  這麼突然的?
[00:02:14.000 --> 00:02:16.000]  她們就很驚訝
[00:02:16.000 --> 00:02:21.000]  這麼驚訝,她們就立刻進去
[00:02:21.000 --> 00:02:23.000]  她們進去的時候,她們就看到
[00:02:23.000 --> 00:02:27.000]  為什麼耶穌的身體不見了?
[00:02:27.000 --> 00:02:30.000]  為什麼耶穌的身體不見了?
[00:02:30.000 --> 00:02:31.000]  是不是被人偷了?
[00:02:31.000 --> 00:02:34.000]  為什麼他的身體不見了?
[00:02:34.000 --> 00:02:37.000]  然後就很亮了
