
[00:00:00.000 --> 00:00:02.000]   (Applause)
[00:00:02.000 --> 00:00:06.000]   Thank you, thank you.
[00:00:06.000 --> 00:00:12.000]   Alright, so as some of you may have suspected,
[00:00:12.000 --> 00:00:14.000]   I'm not actually from Hong Kong.
[00:00:14.000 --> 00:00:17.000]   Originally, I'm from Australia,
[00:00:17.000 --> 00:00:20.000]   where I got this beautiful accent from.
[00:00:20.000 --> 00:00:24.000]   Now, before I came to Hong Kong, I knew some things about it.
[00:00:24.000 --> 00:00:26.000]   Subtropical place, in a changeover,
[00:00:26.000 --> 00:00:29.000]   big financial hub, great food.
[00:00:29.000 --> 00:00:32.000]   I didn't know much, but I knew some things.
[00:00:32.000 --> 00:00:36.000]   As I came here, I started to see the skyscrapers with my own eyes.
[00:00:36.000 --> 00:00:39.000]   I tasted the dim sum, I rode the ferry.
[00:00:39.000 --> 00:00:42.000]   I started to clock some experience with the city.
[00:00:42.000 --> 00:00:47.000]   And then, over time, I have my own things that I love about Hong Kong.
[00:00:47.000 --> 00:00:49.000]   My favourite restaurants, my favourite places to go.
[00:00:49.000 --> 00:00:51.000]   I have my own frustrations.
[00:00:51.000 --> 00:00:54.000]   I get to know some of the people and the culture.
[00:00:54.000 --> 00:00:58.000]   I went through some pretty significant events with Hong Kong.
[00:00:58.000 --> 00:01:03.000]   Now, I went through this city with sheer joy
[00:01:03.000 --> 00:01:05.000]   and also various uncertainties.
[00:01:05.000 --> 00:01:07.000]   Now, I still don't know Hong Kong fully.
[00:01:07.000 --> 00:01:09.000]   I don't even speak Guangdong dialect.
[00:01:09.000 --> 00:01:14.000]   But you can see the difference from when I first came,
[00:01:14.000 --> 00:01:17.000]   where I kind of knew some things about the city,
[00:01:17.000 --> 00:01:20.000]   to now where I'm really kind of knowing the city.
[00:01:20.000 --> 00:01:22.000]   I feel the heartbeat.
[00:01:22.000 --> 00:01:24.000]   I understand it a bit.
[00:01:24.000 --> 00:01:27.000]   I understand the one and a half different seasons here.
[00:01:27.000 --> 00:01:30.000]   The more I know it, the easier it becomes home.
[00:01:30.000 --> 00:01:35.000]   Now, this is the same as how we want to grow with knowing God.
[00:01:35.000 --> 00:01:38.000]   To move on the journey from knowing about God
[00:01:38.000 --> 00:01:41.000]   to knowing Him deeply.
[00:01:41.000 --> 00:01:44.000]   And to do this, we're going to start with Psalm 23,
[00:01:44.000 --> 00:01:46.000]   the Psalm that is at the core of this book,
[00:01:46.000 --> 00:01:48.000]   "Don't give the enemy a seat at your table."
[00:01:48.000 --> 00:01:52.000]   The Lord is my shepherd, I shall not want.
[00:01:52.000 --> 00:01:55.000]   He makes me lie down in green pastures.
[00:01:55.000 --> 00:01:57.000]   He leads me beside still waters.
[00:01:57.000 --> 00:01:59.000]   He restores my soul.
[00:01:59.000 --> 00:02:03.000]   He leads me on paths of righteousness for His name's sake.
[00:02:03.000 --> 00:02:06.000]   Even though I walk through the valley of the shadow of death,
[00:02:06.000 --> 00:02:09.000]   I will fear no evil, for you are with me.
[00:02:09.000 --> 00:02:12.000]   Your rod and your staff, they comfort me.
[00:02:12.000 --> 00:02:16.000]   You prepare a table before me in the presence of my enemies.
[00:02:16.000 --> 00:02:19.000]   You anoint my head with oil, my cup overflows.
[00:02:19.000 --> 00:02:23.000]   Surely goodness and mercy shall follow me all the days of my life,
[00:02:23.000 --> 00:02:26.000]   and I shall dwell in the house of the Lord forever."
[00:02:26.000 --> 00:02:30.000]   Now, I don't know about you, but as we read,
[00:02:30.000 --> 00:02:33.000]   "You prepare a table before me in the presence of my enemies,"
[00:02:33.000 --> 00:02:36.000]   it's easy to get a little envious of this,
[00:02:36.000 --> 00:02:38.000]   even though it's true for us.
[00:02:38.000 --> 00:02:43.000]   But with His enemies around Him, David is focused on God.
[00:02:43.000 --> 00:02:47.000]   He is focused on Your goodness, and love will follow me.
[00:02:47.000 --> 00:02:50.000]   I shall dwell in the house of the Lord forever.
[00:02:50.000 --> 00:02:54.000]   And look at how David describes God earlier in Psalm 23.
[00:02:54.000 --> 00:02:58.000]   "He restores my soul. He leads me beside still waters.
[00:02:58.000 --> 00:03:01.000]   I will fear no evil, for you are with me."
[00:03:01.000 --> 00:03:07.000]   Now, this about our God is as true for you as it is for me as it was for David.
[00:03:07.000 --> 00:03:12.000]   So then why so often, when God is with us in the presence of our enemies,
[00:03:12.000 --> 00:03:17.000]   do we want to focus on our enemies rather than on God?
[00:03:17.000 --> 00:03:20.000]   Now, the key difference is this.
[00:03:20.000 --> 00:03:23.000]   Often when I'm reciting Psalm 23 to myself,
[00:03:23.000 --> 00:03:28.000]   I'm simply reminding myself of things I know about God.
[00:03:28.000 --> 00:03:30.000]   Now, this is a good thing to do.
[00:03:30.000 --> 00:03:34.000]   But David didn't just know these things about God,
[00:03:34.000 --> 00:03:39.000]   but he is listing out his experience with God.
[00:03:39.000 --> 00:03:42.000]   As Pastor John pointed out earlier in this series,
[00:03:42.000 --> 00:03:45.000]   this Psalm wasn't some nice lullaby.
[00:03:45.000 --> 00:03:49.000]   It was written from a full life with God,
[00:03:49.000 --> 00:03:52.000]   a full life of mountains and valleys with God.
[00:03:52.000 --> 00:03:58.000]   Not just mountains and valleys, mountains and valleys with God.
[00:03:58.000 --> 00:04:03.000]   Now, David is declaring these things from a place of knowing God,
[00:04:03.000 --> 00:04:08.000]   from walking with Him, from a life of having been open and vulnerable with Him,
[00:04:08.000 --> 00:04:12.000]   from experiencing and understanding His grace and forgiveness.
[00:04:12.000 --> 00:04:16.000]   It is through all this that even in the presence of the enemies,
[00:04:16.000 --> 00:04:19.000]   he is focused on God.
[00:04:19.000 --> 00:04:23.000]   Now, last year we had Pastor Francis Chan come and speak to us,
[00:04:23.000 --> 00:04:28.000]   and one of the things he urged was that we can look at the menu,
[00:04:28.000 --> 00:04:31.000]   we can look and see that God is good,
[00:04:31.000 --> 00:04:34.000]   but we don't want to be just stuck looking at the menu.
[00:04:34.000 --> 00:04:38.000]   We want to do as David does, says in Psalm 34, 8.
[00:04:38.000 --> 00:04:41.000]   We want to taste and see that the Lord is good.
[00:04:41.000 --> 00:04:45.000]   We want to experience that God is good, that He is with us.
[00:04:45.000 --> 00:04:49.000]   This is where David wrote this Psalm from.
