
[00:00:00.000 --> 00:00:02.000]  早晨 大家好
[00:00:02.000 --> 00:00:07.500]  你們有沒有看過我們旁邊有個海報是說explorer的
[00:00:07.500 --> 00:00:11.500]  但是explorer後面是有一個vision statement的
[00:00:11.500 --> 00:00:15.500]  有沒有人留意過 有沒有留意過有個vision statement的
[00:00:15.500 --> 00:00:18.500]  我們不如一起讀一次好不好
[00:00:18.500 --> 00:00:21.500]  我們一起讀一次
[00:00:21.500 --> 00:00:24.500]  我讀英文你們讀中文
[00:00:24.500 --> 00:00:32.500]  explorer builds a group of life explorers led by Christ carrying the cross and following the Lord
[00:00:32.500 --> 00:00:37.500]  here at explorer我們想跟隨神
[00:00:37.500 --> 00:00:41.500]  we want to build you up to follow Jesus to bear the cross
[00:00:41.500 --> 00:00:44.500]  and that is our vision
[00:00:44.500 --> 00:00:46.500]  那我們怎樣做呢
[00:00:46.500 --> 00:00:48.500]  our mission 怎樣做呢
[00:00:48.500 --> 00:00:49.500]  就是我們的mission
[00:00:49.500 --> 00:00:51.500]  next slide 我們的mission是怎樣
[00:00:51.500 --> 00:00:53.500]  是四個s
[00:00:53.500 --> 00:00:55.500]  第一是study the word
[00:00:55.500 --> 00:00:57.500]  第二 shape the disciples
[00:00:57.500 --> 00:01:00.500]  serve the Lord and share the truth
[00:01:00.500 --> 00:01:05.500]  我們怎樣幫你們做一個cross bearing explorer
[00:01:05.500 --> 00:01:08.500]  who follows Jesus
[00:01:08.500 --> 00:01:10.500]  就是這四樣東西
[00:01:10.500 --> 00:01:13.500]  we want to help you study the word
[00:01:13.500 --> 00:01:18.500]  所以我們每次講道是我們講神的話語的
[00:01:18.500 --> 00:01:22.500]  我們discussion是會講sermon topic
[00:01:22.500 --> 00:01:24.500]  去講那個scripture
[00:01:24.500 --> 00:01:27.500]  we want you to know the word
[00:01:27.500 --> 00:01:30.500]  去認識真理
[00:01:30.500 --> 00:01:32.500]  這是最重要的
[00:01:32.500 --> 00:01:34.500]  你不認識真理呢
[00:01:34.500 --> 00:01:36.500]  你出去之後你不知道
[00:01:36.500 --> 00:01:39.500]  你不知道什麼是對什麼是錯
[00:01:39.500 --> 00:01:40.500]  你不知道的
[00:01:40.500 --> 00:01:44.500]  所以最重要我們preach the word
[00:01:44.500 --> 00:01:47.500]  study the word
[00:01:47.500 --> 00:01:50.500]  第二我們想去做門徒事工
[00:01:50.500 --> 00:01:54.500]  we want to shape you to become a disciple of Jesus
[00:01:54.500 --> 00:01:56.500]  to follow Jesus
[00:01:56.500 --> 00:01:58.500]  去跟隨主耶穌
[00:01:58.500 --> 00:02:01.500]  第三你ready的時候
[00:02:01.500 --> 00:02:02.500]  mature的時候
[00:02:02.500 --> 00:02:05.500]  就怎樣開始去有output
[00:02:05.500 --> 00:02:08.500]  serve the Lord
[00:02:08.500 --> 00:02:15.500]  第四我們想去帶你的朋友去認識主耶穌
[00:02:15.500 --> 00:02:18.500]  誰想帶他的朋友去認識主耶穌
[00:02:18.500 --> 00:02:19.500]  有沒有人
[00:02:19.500 --> 00:02:21.500]  very good
[00:02:21.500 --> 00:02:26.500]  所以我們每次after announcement的時候
[00:02:26.500 --> 00:02:29.500]  我們每次在service會讀一次
[00:02:29.500 --> 00:02:33.500]  那個understand我們的vision是什麼
[00:02:33.500 --> 00:02:34.500]  是explore
[00:02:34.500 --> 00:02:37.500]  那個是understand我們在這裡的mission
[00:02:37.500 --> 00:02:41.500]  怎樣去做Christ followers
[00:02:41.500 --> 00:02:43.500]  ok very good
[00:02:43.500 --> 00:02:47.500]  next thing我們會開始一個習慣
[00:02:47.500 --> 00:02:49.500]  是有a moment of silence
[00:02:49.500 --> 00:02:51.500]  去prepare我們的heart
[00:02:51.500 --> 00:02:52.500]  我們在explore
[00:02:52.500 --> 00:02:54.500]  我們想develop一個culture
[00:02:54.500 --> 00:02:55.500]  一個culture是什麼呢
[00:02:55.500 --> 00:02:58.500]  一個culture of respect
[00:02:58.500 --> 00:03:01.500]  respect and giving our attention to the Lord
